"","x"
"1","A0A1B0GTU1;O75152"
"2","A0AVT1"
"3","A1A5D9"
"4","A1X283"
"5","A2RRP1"
"6","A2RTX5"
"7","A4D1P6"
"8","A6QL63"
"9","A8MPP1;Q96FC9"
"10","B2RPK0;P09429"
"11","E5RIL1;B0FP48"
"12","O00192"
"13","O00214"
"14","O00399"
"15","O00411"
"16","O00429"
"17","O00442"
"18","O00750"
"19","O14530"
"20","O14561"
"21","O14562"
"22","O14578"
"23","O14617"
"24","O14646"
"25","O14646;O14647"
"26","O14672"
"27","O14734"
"28","O14737"
"29","O14787"
"30","O14787;Q92973"
"31","O14908"
"32","O14929"
"33","O14950;P19105"
"34","O14950;P19105;P24844"
"35","O14965"
"36","O14972"
"37","O15020;Q01082"
"38","O15145"
"39","O15212"
"40","O15213"
"41","O15226"
"42","O15355"
"43","O15379"
"44","O15397"
"45","O15446"
"46","O15550"
"47","O15550;O14607"
"48","O43143"
"49","O43156"
"50","O43169"
"51","O43172"
"52","O43293"
"53","O43324"
"54","O43379"
"55","O43395"
"56","O43396"
"57","O43432;Q04637"
"58","O43464"
"59","O43488"
"60","O43502"
"61","O43570"
"62","O43678"
"63","O43681"
"64","O43688"
"65","O43707;P12814"
"66","O43708"
"67","O43709"
"68","O43768"
"69","O43818"
"70","O43823"
"71","O43837"
"72","O43852"
"73","O43913"
"74","O43933"
"75","O60218;C9JRZ8"
"76","O60264;P28370"
"77","O60287"
"78","O60294"
"79","O60504"
"80","O60508"
"81","O60573"
"82","O60610"
"83","O60664"
"84","O60716"
"85","O60784"
"86","O60828"
"87","O60841"
"88","O60869"
"89","O60879"
"90","O60885;Q15059"
"91","O60934"
"92","O60936"
"93","O60942"
"94","O75116"
"95","O75122"
"96","O75146"
"97","O75150"
"98","O75151"
"99","O75151;Q9UPP1"
"100","O75152"
"101","O75155;Q86VP6"
"102","O75161"
"103","O75342"
"104","O75381"
"105","O75390"
"106","O75410"
"107","O75420"
"108","O75487"
"109","O75506"
"110","O75509"
"111","O75529"
"112","O75530"
"113","O75676"
"114","O75695"
"115","O75832"
"116","O75874"
"117","O75886;Q92783"
"118","O75962"
"119","O76021"
"120","O76054"
"121","O94905"
"122","O94915"
"123","O94927"
"124","O94966"
"125","O94979"
"126","O95059"
"127","O95071"
"128","O95140"
"129","O95169"
"130","O95197"
"131","O95218"
"132","O95248"
"133","O95251"
"134","O95260"
"135","O95271;Q9H2K2"
"136","O95373"
"137","O95396"
"138","O95433"
"139","O95453"
"140","O95456"
"141","O95630"
"142","O95684"
"143","O95747"
"144","O95817"
"145","O95864"
"146","O95983"
"147","O95999"
"148","P00367;P49448;DHE3_BOVIN"
"149","P00450"
"150","P00505"
"151","P01008;ANT3_HUMAN"
"152","P01040"
"153","P01889;P10321"
"154","P02675"
"155","P02751"
"156","P02810"
"157","P03905"
"158","P03915"
"159","P04040;CATA_HUMAN"
"160","P04179"
"161","P04350;Q9BUF5"
"162","P04406"
"163","P04439"
"164","P04844"
"165","P04899"
"166","P05023;P13637;P50993"
"167","P05120"
"168","P05141"
"169","P05141;P12236"
"170","P05166"
"171","P05387"
"172","P05388"
"173","P05423"
"174","P05556"
"175","P06312"
"176","P06576"
"177","P06730"
"178","P06733"
"179","P06744"
"180","P06748"
"181","P06753"
"182","P07195"
"183","P07237"
"184","P07355"
"185","P07355;A6NMY6"
"186","P07384"
"187","P07741"
"188","P07814"
"189","P07900;Q14568"
"190","P07947"
"191","P07954"
"192","P08195"
"193","P08579"
"194","P09012"
"195","P09110"
"196","P09211;GSTP1_HUMAN"
"197","P09488"
"198","P09497"
"199","P09661"
"200","P09884"
"201","P0C2W1"
"202","P0DMV8;P0DMV9"
"203","P10243;P10242"
"204","P10244"
"205","P10644"
"206","P10696;P05187"
"207","P10696;P09923;P05187"
"208","P10809"
"209","P11166"
"210","P11171"
"211","P11182"
"212","P11277;Q01082"
"213","P11279"
"214","P11441"
"215","P11586"
"216","P12081;SYH_HUMAN"
"217","P12429"
"218","P13667"
"219","P13693;Q56UQ5"
"220","P13796"
"221","P13929;P06733;P09104"
"222","P13984"
"223","P14324"
"224","P14373"
"225","P14618"
"226","P14625"
"227","P14649"
"228","P14649;P60660"
"229","P14868"
"230","P14923"
"231","P15121"
"232","P15311"
"233","P15428"
"234","P15531"
"235","P15531;P22392"
"236","P16070"
"237","P16104;Q9BTM1;Q93077;Q99878;Q16777;Q96QV6;P04908;P20671;P0C0S8;Q6FI13;Q96KK5;Q7L7L0"
"238","P16144"
"239","P16219"
"240","P16615;O14983"
"241","P16615;Q93084;O14983"
"242","P16930"
"243","P17028"
"244","P17096"
"245","P17480"
"246","P17516;P52895;Q04828;P42330"
"247","P18031"
"248","P18074"
"249","P18085;P84077;P61204;P84085"
"250","P18564"
"251","P18669"
"252","P19012;K1C15_SHEEP"
"253","P19174"
"254","P19367"
"255","P19388"
"256","P19404"
"257","P19447"
"258","P19525"
"259","P19623"
"260","P19784"
"261","P19823"
"262","P19827"
"263","P19838"
"264","P20042"
"265","P20073"
"266","P20340;Q9NRW1"
"267","P20810"
"268","P20936"
"269","P21281"
"270","P21399"
"271","P21580"
"272","P21953"
"273","P22061"
"274","P22102"
"275","P22234"
"276","P22307"
"277","P22314"
"278","P22681"
"279","P22694;P17612"
"280","P22830"
"281","P22897"
"282","P23497"
"283","P23528"
"284","P23528;Q9Y281"
"285","P23743"
"286","P23771"
"287","P24752"
"288","P24821"
"289","P24844"
"290","P24941"
"291","P24941;Q00526"
"292","P25054"
"293","P25786"
"294","P25787"
"295","P25815"
"296","P26006"
"297","P26038;P35241"
"298","P26583"
"299","P27361;P28482"
"300","P27797"
"301","P27816"
"302","P28066"
"303","P28161"
"304","P28482"
"305","P28838"
"306","P29083"
"307","P29084"
"308","P29966"
"309","P30041"
"310","P30048"
"311","P30084"
"312","P30101"
"313","P30153"
"314","P30153;P30154"
"315","P30154"
"316","P30622"
"317","P30825"
"318","P31040"
"319","P31689"
"320","P31751"
"321","P31939"
"322","P31946;P62258;P27348;P63104;Q04917;P31947;P61981"
"323","P31948"
"324","P32455;P32456"
"325","P32456"
"326","P33176"
"327","P33552"
"328","P34932"
"329","P35052"
"330","P35080"
"331","P35222"
"332","P35232"
"333","P35244"
"334","P35249"
"335","P35250"
"336","P35270"
"337","P35579"
"338","P35580;P35749"
"339","P35626;P25098"
"340","P35858"
"341","P36405"
"342","P36507"
"343","P36952"
"344","P37108"
"345","P37802"
"346","P37837"
"347","P39019"
"348","P39748"
"349","P40189"
"350","P40306"
"351","P40926"
"352","P40939"
"353","P41214"
"354","P41223"
"355","P42025"
"356","P42566"
"357","P42695"
"358","P42696"
"359","P43686"
"360","P45954"
"361","P45973"
"362","P46013"
"363","P46019"
"364","P46109"
"365","P46459"
"366","P46531"
"367","P46926"
"368","P46939"
"369","P46940"
"370","P46940;Q86VI3"
"371","P47755"
"372","P47756"
"373","P48556"
"374","P48634;Q5JSZ5;Q9Y520"
"375","P48651"
"376","P49006"
"377","P49257"
"378","P49321"
"379","P49368"
"380","P49406"
"381","P49458"
"382","P49588"
"383","P49591"
"384","P49643"
"385","P49754"
"386","P49757"
"387","P49815"
"388","P49821"
"389","P49862"
"390","P49916"
"391","P49959"
"392","P50148"
"393","P50213"
