"","x"
"1","A0AVK6"
"2","A0JLT2"
"3","A0JNW5"
"4","A1L0T0"
"5","A2A3N6;Q99755"
"6","B7ZAQ6;P0CG08"
"7","O00159"
"8","O00160;Q12965"
"9","O00339"
"10","O00468"
"11","O00470"
"12","O00470;Q99687;A6NDR6;O14770"
"13","O00472"
"14","O00519"
"15","O00712"
"16","O00762;UBE2C_HUMAN"
"17","O00764"
"18","O14613"
"19","O14681"
"20","O14686"
"21","O14727"
"22","O14744"
"23","O14770"
"24","O14828"
"25","O14867"
"26","O14879"
"27","O15013;Q9HCE6"
"28","O15050"
"29","O15062"
"30","O15063"
"31","O15075"
"32","O15117"
"33","O15162"
"34","O15169"
"35","O15234"
"36","O15235"
"37","O15357"
"38","O15360"
"39","O15417"
"40","O15438"
"41","O15460"
"42","O15516"
"43","O43150"
"44","O43151"
"45","O43187"
"46","O43189"
"47","O43298"
"48","O43353"
"49","O43474"
"50","O43516"
"51","O43524"
"52","O43572"
"53","O43623"
"54","O60229"
"55","O60256"
"56","O60427"
"57","O60443"
"58","O60499"
"59","O60671"
"60","O60906"
"61","O75081;Q06455"
"62","O75147"
"63","O75182"
"64","O75326"
"65","O75376;Q9Y618"
"66","O75400"
"67","O75448"
"68","O75461"
"69","O75494;Q8WXF0"
"70","O75496"
"71","O75521"
"72","O75582"
"73","O75592"
"74","O75608"
"75","O75676;O75582"
"76","O75688"
"77","O75764"
"78","O75815"
"79","O75896"
"80","O75928"
"81","O75935"
"82","O75947"
"83","O75962;O60229"
"84","O76071"
"85","O94842"
"86","O94916"
"87","O94929"
"88","O94952"
"89","O95147"
"90","O95361"
"91","O95365"
"92","O95409"
"93","O95487"
"94","O95628"
"95","O95639"
"96","O95644"
"97","O95671"
"98","O95872"
"99","O95900"
"100","O95985"
"101","O95994"
"102","O96008"
"103","P00367;P49448"
"104","P00488"
"105","P00568"
"106","P00750"
"107","P02533"
"108","P03886"
"109","P04049"
"110","P04181"
"111","P04264;K2C1_HUMAN"
"112","P04350"
"113","P04839"
"114","P05023;P13637;Q13733;P50993;P54707;P20648"
"115","P05412"
"116","P06127"
"117","P06703"
"118","P06737"
"119","P06737;P11217;P11216"
"120","P06756"
"121","P07996;P35442"
"122","P08581"
"123","P08648"
"124","P09471"
"125","P09543"
"126","P09693"
"127","P09914"
"128","P0C866;Q658Y4"
"129","P0CJ78"
"130","P0DOX5;P01857"
"131","P10071"
"132","P10114;P61225;Q9Y3L5"
"133","P10242"
"134","P10276"
"135","P10586"
"136","P10586;Q13332;P23468"
"137","P10588"
"138","P10589"
"139","P10828"
"140","P11047"
"141","P11137"
"142","P11217;P11216"
"143","P11233"
"144","P11474"
"145","P12235;P05141"
"146","P12757"
"147","P13056"
"148","P13611"
"149","P13631"
"150","P13645;K1C10_HUMAN"
"151","P13645;K1C10_HUMAN;K1C15_SHEEP"
"152","P13807"
"153","P15036"
"154","P15408"
"155","P15529"
"156","P15559;NQO1_HUMAN"
"157","P16152"
"158","P16152;O75828"
"159","P17040"
"160","P17152"
"161","P17301"
"162","P17535"
"163","P17655"
"164","P17676"
"165","P18433"
"166","P19532"
"167","P20020"
"168","P20393"
"169","P20585"
"170","P20700;Q03252"
"171","P20749"
"172","P22413"
"173","P22415"
"174","P22670"
"175","P22735"
"176","P24468"
"177","P24468;P10589"
"178","P25311"
"179","P26572"
"180","P27448"
"181","P27448;Q9P0L2"
"182","P27540"
"183","P28347"
"184","P28749"
"185","P29373"
"186","P31151"
"187","P31629"
"188","P31946;P61981"
"189","P32321"
"190","P32929"
"191","P34913"
"192","P35237"
