"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"A2ML1","A8K2U0","","alpha-2-macroglobulin like 1(A2ML1)","Homo sapiens"
"AARS2","Q5JTZ9","","alanyl-tRNA synthetase 2, mitochondrial(AARS2)","Homo sapiens"
"ABCB10","Q9NRK6","","ATP binding cassette subfamily B member 10(ABCB10)","Homo sapiens"
"ABCD1","P33897","","ATP binding cassette subfamily D member 1(ABCD1)","Homo sapiens"
"ABRAXAS2","Q15018","","abraxas 2, BRISC complex subunit(ABRAXAS2)","Homo sapiens"
"ACAD9","Q9H845","","acyl-CoA dehydrogenase family member 9(ACAD9)","Homo sapiens"
"ACBD5","Q5T8D3","","acyl-CoA binding domain containing 5(ACBD5)","Homo sapiens"
"ACBD6","Q9BR61","","acyl-CoA binding domain containing 6(ACBD6)","Homo sapiens"
"ACOT13","Q9NPJ3","","acyl-CoA thioesterase 13(ACOT13)","Homo sapiens"
"ACTA1","P68133","","actin alpha 1, skeletal muscle(ACTA1)","Homo sapiens"
"ACTA2","P62736","","actin alpha 2, smooth muscle(ACTA2)","Homo sapiens"
"ACTB","P60709","","actin beta(ACTB)","Homo sapiens"
"ACTC1","P68032","","actin alpha cardiac muscle 1(ACTC1)","Homo sapiens"
"ACTG1","P63261","","actin gamma 1(ACTG1)","Homo sapiens"
"ACTG2","P63267","","actin gamma 2, smooth muscle(ACTG2)","Homo sapiens"
"ACTN2","P35609","","actinin alpha 2(ACTN2)","Homo sapiens"
"ACYP1","P07311","","acylphosphatase 1(ACYP1)","Homo sapiens"
"ADH5","P11766","","alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)","Homo sapiens"
"AGGF1","Q8N302","","angiogenic factor with G-patch and FHA domains 1(AGGF1)","Homo sapiens"
"AGO1","Q9UL18","","argonaute RISC component 1(AGO1)","Homo sapiens"
"AK9","Q5TCS8","","adenylate kinase 9(AK9)","Homo sapiens"
"ALDH1A3","P47895","","aldehyde dehydrogenase 1 family member A3(ALDH1A3)","Homo sapiens"
"ALDH2","P05091","","aldehyde dehydrogenase 2 family member(ALDH2)","Homo sapiens"
"ALDH4A1","P30038","","aldehyde dehydrogenase 4 family member A1(ALDH4A1)","Homo sapiens"
"ALDH7A1","P49419","","aldehyde dehydrogenase 7 family member A1(ALDH7A1)","Homo sapiens"
"ALG13","Q9NP73","","ALG13 UDP-N-acetylglucosaminyltransferase subunit(ALG13)","Homo sapiens"
"ALG3","Q92685","","ALG3 alpha-1,3- mannosyltransferase(ALG3)","Homo sapiens"
"ANKRD52","Q8NB46","","ankyrin repeat domain 52(ANKRD52)","Homo sapiens"
"AP1M2","Q9Y6Q5","","adaptor related protein complex 1 subunit mu 2(AP1M2)","Homo sapiens"
"ARHGEF6","Q15052","","Rac/Cdc42 guanine nucleotide exchange factor 6(ARHGEF6)","Homo sapiens"
"ARHGEF7","Q14155","","Rho guanine nucleotide exchange factor 7(ARHGEF7)","Homo sapiens"
"ARL8B","Q9NVJ2","","ARF like GTPase 8B(ARL8B)","Homo sapiens"
"ASB1","Q9Y576","","ankyrin repeat and SOCS box containing 1(ASB1)","Homo sapiens"
"ASB6","Q9NWX5","","ankyrin repeat and SOCS box containing 6(ASB6)","Homo sapiens"
"ATAD2","Q6PL18","","ATPase family AAA domain containing 2(ATAD2)","Homo sapiens"
"BBS1","Q8NFJ9","","Bardet-Biedl syndrome 1(BBS1)","Homo sapiens"
"BCL11B","Q9C0K0","","BCL11 transcription factor B(BCL11B)","Homo sapiens"
"BMI1","P35226","","BMI1 proto-oncogene, polycomb ring finger(BMI1)","Homo sapiens"
"BRI3BP","Q8WY22","","BRI3 binding protein(BRI3BP)","Homo sapiens"
