"","x"
"1","O00148"
"2","O00204"
"3","O00267"
"4","O14802"
"5","O15037"
"6","O15160"
"7","O15297"
"8","O43463"
"9","O43683"
"10","O60282;P33176"
"11","O60293"
"12","O60551"
"13","O60566"
"14","O75063"
"15","O75143"
"16","O75367"
"17","O75385"
"18","O75391"
"19","O75688;P35813"
"20","O75794"
"21","O94808"
"22","O94903"
"23","O94953"
"24","O95466"
"25","O95486"
"26","O95926"
"27","P00352"
"28","P01023"
"29","P02545"
"30","P02545;P20700;Q03252"
"31","P02649"
"32","P04150;P08235"
"33","P04632"
"34","P05787"
"35","P08397"
"36","P08670;P41219"
"37","P12931"
"38","P13995"
"39","P14678"
"40","P15153"
"41","P18621"
"42","P20700"
"43","P23258"
"44","P23443"
"45","P27144"
"46","P27635;Q96L21"
"47","P30050"
"48","P30281"
"49","P31350"
"50","P32969"
"51","P33908"
"52","P35637"
"53","P35900"
"54","P42766"
"55","P45983"
"56","P45984"
"57","P46108"
"58","P46779"
"59","P46781"
"60","P48668;P12035;P04259;P02538"
"61","P49590;P12081;SYH_HUMAN"
"62","P49917"
"63","P51114"
"64","P51587"
"65","P51692"
"66","P53004"
"67","P53007"
"68","P53677;Q9Y2T2"
"69","P55735"
"70","P60520"
"71","P61247"
"72","P61758"
"73","P62136;P36873"
"74","P62306"
"75","P62308;A8MWD9"
"76","P62314"
"77","P62829"
"78","P62841"
"79","P62857"
"80","P62906"
"81","P62917"
"82","P63151"
"83","P63173"
"84","P63220"
"85","P63244"
"86","P78356"
"87","P82970"
"88","P84074;P37235;P61601"
"89","P98170"
"90","Q00059"
"91","Q00613"
"92","Q01105"
"93","Q01844"
"94","Q02543"
"95","Q03111"
"96","Q05639"
"97","Q05655"
"98","Q06210;O94808"
"99","Q13309"
"100","Q13347"
"101","Q13423"
"102","Q13435"
"103","Q13523"
"104","Q13636"
"105","Q13838;O00148"
"106","Q14012;Q8IU85"
"107","Q14103"
"108","Q14197"
"109","Q14533;A6NCN2;P78386;O43790;P78385;K2M2_SHEEP;K2M3_SHEEP;KRHB1_HUMAN;KRHB3_HUMAN;KRHB5_HUMAN;KRHB6_HUMAN"
"110","Q15005"
"111","Q15022"
"112","Q15029"
"113","Q15048"
"114","Q15361"
"115","Q16739"
"116","Q2TBE0"
"117","Q32P41"
"118","Q4ZG55"
"119","Q4ZG55;Q9C091"
"120","Q52LA3"
"121","Q53GS9"
"122","Q53H47"
"123","Q53H82"
"124","Q5F1R6"
"125","Q5QP82"
"126","Q5TAT6"
"127","Q5TEC6"
"128","Q5VV42"
"129","Q5W0B1"
"130","Q66LE6"
"131","Q68D10"
"132","Q69YN4"
"133","Q6IQ32"
"134","Q6NXG1"
"135","Q6P1X5"
"136","Q6P5R6"
"137","Q6Q0C0"
"138","Q6SZW1"
"139","Q6UWE0"
"140","Q6ZN55"
"141","Q71U36;P68366;P68363;Q9BQE3"
"142","Q7L5Y9"
"143","Q7Z3K6"
"144","Q7Z4Q2"
"145","Q7Z569"
"146","Q7Z628"
"147","Q7Z794"
"148","Q7Z7E8"
"149","Q7Z7F0"
"150","Q86TP1"
"151","Q86Y91"
"152","Q86YA3"
"153","Q8IUI8"
"154","Q8IX90"
"155","Q8IXJ6"
"156","Q8IXM6"
"157","Q8IYB8"
"158","Q8IZ73"
"159","Q8IZ81"
"160","Q8N257;P33778;Q6DN03;P23527;Q6DRA6;Q16778;P06899"
"161","Q8N543"
"162","Q8NDH3"
"163","Q8NF37"
"164","Q8NFF5"
"165","Q8NFH3"
"166","Q8NFQ8"
"167","Q8NI27"
"168","Q8TAA3;O14818"
"169","Q8TAF3"
"170","Q8TAT5"
"171","Q8TDI0;Q12873"
"172","Q8TEA1"
"173","Q8WUA2"
"174","Q8WY36"
"175","Q8WYQ5"
"176","Q92504"
"177","Q92530"
"178","Q92574"
"179","Q92619"
"180","Q92845"
"181","Q93074"
"182","Q969T9"
"183","Q96CN9"
"184","Q96DI7"
"185","Q96EE3"
"186","Q96EY1"
"187","Q96FJ2;P63167"
"188","Q96GA3"
"189","Q96HU1"
"190","Q96IX5"
"191","Q96J02"
"192","Q96JJ7"
"193","Q96K83"
"194","Q96KB5"
"195","Q96NB2"
"196","Q96RS0"
"197","Q96RU3"
"198","Q96T58"
"199","Q96T88"
"200","Q99719"
"201","Q99873"
"202","Q99873;Q9NR22"
"203","Q9BRF8"
"204","Q9BRP1"
"205","Q9BVC3"
"206","Q9BW85"
"207","Q9BX68"
"208","Q9BYE7"
"209","Q9C0C9"
"210","Q9C0G0"
"211","Q9GZM8"
"212","Q9GZS3"
"213","Q9GZZ9"
"214","Q9H081"
"215","Q9H098"
"216","Q9H0U9"
"217","Q9H2C0"
"218","Q9H2P9"
"219","Q9H490"
"220","Q9H4G4"
"221","Q9H4P4"
"222","Q9H6R7"
"223","Q9H6U6"
"224","Q9H7D7"
"225","Q9H871"
"226","Q9H8G2"
"227","Q9H8Y8"
"228","Q9H974"
"229","Q9HAW4"
"230","Q9HD23"
"231","Q9NQP4"
"232","Q9NV70"
"233","Q9NW64"
"234","Q9NW68"
"235","Q9NX61"
"236","Q9NXF7"
"237","Q9NY12"
"238","Q9NZT1"
"239","Q9NZZ3"
"240","Q9UBK8"
"241","Q9UBP0"
"242","Q9UBV8"
"243","Q9UHW5"
"244","Q9UIF9"
"245","Q9UKG9"
"246","Q9UKJ3"
"247","Q9UKT7"
"248","Q9Y248"
"249","Q9Y297"
"250","Q9Y2R9"
"251","Q9Y2W2"
"252","Q9Y385"
"253","Q9Y4C1"
"254","Q9Y5N6"
"255","Q9Y5R8"
"256","Q9Y5W7"
"257","Q9Y678;Q9UBF2"
"258","Q9Y692"
"259","Q9Y6G5"
