"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"ABHD5","Q8WTS1","","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase(ABHD5)","Homo sapiens"
"ACTA2","P62736","","actin alpha 2, smooth muscle(ACTA2)","Homo sapiens"
"ACTB","P60709","","actin beta(ACTB)","Homo sapiens"
"ACTBL2","Q562R1","","actin beta like 2(ACTBL2)","Homo sapiens"
"ACTC1","P68032","","actin alpha cardiac muscle 1(ACTC1)","Homo sapiens"
"ACTG1","P63261","","actin gamma 1(ACTG1)","Homo sapiens"
"ACTG2","P63267","","actin gamma 2, smooth muscle(ACTG2)","Homo sapiens"
"AEBP1","Q8IUX7","","AE binding protein 1(AEBP1)","Homo sapiens"
"AFF3","P51826","","ALF transcription elongation factor 3(AFF3)","Homo sapiens"
"AGTPBP1","Q9UPW5","","ATP/GTP binding carboxypeptidase 1(AGTPBP1)","Homo sapiens"
"AK5","Q9Y3D8","","adenylate kinase 5(AK5)","Homo sapiens"
"AK6","Q9Y3D8","","adenylate kinase 6(AK6)","Homo sapiens"
"AMFR","Q9UKV5","","autocrine motility factor receptor(AMFR)","Homo sapiens"
"AMZ2","Q86W34","","archaelysin family metallopeptidase 2(AMZ2)","Homo sapiens"
"APBB2","Q92870","","amyloid beta precursor protein binding family B member 2(APBB2)","Homo sapiens"
"APOBEC3G","Q9HC16","","apolipoprotein B mRNA editing enzyme catalytic subunit 3G(APOBEC3G)","Homo sapiens"
"ARHGAP18","Q8N392","","Rho GTPase activating protein 18(ARHGAP18)","Homo sapiens"
"ARHGAP39","Q9C0H5","","Rho GTPase activating protein 39(ARHGAP39)","Homo sapiens"
"ARHGEF10","O15013","","Rho guanine nucleotide exchange factor 10(ARHGEF10)","Homo sapiens"
"ARL14EP","Q8N8R7","","ARF like GTPase 14 effector protein(ARL14EP)","Homo sapiens"
"ARL4C","P56559","","ARF like GTPase 4C(ARL4C)","Homo sapiens"
"ARMC5","Q96C12","","armadillo repeat containing 5(ARMC5)","Homo sapiens"
"ARMCX1","Q9P291","","armadillo repeat containing X-linked 1(ARMCX1)","Homo sapiens"
"ARMCX2","Q7L311","","armadillo repeat containing X-linked 2(ARMCX2)","Homo sapiens"
"ASAP1","Q9ULH1","","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1(ASAP1)","Homo sapiens"
"ASS1","P00966","","argininosuccinate synthase 1(ASS1)","Homo sapiens"
"ATAD3A","Q9NVI7","","ATPase family AAA domain containing 3A(ATAD3A)","Homo sapiens"
"ATAD5","Q96QE3","","ATPase family AAA domain containing 5(ATAD5)","Homo sapiens"
"ATG2A","Q2TAZ0","","autophagy related 2A(ATG2A)","Homo sapiens"
"ATG7","O95352","","autophagy related 7(ATG7)","Homo sapiens"
"ATP6V1F","Q16864","","ATPase H+ transporting V1 subunit F(ATP6V1F)","Homo sapiens"
"AXL","P30530","","AXL receptor tyrosine kinase(AXL)","Homo sapiens"
"BCR","P11274","","BCR activator of RhoGEF and GTPase(BCR)","Homo sapiens"
"BLVRB","P30043","","biliverdin reductase B(BLVRB)","Homo sapiens"
"BNC1","Q01954","","basonuclin zinc finger protein 1(BNC1)","Homo sapiens"
"BORCS6","Q96GS4","","BLOC-1 related complex subunit 6(BORCS6)","Homo sapiens"
"C11orf98","E9PRG8","","chromosome 11 open reading frame 98(C11orf98)","Homo sapiens"
"CALB2","P22676","","calbindin 2(CALB2)","Homo sapiens"
"CALCOCO1","Q9P1Z2","","calcium binding and coiled-coil domain 1(CALCOCO1)","Homo sapiens"
"CCN2","P29279","","cellular communication network factor 2(CCN2)","Homo sapiens"
"CDC45","O75419","","cell division cycle 45(CDC45)","Homo sapiens"
"CIAO2A","Q9H5X1","","cytosolic iron-sulfur assembly component 2A(CIAO2A)","Homo sapiens"
