"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"CNNM4","Q6P4Q7","","cyclin and CBS domain divalent metal cation transport mediator 4(CNNM4)","Homo sapiens"
"CNOT6L","Q96LI5","","CCR4-NOT transcription complex subunit 6 like(CNOT6L)","Homo sapiens"
"CORO7-PAM16","Q9Y3D7","","CORO7-PAM16 readthrough(CORO7-PAM16)","Homo sapiens"
"CPNE4","Q96A23","","copine 4(CPNE4)","Homo sapiens"
"CRADD","P78560","","CASP2 and RIPK1 domain containing adaptor with death domain(CRADD)","Homo sapiens"
"CREBBP","Q92793","","CREB binding protein(CREBBP)","Homo sapiens"
"CRELD1","Q96HD1","","cysteine rich with EGF like domains 1(CRELD1)","Homo sapiens"
"CSTF2T","Q9H0L4","","cleavage stimulation factor subunit 2 tau variant(CSTF2T)","Homo sapiens"
"CUEDC2","Q9H467","","CUE domain containing 2(CUEDC2)","Homo sapiens"
"CUX1","Q13948","","cut like homeobox 1(CUX1)","Homo sapiens"
"CXXC5","Q7LFL8","","CXXC finger protein 5(CXXC5)","Homo sapiens"
"CYC1","P08574","","cytochrome c1(CYC1)","Homo sapiens"
"DAAM1","Q9Y4D1","","dishevelled associated activator of morphogenesis 1(DAAM1)","Homo sapiens"
"DCAF11","Q8TEB1","","DDB1 and CUL4 associated factor 11(DCAF11)","Homo sapiens"
"DDX17","Q92841","","DEAD-box helicase 17(DDX17)","Homo sapiens"
"DEF6","Q9H4E7","","DEF6 guanine nucleotide exchange factor(DEF6)","Homo sapiens"
"DLX3","O60479","","distal-less homeobox 3(DLX3)","Homo sapiens"
"DMXL1","Q9Y485","","Dmx like 1(DMXL1)","Homo sapiens"
"DNPEP","Q9ULA0","","aspartyl aminopeptidase(DNPEP)","Homo sapiens"
"DOP1A","Q5JWR5","","DOP1 leucine zipper like protein A(DOP1A)","Homo sapiens"
"DTD1","Q8TEA8","","D-aminoacyl-tRNA deacylase 1(DTD1)","Homo sapiens"
"DTL","Q9NZJ0","","denticleless E3 ubiquitin protein ligase homolog(DTL)","Homo sapiens"
"DUSP23","Q9BVJ7","","dual specificity phosphatase 23(DUSP23)","Homo sapiens"
"DYRK1A","Q13627","","dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A)","Homo sapiens"
"EBNA1BP2","Q99848","","EBNA1 binding protein 2(EBNA1BP2)","Homo sapiens"
"EFHD1","Q9BUP0","","EF-hand domain family member D1(EFHD1)","Homo sapiens"
"EFR3A","Q14156","","EFR3 homolog A(EFR3A)","Homo sapiens"
"EGLN1","Q9GZT9","","egl-9 family hypoxia inducible factor 1(EGLN1)","Homo sapiens"
"EIF4ENIF1","Q9NRA8","","eukaryotic translation initiation factor 4E nuclear import factor 1(EIF4ENIF1)","Homo sapiens"
"ELF3","P78545","","E74 like ETS transcription factor 3(ELF3)","Homo sapiens"
"ELP2","Q6IA86","","elongator acetyltransferase complex subunit 2(ELP2)","Homo sapiens"
"ENO2","P09104","","enolase 2(ENO2)","Homo sapiens"
"EPB41L1","Q9H4G0","","erythrocyte membrane protein band 4.1 like 1(EPB41L1)","Homo sapiens"
"EPCAM","P16422","","epithelial cell adhesion molecule(EPCAM)","Homo sapiens"
"EPHB4","P54760","","EPH receptor B4(EPHB4)","Homo sapiens"
"EPN2","O95208","","epsin 2(EPN2)","Homo sapiens"
"EPPK1","P58107","","epiplakin 1(EPPK1)","Homo sapiens"
"EPS8L1","Q8TE68","","EPS8 signaling adaptor L1(EPS8L1)","Homo sapiens"
"ERGIC3","Q9Y282","","ERGIC and golgi 3(ERGIC3)","Homo sapiens"
"ERH","P84090","","ERH mRNA splicing and mitosis factor(ERH)","Homo sapiens"
"ERP29","P30040","","endoplasmic reticulum protein 29(ERP29)","Homo sapiens"
"ESPL1","Q14674","","extra spindle pole bodies like 1, separase(ESPL1)","Homo sapiens"
"ESRP2","Q9H6T0","","epithelial splicing regulatory protein 2(ESRP2)","Homo sapiens"
"EVPL","Q92817","","envoplakin(EVPL)","Homo sapiens"
"EVPLL","A8MZ36","","envoplakin like(EVPLL)","Homo sapiens"
"FABP4","P15090","","fatty acid binding protein 4(FABP4)","Homo sapiens"
"FAM120B","Q96EK7","","family with sequence similarity 120 member B(FAM120B)","Homo sapiens"
"FAM83B","Q5T0W9","","family with sequence similarity 83 member B(FAM83B)","Homo sapiens"
"FASTKD2","Q9NYY8","","FAST kinase domains 2(FASTKD2)","Homo sapiens"
"FAU","P62861","","FAU ubiquitin like and ribosomal protein S30 fusion(FAU)","Homo sapiens"
"FBRS","Q9HAH7","","fibrosin(FBRS)","Homo sapiens"
"FBXO6","Q9NRD1","","F-box protein 6(FBXO6)","Homo sapiens"
"FCHO2","Q0JRZ9","","FCH and mu domain containing endocytic adaptor 2(FCHO2)","Homo sapiens"
"FGD4","Q96M96","","FYVE, RhoGEF and PH domain containing 4(FGD4)","Homo sapiens"
"FIGNL1","Q6PIW4","","fidgetin like 1(FIGNL1)","Homo sapiens"
"FIP1L1","Q6UN15","","factor interacting with PAPOLA and CPSF1(FIP1L1)","Homo sapiens"
"FIS1","Q9Y3D6","","fission, mitochondrial 1(FIS1)","Homo sapiens"
"FKBP11","Q9NYL4","","FKBP prolyl isomerase 11(FKBP11)","Homo sapiens"
"FKBP15","Q5T1M5","","FKBP prolyl isomerase family member 15(FKBP15)","Homo sapiens"
"FOS","P01100","","Fos proto-oncogene, AP-1 transcription factor subunit(FOS)","Homo sapiens"
"FOXA1","P55317","","forkhead box A1(FOXA1)","Homo sapiens"
"GALNT6","Q8NCL4","","polypeptide N-acetylgalactosaminyltransferase 6(GALNT6)","Homo sapiens"
"GALT","P07902","","galactose-1-phosphate uridylyltransferase(GALT)","Homo sapiens"
"GAS8","O95995","","growth arrest specific 8(GAS8)","Homo sapiens"
"GCDH","Q92947","","glutaryl-CoA dehydrogenase(GCDH)","Homo sapiens"
"GCFC2","P16383","","GC-rich sequence DNA-binding factor 2(GCFC2)","Homo sapiens"
"GINS1","Q14691","","GINS complex subunit 1(GINS1)","Homo sapiens"
"GINS4","Q9BRT9","","GINS complex subunit 4(GINS4)","Homo sapiens"
"GLB1","P16278","","galactosidase beta 1(GLB1)","Homo sapiens"
"GNPNAT1","Q96EK6","","glucosamine-phosphate N-acetyltransferase 1(GNPNAT1)","Homo sapiens"
"GOLM2","Q6P4E1","","golgi membrane protein 2(GOLM2)","Homo sapiens"
"GPAA1","O43292","","glycosylphosphatidylinositol anchor attachment 1(GPAA1)","Homo sapiens"
"GPALPP1","Q8IXQ4","","GPALPP motifs containing 1(GPALPP1)","Homo sapiens"
"GRHL1","Q9NZI5","","grainyhead like transcription factor 1(GRHL1)","Homo sapiens"
"GRHL2","Q6ISB3","","grainyhead like transcription factor 2(GRHL2)","Homo sapiens"
"GRHL3","Q8TE85","","grainyhead like transcription factor 3(GRHL3)","Homo sapiens"
"GSTCD","Q8NEC7","","glutathione S-transferase C-terminal domain containing(GSTCD)","Homo sapiens"
"GSTT1","P30711","","glutathione S-transferase theta 1(GSTT1)","Homo sapiens"
"GTSE1","Q9NYZ3","","G2 and S-phase expressed 1(GTSE1)","Homo sapiens"
"H1-1","Q02539","","H1.1 linker histone, cluster member(H1-1)","Homo sapiens"
"H1-2","P16403","","H1.2 linker histone, cluster member(H1-2)","Homo sapiens"
"H1-3","P16402","","H1.3 linker histone, cluster member(H1-3)","Homo sapiens"
"H1-4","P10412","","H1.4 linker histone, cluster member(H1-4)","Homo sapiens"
"H1-6","P22492","","H1.6 linker histone, cluster member(H1-6)","Homo sapiens"
"H4C1","P62805","","H4 clustered histone 1(H4C1)","Homo sapiens"
"H4C11","P62805","","H4 clustered histone 11(H4C11)","Homo sapiens"
"H4C12","P62805","","H4 clustered histone 12(H4C12)","Homo sapiens"
"H4C13","P62805","","H4 clustered histone 13(H4C13)","Homo sapiens"
"H4C14","P62805","","H4 clustered histone 14(H4C14)","Homo sapiens"
"H4C15","P62805","","H4 clustered histone 15(H4C15)","Homo sapiens"
"H4C16","P62805","","H4 histone 16(H4C16)","Homo sapiens"
"H4C2","P62805","","H4 clustered histone 2(H4C2)","Homo sapiens"
"H4C3","P62805","","H4 clustered histone 3(H4C3)","Homo sapiens"
"H4C4","P62805","","H4 clustered histone 4(H4C4)","Homo sapiens"
"H4C5","P62805","","H4 clustered histone 5(H4C5)","Homo sapiens"
"H4C6","P62805","","H4 clustered histone 6(H4C6)","Homo sapiens"
"H4C8","P62805","","H4 clustered histone 8(H4C8)","Homo sapiens"
"H4C9","P62805","","H4 clustered histone 9(H4C9)","Homo sapiens"
"HDAC4","P56524","","histone deacetylase 4(HDAC4)","Homo sapiens"
"HDHD5","Q9BXW7","","haloacid dehalogenase like hydrolase domain containing 5(HDHD5)","Homo sapiens"
"HERC5","Q9UII4","","HECT and RLD domain containing E3 ubiquitin protein ligase 5(HERC5)","Homo sapiens"
"HIP1","O00291","","huntingtin interacting protein 1(HIP1)","Homo sapiens"
"HIPK3","Q9H422","","homeodomain interacting protein kinase 3(HIPK3)","Homo sapiens"
"HMG20B","Q9P0W2","","high mobility group 20B(HMG20B)","Homo sapiens"
"HNRNPA1","P09651","","heterogeneous nuclear ribonucleoprotein A1(HNRNPA1)","Homo sapiens"
"HNRNPC","P07910","","heterogeneous nuclear ribonucleoprotein C(HNRNPC)","Homo sapiens"
"HNRNPCL1","B2RXH8,O60812","","heterogeneous nuclear ribonucleoprotein C like 1(HNRNPCL1)","Homo sapiens"
"HNRNPCL2","B2RXH8","","heterogeneous nuclear ribonucleoprotein C like 2(HNRNPCL2)","Homo sapiens"
"HNRNPCL3","P0DMR1,B7ZW38","","heterogeneous nuclear ribonucleoprotein C like 3(HNRNPCL3)","Homo sapiens"
"HNRNPCL4","P0DMR1","","heterogeneous nuclear ribonucleoprotein C like 4(HNRNPCL4)","Homo sapiens"
"HNRNPDL","O14979","","heterogeneous nuclear ribonucleoprotein D like(HNRNPDL)","Homo sapiens"
"HNRNPF","P52597","","heterogeneous nuclear ribonucleoprotein F(HNRNPF)","Homo sapiens"
"HNRNPH3","P31942","","heterogeneous nuclear ribonucleoprotein H3(HNRNPH3)","Homo sapiens"
"HNRNPK","P61978","","heterogeneous nuclear ribonucleoprotein K(HNRNPK)","Homo sapiens"
"HOMEZ","Q8IX15","","homeobox and leucine zipper encoding(HOMEZ)","Homo sapiens"
"HOXC13","P31276","","homeobox C13(HOXC13)","Homo sapiens"
"HOXC9","P31274","","homeobox C9(HOXC9)","Homo sapiens"
"HSPG2","P98160","","heparan sulfate proteoglycan 2(HSPG2)","Homo sapiens"
"ICA1","Q05084","","islet cell autoantigen 1(ICA1)","Homo sapiens"
"IDH2","P48735","","isocitrate dehydrogenase (NADP(+)) 2(IDH2)","Homo sapiens"
"IGHG1","P01857","","immunoglobulin heavy constant gamma 1 (G1m marker)(IGHG1)","Homo sapiens"
"IGHG3","P01860","","immunoglobulin heavy constant gamma 3 (G3m marker)(IGHG3)","Homo sapiens"
"IGSF3","O75054","","immunoglobulin superfamily member 3(IGSF3)","Homo sapiens"
"IMPDH2","P12268","","inosine monophosphate dehydrogenase 2(IMPDH2)","Homo sapiens"
"INTS2","Q9H0H0","","integrator complex subunit 2(INTS2)","Homo sapiens"
"IQCB1","Q15051","","IQ motif containing B1(IQCB1)","Homo sapiens"
"IRF6","O14896","","interferon regulatory factor 6(IRF6)","Homo sapiens"
"ISG20L2","Q9H9L3","","interferon stimulated exonuclease gene 20 like 2(ISG20L2)","Homo sapiens"
"JAK1","P23458","","Janus kinase 1(JAK1)","Homo sapiens"
"JPT1","Q9UK76","","Jupiter microtubule associated homolog 1(JPT1)","Homo sapiens"
"KATNB1","Q9BVA0","","katanin regulatory subunit B1(KATNB1)","Homo sapiens"
"KCMF1","Q9P0J7","","potassium channel modulatory factor 1(KCMF1)","Homo sapiens"
"KCTD18","Q6PI47","","potassium channel tetramerization domain containing 18(KCTD18)","Homo sapiens"
"KIF1B","O60333","","kinesin family member 1B(KIF1B)","Homo sapiens"
"KIF7","Q2M1P5","","kinesin family member 7(KIF7)","Homo sapiens"
"KRAS","P01116","","KRAS proto-oncogene, GTPase(KRAS)","Homo sapiens"
"KRT13","P13646","","keratin 13(KRT13)","Homo sapiens"
"KRT14","P02533","","keratin 14(KRT14)","Homo sapiens"
"KRT17","Q04695","","keratin 17(KRT17)","Homo sapiens"
"KRT18","P05783","","keratin 18(KRT18)","Homo sapiens"
"KRT19","P08727","","keratin 19(KRT19)","Homo sapiens"
"KRT73","Q86Y46","","keratin 73(KRT73)","Homo sapiens"
"LAMB1","P07942","","laminin subunit beta 1(LAMB1)","Homo sapiens"
"LATS1","O95835","","large tumor suppressor kinase 1(LATS1)","Homo sapiens"
"LCN1","P31025","","lipocalin 1(LCN1)","Homo sapiens"
"LCN1P1","Q5VSP4","","lipocalin 1 pseudogene 1(LCN1P1)","Homo sapiens"
"LENG9","Q96B70","","leukocyte receptor cluster member 9(LENG9)","Homo sapiens"
"LLPH","Q9BRT6","","LLP homolog, long-term synaptic facilitation factor(LLPH)","Homo sapiens"
"LNX1","Q8TBB1","","ligand of numb-protein X 1(LNX1)","Homo sapiens"
"LOC110384692","P0C0L4","","complement C4A (Rodgers blood group)-like(LOC110384692)","Homo sapiens"
"LONP1","P36776","","lon peptidase 1, mitochondrial(LONP1)","Homo sapiens"
"LPXN","O60711","","leupaxin(LPXN)","Homo sapiens"
"LRBA","P50851","","LPS responsive beige-like anchor protein(LRBA)","Homo sapiens"
"M6PR","P20645","","mannose-6-phosphate receptor, cation dependent(M6PR)","Homo sapiens"
"MAB21L4","Q08AI8","","mab-21 like 4(MAB21L4)","Homo sapiens"
"MACROH2A1","O75367","","macroH2A.1 histone(MACROH2A1)","Homo sapiens"
"MACROH2A2","Q9P0M6","","macroH2A.2 histone(MACROH2A2)","Homo sapiens"
"MAGI3","Q5TCQ9","","membrane associated guanylate kinase, WW and PDZ domain containing 3(MAGI3)","Homo sapiens"
"MAN1A2","O60476","","mannosidase alpha class 1A member 2(MAN1A2)","Homo sapiens"
"MARVELD2","Q8N4S9","","MARVEL domain containing 2(MARVELD2)","Homo sapiens"
"MBNL1","Q9NR56","","muscleblind like splicing regulator 1(MBNL1)","Homo sapiens"
"MBNL2","Q5VZF2","","muscleblind like splicing regulator 2(MBNL2)","Homo sapiens"
"MCM10","Q7L590","","minichromosome maintenance 10 replication initiation factor(MCM10)","Homo sapiens"
"ME1","P48163","","malic enzyme 1(ME1)","Homo sapiens"
"MELK","Q14680","","maternal embryonic leucine zipper kinase(MELK)","Homo sapiens"
"MESD","Q14696","","mesoderm development LRP chaperone(MESD)","Homo sapiens"
"METTL1","Q9UBP6","","methyltransferase 1, tRNA methylguanosine(METTL1)","Homo sapiens"
"METTL16","Q86W50","","methyltransferase 16, RNA N6-adenosine(METTL16)","Homo sapiens"
"MIA3","Q5JRA6","","MIA SH3 domain ER export factor 3(MIA3)","Homo sapiens"
"MICALL2","Q8IY33","","MICAL like 2(MICALL2)","Homo sapiens"
"MIS18BP1","Q6P0N0","","MIS18 binding protein 1(MIS18BP1)","Homo sapiens"
"MISP","Q8IVT2","","mitotic spindle positioning(MISP)","Homo sapiens"
"MLYCD","O95822","","malonyl-CoA decarboxylase(MLYCD)","Homo sapiens"
"MMP1","P03956","","matrix metallopeptidase 1(MMP1)","Homo sapiens"
"MPO","P05164","","myeloperoxidase(MPO)","Homo sapiens"
"MPP1","Q00013","","MAGUK p55 scaffold protein 1(MPP1)","Homo sapiens"
"MRPL34","Q9BQ48","","mitochondrial ribosomal protein L34(MRPL34)","Homo sapiens"
"MRPL43","Q8N983","","mitochondrial ribosomal protein L43(MRPL43)","Homo sapiens"
"MRPS27","Q92552","","mitochondrial ribosomal protein S27(MRPS27)","Homo sapiens"
"MSX2","P35548","","msh homeobox 2(MSX2)","Homo sapiens"
"MTR","Q99707","","5-methyltetrahydrofolate-homocysteine methyltransferase(MTR)","Homo sapiens"
"MYO1G","B0I1T2","","myosin IG(MYO1G)","Homo sapiens"
"NBEA","Q8NFP9","","neurobeachin(NBEA)","Homo sapiens"
"NCCRP1","Q6ZVX7","","NCCRP1, F-box associated domain containing(NCCRP1)","Homo sapiens"
"NCS1","P62166","","neuronal calcium sensor 1(NCS1)","Homo sapiens"
"NDE1","Q9NXR1","","nudE neurodevelopment protein 1(NDE1)","Homo sapiens"
"NDUFA4","O00483","","NDUFA4 mitochondrial complex associated(NDUFA4)","Homo sapiens"
"NEBL","O76041","","nebulette(NEBL)","Homo sapiens"
"NF2","P35240","","NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor(NF2)","Homo sapiens"
"NUBPL","Q8TB37","","NUBP iron-sulfur cluster assembly factor, mitochondrial(NUBPL)","Homo sapiens"
"NUDT15","Q9NV35","","nudix hydrolase 15(NUDT15)","Homo sapiens"
"OCLN","Q16625","","occludin(OCLN)","Homo sapiens"
"OSR2","Q8N2R0","","odd-skipped related transciption factor 2(OSR2)","Homo sapiens"
"PABPN1","Q86U42","","poly(A) binding protein nuclear 1(PABPN1)","Homo sapiens"
"PACSIN3","Q9UKS6","","protein kinase C and casein kinase substrate in neurons 3(PACSIN3)","Homo sapiens"
"PAFAH1B1","P43034","","platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)","Homo sapiens"
"PAM16","Q9Y3D7","","presequence translocase associated motor 16(PAM16)","Homo sapiens"
"PARD3","Q8TEW0","","par-3 family cell polarity regulator(PARD3)","Homo sapiens"
"PAX9","P55771","","paired box 9(PAX9)","Homo sapiens"
"PEX26","Q7Z412","","peroxisomal biogenesis factor 26(PEX26)","Homo sapiens"
"PEX5","P50542","","peroxisomal biogenesis factor 5(PEX5)","Homo sapiens"
"PFKL","P17858","","phosphofructokinase, liver type(PFKL)","Homo sapiens"
"PIGO","Q8TEQ8","","phosphatidylinositol glycan anchor biosynthesis class O(PIGO)","Homo sapiens"
"PIKFYVE","Q9Y2I7","","phosphoinositide kinase, FYVE-type zinc finger containing(PIKFYVE)","Homo sapiens"
"PITRM1","Q5JRX3","","pitrilysin metallopeptidase 1(PITRM1)","Homo sapiens"
"PKP3","Q9Y446","","plakophilin 3(PKP3)","Homo sapiens"
"PLAA","Q9Y263","","phospholipase A2 activating protein(PLAA)","Homo sapiens"
"PLEC","Q15149","","plectin(PLEC)","Homo sapiens"
"PLK1","P53350","","polo like kinase 1(PLK1)","Homo sapiens"
"PLOD2","O00469","","procollagen-lysine,2-oxoglutarate 5-dioxygenase 2(PLOD2)","Homo sapiens"
"PLPP6","Q8IY26","","phospholipid phosphatase 6(PLPP6)","Homo sapiens"
"PMPCA","Q10713","","peptidase, mitochondrial processing subunit alpha(PMPCA)","Homo sapiens"
"PMS1","P54277","","PMS1 homolog 1, mismatch repair system component(PMS1)","Homo sapiens"
"PMS2","P54278","","PMS1 homolog 2, mismatch repair system component(PMS2)","Homo sapiens"
"POLR3C","Q9BUI4","","RNA polymerase III subunit C(POLR3C)","Homo sapiens"
"POR","P16435","","cytochrome p450 oxidoreductase(POR)","Homo sapiens"
"POSTN","Q15063","","periostin(POSTN)","Homo sapiens"
"PPAT","Q06203","","phosphoribosyl pyrophosphate amidotransferase(PPAT)","Homo sapiens"
"PPFIBP1","Q86W92","","PPFIA binding protein 1(PPFIBP1)","Homo sapiens"
"PPIC","P45877","","peptidylprolyl isomerase C(PPIC)","Homo sapiens"
"PRAF2","O60831","","PRA1 domain family member 2(PRAF2)","Homo sapiens"
"PRKAR2B","P31323","","protein kinase cAMP-dependent type II regulatory subunit beta(PRKAR2B)","Homo sapiens"
"PRSS3","P35030","","serine protease 3(PRSS3)","Homo sapiens"
"PTBP1","P26599","","polypyrimidine tract binding protein 1(PTBP1)","Homo sapiens"
"PTBP3","O95758","","polypyrimidine tract binding protein 3(PTBP3)","Homo sapiens"
"PTPRE","P23469","","protein tyrosine phosphatase receptor type E(PTPRE)","Homo sapiens"
"RAB11A","P62491","","RAB11A, member RAS oncogene family(RAB11A)","Homo sapiens"
"RAB25","P57735","","RAB25, member RAS oncogene family(RAB25)","Homo sapiens"
"RAB3D","O95716","","RAB3D, member RAS oncogene family(RAB3D)","Homo sapiens"
"RABGEF1","Q9UJ41","","RAB guanine nucleotide exchange factor 1(RABGEF1)","Homo sapiens"
"RAC1","P63000","","Rac family small GTPase 1(RAC1)","Homo sapiens"
"RALA","P11233","","RAS like proto-oncogene A(RALA)","Homo sapiens"
"RALB","P11234","","RAS like proto-oncogene B(RALB)","Homo sapiens"
"RAVER2","Q9HCJ3","","ribonucleoprotein, PTB binding 2(RAVER2)","Homo sapiens"
"RB1","P06400","","RB transcriptional corepressor 1(RB1)","Homo sapiens"
"RBBP8NL","Q8NC74","","RBBP8 N-terminal like(RBBP8NL)","Homo sapiens"
"RBM6","P78332","","RNA binding motif protein 6(RBM6)","Homo sapiens"
"RBPMS","Q93062","","RNA binding protein, mRNA processing factor(RBPMS)","Homo sapiens"
"RGS10","O43665","","regulator of G protein signaling 10(RGS10)","Homo sapiens"
"RHBDD2","Q6NTF9","","rhomboid domain containing 2(RHBDD2)","Homo sapiens"
"RIMOC1","A6NDU8","","RAB7A interacting MON1-CCZ1 complex subunit 1(RIMOC1)","Homo sapiens"
"RINT1","Q6NUQ1","","RAD50 interactor 1(RINT1)","Homo sapiens"
"RLIG1","Q8N999","","RNA 5'-phosphate and 3'-OH ligase 1(RLIG1)","Homo sapiens"
"RNF181","Q9P0P0","","ring finger protein 181(RNF181)","Homo sapiens"
"ROCK1","Q13464","","Rho associated coiled-coil containing protein kinase 1(ROCK1)","Homo sapiens"
"RPF1","Q9H9Y2","","ribosome production factor 1 homolog(RPF1)","Homo sapiens"
"RPL22","P35268","","ribosomal protein L22(RPL22)","Homo sapiens"
"RPL27A","P46776","","ribosomal protein L27a(RPL27A)","Homo sapiens"
"RPS29","P62273","","ribosomal protein S29(RPS29)","Homo sapiens"
"RRN3","Q9NYV6","","RRN3 homolog, RNA polymerase I transcription factor(RRN3)","Homo sapiens"
"RTKN","Q9BST9","","rhotekin(RTKN)","Homo sapiens"
"RXRA","P19793","","retinoid X receptor alpha(RXRA)","Homo sapiens"
"RXRB","P28702","","retinoid X receptor beta(RXRB)","Homo sapiens"
"RXRG","P48443","","retinoid X receptor gamma(RXRG)","Homo sapiens"
"RYBP","Q8N488","","RING1 and YY1 binding protein(RYBP)","Homo sapiens"
"SALL4","Q9UJQ4","","spalt like transcription factor 4(SALL4)","Homo sapiens"
"SAMHD1","Q9Y3Z3","","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1(SAMHD1)","Homo sapiens"
"SAP18","O00422","","Sin3A associated protein 18(SAP18)","Homo sapiens"
"SCAI","Q8N9R8","","suppressor of cancer cell invasion(SCAI)","Homo sapiens"
"SCAMP1","O15126","","secretory carrier membrane protein 1(SCAMP1)","Homo sapiens"
"SDE2","Q6IQ49","","SDE2 telomere maintenance homolog(SDE2)","Homo sapiens"
"SEC61A1","P61619","","SEC61 translocon subunit alpha 1(SEC61A1)","Homo sapiens"
