"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"AAMP","Q13685","","angio associated migratory cell protein(AAMP)","Homo sapiens"
"ABCD3","P28288","","ATP binding cassette subfamily D member 3(ABCD3)","Homo sapiens"
"ABHD11","Q8NFV4","","abhydrolase domain containing 11(ABHD11)","Homo sapiens"
"ABL2","P42684","","ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)","Homo sapiens"
"ACOX1","Q15067","","acyl-CoA oxidase 1(ACOX1)","Homo sapiens"
"ACY1","Q03154","","aminoacylase 1(ACY1)","Homo sapiens"
"ADSS1","Q8N142","","adenylosuccinate synthase 1(ADSS1)","Homo sapiens"
"AHCTF1","Q8WYP5","","AT-hook containing transcription factor 1(AHCTF1)","Homo sapiens"
"AKAP1","Q92667","","A-kinase anchoring protein 1(AKAP1)","Homo sapiens"
"ALDH3A1","P30838","","aldehyde dehydrogenase 3 family member A1(ALDH3A1)","Homo sapiens"
"ALMS1","Q8TCU4","","ALMS1 centrosome and basal body associated protein(ALMS1)","Homo sapiens"
"ANKRD1","Q15327","","ankyrin repeat domain 1(ANKRD1)","Homo sapiens"
"ANXA6","P08133","","annexin A6(ANXA6)","Homo sapiens"
"AP1B1","Q10567","","adaptor related protein complex 1 subunit beta 1(AP1B1)","Homo sapiens"
"AP3S2","P59780","","adaptor related protein complex 3 subunit sigma 2(AP3S2)","Homo sapiens"
"APOD","P05090","","apolipoprotein D(APOD)","Homo sapiens"
"ARFGEF3","Q5TH69","","ARFGEF family member 3(ARFGEF3)","Homo sapiens"
"ARHGAP17","Q68EM7","","Rho GTPase activating protein 17(ARHGAP17)","Homo sapiens"
"ARHGAP27","Q6ZUM4","","Rho GTPase activating protein 27(ARHGAP27)","Homo sapiens"
"ARHGEF11","O15085","","Rho guanine nucleotide exchange factor 11(ARHGEF11)","Homo sapiens"
"ASB7","Q9H672","","ankyrin repeat and SOCS box containing 7(ASB7)","Homo sapiens"
"ATP6AP1","Q15904","","ATPase H+ transporting accessory protein 1(ATP6AP1)","Homo sapiens"
"ATP9A","O75110","","ATPase phospholipid transporting 9A (putative)(ATP9A)","Homo sapiens"
"ATP9B","O43861","","ATPase phospholipid transporting 9B (putative)(ATP9B)","Homo sapiens"
"ATPAF2","Q8N5M1","","ATP synthase mitochondrial F1 complex assembly factor 2(ATPAF2)","Homo sapiens"
"ATXN1L","P0C7T5","","ataxin 1 like(ATXN1L)","Homo sapiens"
"AVL9","Q8NBF6","","AVL9 cell migration associated(AVL9)","Homo sapiens"
"BCL11A","Q9H165","","BCL11 transcription factor A(BCL11A)","Homo sapiens"
"BCS1L","Q9Y276","","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone(BCS1L)","Homo sapiens"
"BIRC2","Q13490","","baculoviral IAP repeat containing 2(BIRC2)","Homo sapiens"
"BIRC3","Q13489","","baculoviral IAP repeat containing 3(BIRC3)","Homo sapiens"
"BOLA2","Q9H3K6","","bolA family member 2(BOLA2)","Homo sapiens"
"BOLA2B","Q9H3K6","","bolA family member 2B(BOLA2B)","Homo sapiens"
"BPIFA1","Q9NP55","","BPI fold containing family A member 1(BPIFA1)","Homo sapiens"
"C1QBP","Q07021","","complement C1q binding protein(C1QBP)","Homo sapiens"
"C4A","P0C0L4","","complement C4A (Chido/Rodgers blood group)(C4A)","Homo sapiens"
"C4B","P0C0L4","","complement C4B (Chido/Rodgers blood group)(C4B)","Homo sapiens"
"C4B_2","P0C0L4","","complement component 4B (Chido/Rodgers blood group), copy 2(C4B_2)","Homo sapiens"
"CAB39L","Q9H9S4","","calcium binding protein 39 like(CAB39L)","Homo sapiens"
"CCNA2","P20248","","cyclin A2(CCNA2)","Homo sapiens"
"CDC27","P30260","","cell division cycle 27(CDC27)","Homo sapiens"
"CDC42BPG","Q6DT37","","CDC42 binding protein kinase gamma(CDC42BPG)","Homo sapiens"
"CDCA2","Q69YH5","","cell division cycle associated 2(CDCA2)","Homo sapiens"
"CEBPA","P49715","","CCAAT enhancer binding protein alpha(CEBPA)","Homo sapiens"
"CELSR2","Q9HCU4","","cadherin EGF LAG seven-pass G-type receptor 2(CELSR2)","Homo sapiens"
"CENPC","Q03188","","centromere protein C(CENPC)","Homo sapiens"
"CENPQ","Q7L2Z9","","centromere protein Q(CENPQ)","Homo sapiens"
"CEP290","O15078","","centrosomal protein 290(CEP290)","Homo sapiens"
"CFAP20","Q9Y6A4","","cilia and flagella associated protein 20(CFAP20)","Homo sapiens"
"CHAMP1","Q96JM3","","chromosome alignment maintaining phosphoprotein 1(CHAMP1)","Homo sapiens"
"CLPP","Q16740","","caseinolytic mitochondrial matrix peptidase proteolytic subunit(CLPP)","Homo sapiens"
