"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"A2M","P01023","","alpha-2-macroglobulin(A2M)","Homo sapiens"
"ADNP2","Q6IQ32","","ADNP homeobox 2(ADNP2)","Homo sapiens"
"AK4","P27144","","adenylate kinase 4(AK4)","Homo sapiens"
"ALDH1A1","P00352","","aldehyde dehydrogenase 1 family member A1(ALDH1A1)","Homo sapiens"
"AP3M1","Q9Y2T2","","adaptor related protein complex 3 subunit mu 1(AP3M1)","Homo sapiens"
"AP3M2","P53677","","adaptor related protein complex 3 subunit mu 2(AP3M2)","Homo sapiens"
"APOE","P02649","","apolipoprotein E(APOE)","Homo sapiens"
"ARHGAP45","Q92619","","Rho GTPase activating protein 45(ARHGAP45)","Homo sapiens"
"ATG13","O75143","","autophagy related 13(ATG13)","Homo sapiens"
"ATP5MK","Q96IX5","","ATP synthase membrane subunit k(ATP5MK)","Homo sapiens"
"BAZ2A","Q9UIF9","","bromodomain adjacent to zinc finger domain 2A(BAZ2A)","Homo sapiens"
"BBX","Q8WY36","","BBX high mobility group box domain containing(BBX)","Homo sapiens"
"BCAS3","Q9H6U6","","BCAS3 microtubule associated cell migration factor(BCAS3)","Homo sapiens"
"BLVRA","P53004","","biliverdin reductase A(BLVRA)","Homo sapiens"
"BRAP","Q7Z569","","BRCA1 associated protein(BRAP)","Homo sapiens"
"BRCA2","P51587","","BRCA2 DNA repair associated(BRCA2)","Homo sapiens"
"BSDC1","Q9NW68","","BSD domain containing 1(BSDC1)","Homo sapiens"
"BTRC","Q9Y297","","beta-transducin repeat containing E3 ubiquitin protein ligase(BTRC)","Homo sapiens"
"BUB1","O43683","","BUB1 mitotic checkpoint serine/threonine kinase(BUB1)","Homo sapiens"
"BUB1B","O60566","","BUB1 mitotic checkpoint serine/threonine kinase B(BUB1B)","Homo sapiens"
"CAAP1","Q9H8G2","","caspase activity and apoptosis inhibitor 1(CAAP1)","Homo sapiens"
"CALML5","Q9NZT1","","calmodulin like 5(CALML5)","Homo sapiens"
"CAMK1","Q14012","","calcium/calmodulin dependent protein kinase I(CAMK1)","Homo sapiens"
"CAMK1D","Q8IU85","","calcium/calmodulin dependent protein kinase ID(CAMK1D)","Homo sapiens"
"CAPNS1","P04632","","calpain small subunit 1(CAPNS1)","Homo sapiens"
"CCND3","P30281","","cyclin D3(CCND3)","Homo sapiens"
"CDC123","O75794","","cell division cycle 123(CDC123)","Homo sapiens"
"CDKAL1","Q5VV42","","CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase(CDKAL1)","Homo sapiens"
"CHD3","Q12873","","chromodomain helicase DNA binding protein 3(CHD3)","Homo sapiens"
"CHD5","Q8TDI0","","chromodomain helicase DNA binding protein 5(CHD5)","Homo sapiens"
"CHMP5","Q9NZZ3","","charged multivesicular body protein 5(CHMP5)","Homo sapiens"
"CLSPN","Q9HAW4","","claspin(CLSPN)","Homo sapiens"
"COL13A1","Q5TAT6","","collagen type XIII alpha 1 chain(COL13A1)","Homo sapiens"
"COMMD10","Q9Y6G5","","COMM domain containing 10(COMMD10)","Homo sapiens"
"COPG1","Q9Y678","","COPI coat complex subunit gamma 1(COPG1)","Homo sapiens"
"COPG2","Q9UBF2","","COPI coat complex subunit gamma 2(COPG2)","Homo sapiens"
"CPPED1","Q9BRF8","","calcineurin like phosphoesterase domain containing 1(CPPED1)","Homo sapiens"
"CRK","P46108","","CRK proto-oncogene, adaptor protein(CRK)","Homo sapiens"
"CRLF3","Q8IUI8","","cytokine receptor like factor 3(CRLF3)","Homo sapiens"
"CROT","Q9UKG9","","carnitine O-octanoyltransferase(CROT)","Homo sapiens"
"CWF19L2","Q2TBE0","","CWF19 like cell cycle control factor 2(CWF19L2)","Homo sapiens"
"DCAF10","Q5QP82","","DDB1 and CUL4 associated factor 10(DCAF10)","Homo sapiens"
"DCAF16","Q9NXF7","","DDB1 and CUL4 associated factor 16(DCAF16)","Homo sapiens"
"DDX39A","O00148","","DExD-box helicase 39A(DDX39A)","Homo sapiens"
"DDX39B","Q13838","","DExD-box helicase 39B(DDX39B)","Homo sapiens"
"DGCR8","Q8WYQ5","","DGCR8 microprocessor complex subunit(DGCR8)","Homo sapiens"
"DNAJA3","Q96EY1","","DnaJ heat shock protein family (Hsp40) member A3(DNAJA3)","Homo sapiens"
