"","x"
"1","A8MW92"
"2","B1AK53"
"3","O00116"
"4","O00217"
"5","O00255"
"6","O00264"
"7","O00273"
"8","O00299"
"9","O00330"
"10","O00410"
"11","O00505"
"12","O00505;O00629"
"13","O00767"
"14","O14497;Q8NFD5"
"15","O14545"
"16","O14647"
"17","O14757"
"18","O14925;Q5SRD1"
"19","O14939"
"20","O14966"
"21","O15027"
"22","O15031"
"23","O15047"
"24","O15066"
"25","O15164"
"26","O15228"
"27","O15231"
"28","O15260"
"29","O15371"
"30","O15498"
"31","O15514"
"32","O15525"
"33","O15541"
"34","O43294"
"35","O43399"
"36","O43423;O95626;P39687"
"37","O43439"
"38","O43482"
"39","O43491"
"40","O43615"
"41","O43676"
"42","O43847"
"43","O43865"
"44","O60216"
"45","O60244"
"46","O60292"
"47","O60583"
"48","O60678"
"49","O60684"
"50","O60684;O15131;P52294"
"51","O60762"
"52","O60884"
"53","O60888"
"54","O75051"
"55","O75081"
"56","O75116;Q13464"
"57","O75150;Q5VTR2"
"58","O75164"
"59","O75179"
"60","O75190"
"61","O75251"
"62","O75312"
"63","O75362"
"64","O75438"
"65","O75439"
"66","O75586"
"67","O75787"
"68","O75820"
"69","O75844"
"70","O75925"
"71","O75976"
"72","O76039"
"73","O94886"
"74","O94888"
"75","O94941"
"76","O94992"
"77","O95081"
"78","O95239"
"79","O95239;Q2VIQ3"
"80","O95298"
"81","O95376"
"82","O95625"
"83","O95757"
"84","O95785"
"85","O95789"
"86","O96019"
"87","P00367"
"88","P00387"
"89","P03928"
"90","P04150"
"91","P04183"
"92","P04350;P68371"
"93","P04637"
"94","P04843"
"95","P05198"
"96","P07203"
"97","P07686"
"98","P07858"
"99","P07900"
"100","P07992"
"101","P08235"
"102","P08579;P09012"
"103","P08670;P17661"
"104","P08754"
"105","P08758;ANXA5_HUMAN"
"106","P09669"
"107","P10301"
"108","P10398;P15056;P04049"
"109","P10515"
"110","P10599;THIO_HUMAN"
"111","P10914"
"112","P11117"
"113","P11172"
"114","P11388"
"115","P11388;Q02880"
"116","P11717"
"117","P12074"
"118","P12755"
"119","P13473"
"120","P13693"
"121","P13861;P31323"
"122","P15407"
"123","P15822"
"124","P15880"
"125","P16615"
"126","P17029"
"127","P17706"
"128","P18085"
"129","P18124"
"130","P18206"
"131","P19012"
"132","P19012;P13646;K1C15_SHEEP"
"133","P20618"
"134","P21397"
"135","P21796"
"136","P21912"
"137","P21980"
"138","P22087"
"139","P23142"
"140","P23246"
"141","P23396"
"142","P23610"
"143","P23634"
"144","P24928"
"145","P25398"
"146","P25440"
"147","P25788"
"148","P26373"
"149","P26447"
"150","P27635"
"151","P27694"
"152","P28070"
"153","P28799"
"154","P29317"
"155","P29375"
"156","P29597"
"157","P30291"
"158","P30533"
"159","P30566"
"160","P31153"
"161","P31749"
"162","P31946"
"163","P32519"
"164","P33316"
"165","P34896"
"166","P35580;P35579"
"167","P36578"
"168","P36873"
"169","P37231"
"170","P38398"
"171","P38919"
"172","P39023"
"173","P39656"
"174","P42330"
"175","P42345"
"176","P42858"
"177","P43246"
"178","P43490"
"179","P46063"
"180","P47985"
"181","P48507"
"182","P48681"
"183","P48739"
"184","P48960"
"185","P49005"
"186","P49137"
"187","P49354"
"188","P49356"
"189","P49590"
"190","P49760"
"191","P49841"
"192","P50336"
"193","P50579"
"194","P51531;P51532"
"195","P51571"
"196","P51617"
"197","P51692;P42229"
"198","P51809"
"199","P52292"
"200","P52294"
"201","P52333"
"202","P52564"
"203","P52630"
"204","P53597"
"205","P53618"
"206","P54252"
"207","P54725"
"208","P54725;P54727"
"209","P55160;Q9Y2A7"
"210","P55210"
"211","P55884"
"212","P56282"
"213","P56377"
"214","P56937"
"215","P56945"
"216","P60510"
"217","P61009"
"218","P61020;P20339;P51148"
"219","P61225"
"220","P61513"
"221","P61626;LYSC_HUMAN"
"222","P62244"
"223","P62266"
"224","P62280"
"225","P62316"
"226","P62380"
"227","P62424"
"228","P62750"
"229","P62847"
"230","P62910"
"231","P62913"
"232","P63098"
"233","P82663"
"234","P82930"
"235","P83436"
"236","P83731"
"237","P84022"
"238","P86790;P86791"
"239","Q01167"
"240","Q01814;P20020;Q16720;P23634"
"241","Q02878"
"242","Q03169"
"243","Q03426"
"244","Q04828;P42330"
"245","Q04864"
"246","Q05932"
"247","Q06210"
"248","Q06546"
"249","Q07020"
"250","Q07617"
"251","Q07666"
"252","Q08050"
"253","Q08117"
"254","Q08170;Q13247"
"255","Q08257"
"256","Q08380"
"257","Q0VDG4"
"258","Q12792"
"259","Q12797"
"260","Q12907"
"261","Q12959"
"262","Q12972"
"263","Q13112"
"264","Q13188"
"265","Q13200"
"266","Q13443"
"267","Q13459"
"268","Q13485"
"269","Q13554;Q9UQM7;Q13557"
"270","Q13613"
"271","Q13643"
"272","Q13740"
"273","Q13829;Q9H3F6;Q8WZ19"
"274","Q13838"
"275","Q13951"
"276","Q14004"
"277","Q14152"
"278","Q14192"
"279","Q14240;P38919;P60842"
"280","Q14315"
"281","Q14571;Q14643"
"282","Q14643"
"283","Q14676"
"284","Q14765"
"285","Q14997"
"286","Q14CN4;P08729"
"287","Q15021"
"288","Q15118"
"289","Q15233"
"290","Q15257"
"291","Q15311"
"292","Q15517"
"293","Q15542"
"294","Q15596"
"295","Q15652"
"296","Q15788"
"297","Q16186"
"298","Q16513"
"299","Q16527"
"300","Q16540"
"301","Q16795"
"302","Q16831"
"303","Q29RF7;Q9NTI5"
"304","Q2M3G4"
"305","Q3YEC7"
"306","Q4L180"
"307","Q53H96"
"308","Q56P03"
"309","Q5J8M3"
"310","Q5JSZ5"
"311","Q5JUR7"
"312","Q5PRF9"
"313","Q5T3J3"
"314","Q5T447"
"315","Q5T5U3"
"316","Q5T8I9"
"317","Q5TKA1"
"318","Q5VZL5"
"319","Q641Q2;Q9Y4E1"
"320","Q659A1"
"321","Q68CQ7"
"322","Q6BDS2"
"323","Q6IAA8"
"324","Q6NVY1"
"325","Q6P158"
"326","Q6P2P2"
"327","Q6P3X3"
"328","Q6P4R8"
"329","Q6P996"
"330","Q6P9B6"
"331","Q6PCD5"
"332","Q6PIJ6"
"333","Q6PJG2"
"334","Q6PJG6"
"335","Q6PJT7"
"336","Q6R327"
"337","Q6S8J3;P63261;P68133;P62736;P68032;P60709;P63267;A5A3E0;P0CG38"
"338","Q6ZN28"
"339","Q6ZRQ5"
"340","Q6ZRV2"
"341","Q6ZT07"
"342","Q6ZW49"
"343","Q6ZXV5"
"344","Q75N03"
"345","Q7KZI7"
"346","Q7L273"
"347","Q7L523;Q5VZM2"
"348","Q7L5D6"
"349","Q7LGA3"
"350","Q7Z3V4"
"351","Q7Z4V5"
"352","Q7Z736"
"353","Q7Z7G8"
"354","Q86T82"
"355","Q86UU1"
"356","Q86VX2"
"357","Q86WJ1"
"358","Q86X76"
"359","Q86YP4;Q8WXI9"
"360","Q86YS7"
"361","Q86YV9"
"362","Q8IUH3"
"363","Q8IVQ6"
"364","Q8IWT6"
"365","Q8IX01"
"366","Q8IYB7"
"367","Q8IYS1"
"368","Q8IZE3"
"369","Q8IZT6"
"370","Q8N0Y7;P15259;P18669"
"371","Q8N108"
"372","Q8N1G0"
"373","Q8N201"
"374","Q8N556"
"375","Q8N6L1"
"376","Q8N954"
"377","Q8NBQ5"
"378","Q8NBS9"
"379","Q8NBZ7"
"380","Q8NC96"
"381","Q8NCA5;Q52LJ0"
"382","Q8NCF5"
"383","Q8NCP5"
"384","Q8NCY6"
"385","Q8NF64"
"386","Q8NFC6"
"387","Q8NFI3"
"388","Q8NG31"
"389","Q8TA86"
"390","Q8TAE8"
"391","Q8TAM2"
"392","Q8TBA6"
"393","Q8TBX8"
"394","Q8TCG2"
"395","Q8TD06"
"396","Q8TDX7"
"397","Q8TDY2"
"398","Q8TES7"
"399","Q8TF68"
"400","Q8WUF8"
"401","Q8WVM7"
"402","Q8WWQ0"
"403","Q8WXF1"
"404","Q8WZ42"
"405","Q92520"
"406","Q92542"
"407","Q92597"
"408","Q92610"
"409","Q92665"
"410","Q92673"
"411","Q92734"
"412","Q92769;Q13547"
"413","Q92793;Q09472"
"414","Q92889"
"415","Q92922"
"416","Q92925"
"417","Q92930"
"418","Q92990"
"419","Q92993"
"420","Q93084"
"421","Q96A35"
"422","Q96A49"
"423","Q96A72;P61326"
"424","Q96AG4"
"425","Q96AX9"
"426","Q96CP2"
"427","Q96DE5"
"428","Q96DF8"
"429","Q96EB6"
"430","Q96EC8"
"431","Q96EL2"
"432","Q96EV2"
"433","Q96FS4"
"434","Q96FV9"
"435","Q96FZ7"
"436","Q96GX5"
"437","Q96GX9"
"438","Q96HI0"
"439","Q96HW7"
"440","Q96JK2"
"441","Q96JP5"
"442","Q96K19"
"443","Q96K76"
"444","Q96L58"
"445","Q96LD4"
"446","Q96N67;Q96HP0"
"447","Q96NE9"
"448","Q96P47"
"449","Q96QD9"
"450","Q96RT6;Q96PC5"
"451","Q96S99"
"452","Q96SB3"
"453","Q96T23"
"454","Q99081"
"455","Q99504"
"456","Q99590"
"457","Q99613;B5ME19"
"458","Q99623"
"459","Q99653"
"460","Q99676"
"461","Q99805"
"462","Q99961"
"463","Q9BPY3"
"464","Q9BQC3"
"465","Q9BRX5"
"466","Q9BRX8"
"467","Q9BSV6"
"468","Q9BTA9"
"469","Q9BTC8;Q13330"
"470","Q9BTT4"
"471","Q9BTX1"
"472","Q9BUH6"
"473","Q9BVC4"
"474","Q9BVQ7"
"475","Q9BXK1"
"476","Q9BXL7"
"477","Q9BY50"
"478","Q9BY76"
"479","Q9BYB4"
"480","Q9BYX2"
"481","Q9BZ29"
"482","Q9BZ95"
"483","Q9BZF1"
"484","Q9BZK7"
"485","Q9BZQ8"
"486","Q9BZZ5"
"487","Q9C0B5"
"488","Q9C0C2"
"489","Q9C0E2"
"490","Q9C0E8"
"491","Q9H082"
"492","Q9H0C5"
"493","Q9H0E2"
"494","Q9H0R1"
"495","Q9H0U4;P62820;Q92928"
"496","Q9H0W9"
"497","Q9H1D9"
"498","Q9H1E3"
"499","Q9H2D6"
"500","Q9H3F6"
"501","Q9H3P2"
"502","Q9H5V8"
"503","Q9H5Z1"
"504","Q9H6T3"
"505","Q9H7Z3"
"506","Q9H8M2"
"507","Q9H8W4"
"508","Q9H9A5"
"509","Q9H9B1"
"510","Q9H9J2"
"511","Q9H9Q2"
"512","Q9HA64"
"513","Q9HAS0"
"514","Q9HAU0"
"515","Q9HBM6;Q16594"
"516","Q9HCI7"
"517","Q9NPD8"
"518","Q9NQ50"
"519","Q9NQA3;A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5"
"520","Q9NQW6"
"521","Q9NQW7"
"522","Q9NS69"
"523","Q9NS87"
"524","Q9NSG2"
"525","Q9NUA8"
"526","Q9NUP1"
"527","Q9NUQ7"
"528","Q9NV88"
"529","Q9NVH1"
"530","Q9NVP2"
"531","Q9NW15"
"532","Q9NWV8"
"533","Q9NX40"
"534","Q9NX46"
"535","Q9NX74"
"536","Q9NXC5"
"537","Q9NXK8"
"538","Q9NXR5"
"539","Q9NY74"
"540","Q9NZ01"
"541","Q9NZD2"
"542","Q9NZN3;Q9H4M9"
"543","Q9P016"
"544","Q9P086"
"545","Q9P0U4"
"546","Q9P0V9"
"547","Q9P215"
"548","Q9P227"
"549","Q9P260"
"550","Q9P281"
"551","Q9P289;O00506"
"552","Q9P2L0"
"553","Q9P2X0"
"554","Q9UBS8"
"555","Q9UBT6"
"556","Q9UBW7"
"557","Q9UDW1"
"558","Q9UDY4"
"559","Q9UGU5"
"560","Q9UHQ4"
"561","Q9UHR4"
"562","Q9UI09"
"563","Q9UIQ6"
"564","Q9UJX5"
"565","Q9UK59"
"566","Q9UK61"
"567","Q9UK99"
"568","Q9UKI2"
"569","Q9UKI8;Q86UE8"
"570","Q9UKX2"
"571","Q9UL03"
"572","Q9ULM3"
"573","Q9ULT8"
"574","Q9ULU4"
"575","Q9UNF1"
"576","Q9UNK0"
"577","Q9UNS2"
"578","Q9UNX3;P61254"
"579","Q9UPT9"
"580","Q9UPV9"
"581","Q9UPY3"
"582","Q9UQ16;P50570"
"583","Q9UQL6"
"584","Q9UQR0"
"585","Q9UQR1"
"586","Q9Y242"
"587","Q9Y262"
"588","Q9Y2A7"
"589","Q9Y2H0"
"590","Q9Y2W6"
"591","Q9Y2X9"
"592","Q9Y314"
"593","Q9Y315"
"594","Q9Y324"
"595","Q9Y3C8"
"596","Q9Y3E7"
"597","Q9Y484"
"598","Q9Y487"
"599","Q9Y4C1;Q7LBC6"
"600","Q9Y4E5"
"601","Q9Y4E6"
"602","Q9Y4P8"
"603","Q9Y4R8"
"604","Q9Y5K8"
"605","Q9Y5P4"
"606","Q9Y5P6"
"607","Q9Y5U2"
"608","Q9Y5Z7"
"609","Q9Y6K0"
"610","Q9Y6Q5;Q9BXS5"
"611","Q9Y6W5"
"612","Q9Y6X3"
