"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"ACP2","P11117","","acid phosphatase 2, lysosomal(ACP2)","Homo sapiens"
"ACTA1","P68133","","actin alpha 1, skeletal muscle(ACTA1)","Homo sapiens"
"ACTA2","P62736","","actin alpha 2, smooth muscle(ACTA2)","Homo sapiens"
"ACTB","P60709","","actin beta(ACTB)","Homo sapiens"
"ACTC1","P68032","","actin alpha cardiac muscle 1(ACTC1)","Homo sapiens"
"ACTG1","P63261","","actin gamma 1(ACTG1)","Homo sapiens"
"ACTG2","P63267","","actin gamma 2, smooth muscle(ACTG2)","Homo sapiens"
"ACTL6A","O96019","","actin like 6A(ACTL6A)","Homo sapiens"
"ADAM9","Q13443","","ADAM metallopeptidase domain 9(ADAM9)","Homo sapiens"
"ADGRE5","P48960","","adhesion G protein-coupled receptor E5(ADGRE5)","Homo sapiens"
"ADPRS","Q9NX46","","ADP-ribosylserine hydrolase(ADPRS)","Homo sapiens"
"ADRM1","Q16186","","ADRM1 26S proteasome ubiquitin receptor(ADRM1)","Homo sapiens"
"ADSL","P30566","","adenylosuccinate lyase(ADSL)","Homo sapiens"
"AFAP1","Q8N556","","actin filament associated protein 1(AFAP1)","Homo sapiens"
"AFG2B","Q9BVQ7","","AFG2 AAA ATPase homolog B(AFG2B)","Homo sapiens"
"AGAP3","Q96P47","","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3(AGAP3)","Homo sapiens"
"AGFG2","O95081","","ArfGAP with FG repeats 2(AGFG2)","Homo sapiens"
"AGPS","O00116","","alkylglycerone phosphate synthase(AGPS)","Homo sapiens"
"AGR3","Q8TD06","","anterior gradient 3, protein disulphide isomerase family member(AGR3)","Homo sapiens"
"AHCYL1","O43865","","adenosylhomocysteinase like 1(AHCYL1)","Homo sapiens"
"AKR1C1","Q04828","","aldo-keto reductase family 1 member C1(AKR1C1)","Homo sapiens"
"AKR1C3","P42330","","aldo-keto reductase family 1 member C3(AKR1C3)","Homo sapiens"
"AKT1","P31749","","AKT serine/threonine kinase 1(AKT1)","Homo sapiens"
"ALCAM","Q13740","","activated leukocyte cell adhesion molecule(ALCAM)","Homo sapiens"
"ANAPC16","Q96DE5","","anaphase promoting complex subunit 16(ANAPC16)","Homo sapiens"
"ANAPC4","Q9UJX5","","anaphase promoting complex subunit 4(ANAPC4)","Homo sapiens"
"ANGPTL4","Q9BY76","","angiopoietin like 4(ANGPTL4)","Homo sapiens"
"ANKRD10","Q9NXR5","","ankyrin repeat domain 10(ANKRD10)","Homo sapiens"
"ANKRD17","O75179","","ankyrin repeat domain 17(ANKRD17)","Homo sapiens"
"ANLN","Q9NQW6","","anillin, actin binding protein(ANLN)","Homo sapiens"
"ANO10","Q9NW15","","anoctamin 10(ANO10)","Homo sapiens"
"ANP32A","P39687","","acidic nuclear phosphoprotein 32 family member A(ANP32A)","Homo sapiens"
"ANP32CP","O43423","","acidic nuclear phosphoprotein 32 family member C, pseudogene(ANP32CP)","Homo sapiens"
"ANP32D","O95626","","acidic nuclear phosphoprotein 32 family member D(ANP32D)","Homo sapiens"
"ANXA5","P08758","","annexin A5(ANXA5)","Homo sapiens"
"AP1M1","Q9BXS5","","adaptor related protein complex 1 subunit mu 1(AP1M1)","Homo sapiens"
"AP1M2","Q9Y6Q5","","adaptor related protein complex 1 subunit mu 2(AP1M2)","Homo sapiens"
"AP1S2","P56377","","adaptor related protein complex 1 subunit sigma 2(AP1S2)","Homo sapiens"
"AP5M1","Q9H0R1","","adaptor related protein complex 5 subunit mu 1(AP5M1)","Homo sapiens"
"API5","Q9BZZ5","","apoptosis inhibitor 5(API5)","Homo sapiens"
"APIP","Q96GX9","","APAF1 interacting protein(APIP)","Homo sapiens"
"ARAF","P10398","","A-Raf proto-oncogene, serine/threonine kinase(ARAF)","Homo sapiens"
"ARB2A","Q8WUF8","","ARB2 cotranscriptional regulator A(ARB2A)","Homo sapiens"
