"","x"
"1","A6NDU8"
"2","A8MZ36;Q92817"
"3","B0I1T2"
"4","O00291"
"5","O00422"
"6","O00463"
"7","O00469"
"8","O00483"
"9","O14657"
"10","O14896"
"11","O14979"
"12","O15078"
"13","O15085"
"14","O15126"
"15","O15321"
"16","O43292"
"17","O43665"
"18","O43670"
"19","O43760"
"20","O60333"
"21","O60476"
"22","O60479"
"23","O60711"
"24","O60831"
"25","O75054"
"26","O75110"
"27","O75110;O43861"
"28","O75368"
"29","O75554"
"30","O75683"
"31","O76041"
"32","O94768"
"33","O94782"
"34","O94875"
"35","O95159"
"36","O95208"
"37","O95361;Q309B1"
"38","O95716"
"39","O95758;P26599"
"40","O95822"
"41","O95835"
"42","O95995"
"43","P01100"
"44","P01116"
"45","P03956"
"46","P04920"
"47","P05090"
"48","P05164"
"49","P05549"
"50","P05783"
"51","P06400"
"52","P07902"
"53","P07910"
"54","P07942"
"55","P08133"
"56","P08574"
"57","P08621"
"58","P08727;P13646"
"59","P09104"
"60","P09234"
"61","P09493;P06753"
"62","P09493;P07951"
"63","P09651"
"64","P0C0L4"
"65","P0C7T5"
"66","P0DMR1;P07910;O60812;B2RXH8;B7ZW38"
"67","P0DOX5;P01860;P01857"
"68","P10412;Q02539;P22492;P16403;P16402"
"69","P11234;P11233"
"70","P12268"
"71","P13051"
"72","P15090"
"73","P16278"
"74","P16383"
"75","P16422"
"76","P16435"
"77","P17858"
"78","P19793;P28702;P48443"
"79","P20248"
"80","P20645"
"81","P23458"
"82","P23469"
"83","P27105"
"84","P28288"
"85","P28702"
"86","P30040"
"87","P30260"
"88","P30711"
"89","P30838"
"90","P31025;Q5VSP4"
"91","P31274"
"92","P31276"
"93","P31323"
"94","P31942"
"95","P34897"
"96","P35030"
"97","P35240"
"98","P35268"
"99","P35548"
"100","P36776"
"101","P37275"
"102","P42684"
"103","P43034"
"104","P43405"
"105","P45877"
"106","P46776"
"107","P48163"
"108","P48594;P29508"
"109","P48735"
"110","P49715"
"111","P50542"
