"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"A2M","P01023","","alpha-2-macroglobulin(A2M)","Homo sapiens"
"AAK1","Q2M2I8","","AP2 associated kinase 1(AAK1)","Homo sapiens"
"AASDHPPT","Q9NRN7","","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(AASDHPPT)","Homo sapiens"
"ABCE1","P61221","","ATP binding cassette subfamily E member 1(ABCE1)","Homo sapiens"
"ABHD14B","Q96IU4","","abhydrolase domain containing 14B(ABHD14B)","Homo sapiens"
"ABR","Q12979","","ABR activator of RhoGEF and GTPase(ABR)","Homo sapiens"
"ACAP2","Q15057","","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2(ACAP2)","Homo sapiens"
"ACIN1","Q9UKV3","","apoptotic chromatin condensation inducer 1(ACIN1)","Homo sapiens"
"ACLY","P53396","","ATP citrate lyase(ACLY)","Homo sapiens"
"ACOT7","O00154","","acyl-CoA thioesterase 7(ACOT7)","Homo sapiens"
"ACP1","P24666","","acid phosphatase 1(ACP1)","Homo sapiens"
"ACSF2","Q96CM8","","acyl-CoA synthetase family member 2(ACSF2)","Homo sapiens"
"ACSL4","O60488","","acyl-CoA synthetase long chain family member 4(ACSL4)","Homo sapiens"
"ACTA1","P68133","","actin alpha 1, skeletal muscle(ACTA1)","Homo sapiens"
"ACTA2","P62736","","actin alpha 2, smooth muscle(ACTA2)","Homo sapiens"
"ACTB","P60709","","actin beta(ACTB)","Homo sapiens"
"ACTBL2","Q562R1","","actin beta like 2(ACTBL2)","Homo sapiens"
"ACTC1","P68032","","actin alpha cardiac muscle 1(ACTC1)","Homo sapiens"
"ACTG1","P63261","","actin gamma 1(ACTG1)","Homo sapiens"
"ACTG2","P63267","","actin gamma 2, smooth muscle(ACTG2)","Homo sapiens"
"ACTR1A","P61163","","actin related protein 1A(ACTR1A)","Homo sapiens"
"ADK","P55263","","adenosine kinase(ADK)","Homo sapiens"
"ADSS2","P30520","","adenylosuccinate synthase 2(ADSS2)","Homo sapiens"
"AFG2A","Q8NB90","","AFG2 AAA ATPase homolog A(AFG2A)","Homo sapiens"
"AFTPH","Q6ULP2","","aftiphilin(AFTPH)","Homo sapiens"
"AGL","P35573","","amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase(AGL)","Homo sapiens"
"AGO3","Q9H9G7","","argonaute RISC catalytic component 3(AGO3)","Homo sapiens"
"AHCY","P23526","","adenosylhomocysteinase(AHCY)","Homo sapiens"
"AIP","O00170","","AHR interacting HSP90 co-chaperone(AIP)","Homo sapiens"
"AK2","P54819","","adenylate kinase 2(AK2)","Homo sapiens"
"AKAP13","Q12802","","A-kinase anchoring protein 13(AKAP13)","Homo sapiens"
"ALB","P02768","","albumin(ALB)","Homo sapiens"
"ALDH9A1","P49189","","aldehyde dehydrogenase 9 family member A1(ALDH9A1)","Homo sapiens"
"ALG6","Q9Y672","","ALG6 alpha-1,3-glucosyltransferase(ALG6)","Homo sapiens"
"AMOT","Q4VCS5","","angiomotin(AMOT)","Homo sapiens"
"ANKHD1","Q8IWZ3","","ankyrin repeat and KH domain containing 1(ANKHD1)","Homo sapiens"
"ANKMY2","Q8IV38","","ankyrin repeat and MYND domain containing 2(ANKMY2)","Homo sapiens"
"ANKRD17","O75179","","ankyrin repeat domain 17(ANKRD17)","Homo sapiens"
"ANKRD28","O15084","","ankyrin repeat domain 28(ANKRD28)","Homo sapiens"
"ANKZF1","Q9H8Y5","","ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1(ANKZF1)","Homo sapiens"
"ANP32A","P39687","","acidic nuclear phosphoprotein 32 family member A(ANP32A)","Homo sapiens"
"ANP32B","Q92688","","acidic nuclear phosphoprotein 32 family member B(ANP32B)","Homo sapiens"
"ANP32E","Q9BTT0","","acidic nuclear phosphoprotein 32 family member E(ANP32E)","Homo sapiens"
"ANXA1","P04083","","annexin A1(ANXA1)","Homo sapiens"
"AP2A2","O94973","","adaptor related protein complex 2 subunit alpha 2(AP2A2)","Homo sapiens"
"AP2S1","P53680","","adaptor related protein complex 2 subunit sigma 1(AP2S1)","Homo sapiens"
"AP3M1","Q9Y2T2","","adaptor related protein complex 3 subunit mu 1(AP3M1)","Homo sapiens"
"APBB1IP","Q7Z5R6","","amyloid beta precursor protein binding family B member 1 interacting protein(APBB1IP)","Homo sapiens"
"APEX1","P27695","","apurinic/apyrimidinic endodeoxyribonuclease 1(APEX1)","Homo sapiens"
"APH1A","Q96BI3","","aph-1 homolog A, gamma-secretase subunit(APH1A)","Homo sapiens"
"APMAP","Q9HDC9","","adipocyte plasma membrane associated protein(APMAP)","Homo sapiens"
"APOBEC3A","P31941","","apolipoprotein B mRNA editing enzyme catalytic subunit 3A(APOBEC3A)","Homo sapiens"
"APOBEC3B","Q9UH17","","apolipoprotein B mRNA editing enzyme catalytic subunit 3B(APOBEC3B)","Homo sapiens"
"APOBEC3D","Q96AK3","","apolipoprotein B mRNA editing enzyme catalytic subunit 3D(APOBEC3D)","Homo sapiens"
"ARCN1","P48444","","archain 1(ARCN1)","Homo sapiens"
"ARF1","P84077","","ARF GTPase 1(ARF1)","Homo sapiens"
"ARF1P1","P84077","","ARF GTPase 1 pseudogene 1(ARF1P1)","Homo sapiens"
"ARF3","P61204,P84077","","ARF GTPase 3(ARF3)","Homo sapiens"
