"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"ARF5","P84085","","ARF GTPase 5(ARF5)","Homo sapiens"
"ARFGAP1","Q8N6T3","","ARF GTPase activating protein 1(ARFGAP1)","Homo sapiens"
"ARFGAP3","Q8N6T3,Q9NP61","","ARF GTPase activating protein 3(ARFGAP3)","Homo sapiens"
"ARHGEF1","Q92888","","Rho guanine nucleotide exchange factor 1(ARHGEF1)","Homo sapiens"
"ARHGEF2","Q92974","","Rho/Rac guanine nucleotide exchange factor 2(ARHGEF2)","Homo sapiens"
"ARHGEF7","Q14155","","Rho guanine nucleotide exchange factor 7(ARHGEF7)","Homo sapiens"
"ARID3A","Q99856","","AT-rich interaction domain 3A(ARID3A)","Homo sapiens"
"ARIH1","Q9Y4X5","","ariadne RBR E3 ubiquitin protein ligase 1(ARIH1)","Homo sapiens"
"ARL1","P40616","","ARF like GTPase 1(ARL1)","Homo sapiens"
"ARL8A","Q96BM9","","ARF like GTPase 8A(ARL8A)","Homo sapiens"
"ARMC1","Q9NVT9","","armadillo repeat containing 1(ARMC1)","Homo sapiens"
"ARPC1B","O15143","","actin related protein 2/3 complex subunit 1B(ARPC1B)","Homo sapiens"
"ARPC4","P59998","","actin related protein 2/3 complex subunit 4(ARPC4)","Homo sapiens"
"ARRB2","P32121","","arrestin beta 2(ARRB2)","Homo sapiens"
"ASB3","Q9Y575","","ankyrin repeat and SOCS box containing 3(ASB3)","Homo sapiens"
"ASNS","P08243","","asparagine synthetase (glutamine-hydrolyzing)(ASNS)","Homo sapiens"
"ATG101","Q9BSB4","","autophagy related 101(ATG101)","Homo sapiens"
"ATG4B","Q9Y4P1","","autophagy related 4B cysteine peptidase(ATG4B)","Homo sapiens"
"ATP13A1","Q9HD20","","ATPase 13A1(ATP13A1)","Homo sapiens"
"ATP1A1","P05023","","ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)","Homo sapiens"
"ATP5F1A","P25705","","ATP synthase F1 subunit alpha(ATP5F1A)","Homo sapiens"
"ATP6V1B1","P15313","","ATPase H+ transporting V1 subunit B1(ATP6V1B1)","Homo sapiens"
"ATP6V1B2","P21281","","ATPase H+ transporting V1 subunit B2(ATP6V1B2)","Homo sapiens"
"ATP6V1G1","O75348","","ATPase H+ transporting V1 subunit G1(ATP6V1G1)","Homo sapiens"
"ATP8A1","Q9Y2Q0","","ATPase phospholipid transporting 8A1(ATP8A1)","Homo sapiens"
"ATRX","P46100","","ATRX chromatin remodeler(ATRX)","Homo sapiens"
"ATXN10","Q9UBB4","","ataxin 10(ATXN10)","Homo sapiens"
"BACC1","Q8IXM2","","BPTF associated chromatin complex component 1(BACC1)","Homo sapiens"
"BAG2","O95816","","BAG cochaperone 2(BAG2)","Homo sapiens"
"BANF1","O75531","","barrier to autointegration nuclear assembly factor 1(BANF1)","Homo sapiens"
"BARD1","Q99728","","BRCA1 associated RING domain 1(BARD1)","Homo sapiens"
"BCCIP","Q9P287","","BRCA2 and CDKN1A interacting protein(BCCIP)","Homo sapiens"
"BCKDK","O14874","","branched chain keto acid dehydrogenase kinase(BCKDK)","Homo sapiens"
"BECN1","Q14457","","beclin 1(BECN1)","Homo sapiens"
"BICD2","Q8TD16","","BICD cargo adaptor 2(BICD2)","Homo sapiens"
"BID","P55957","","BH3 interacting domain death agonist(BID)","Homo sapiens"
"BLOC1S5","Q8TDH9","","biogenesis of lysosomal organelles complex 1 subunit 5(BLOC1S5)","Homo sapiens"
"BMP2K","Q9NSY1","","BMP2 inducible kinase(BMP2K)","Homo sapiens"
"BPNT1","O95861","","3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)","Homo sapiens"
"BRD1","O95696","","bromodomain containing 1(BRD1)","Homo sapiens"
"BRD4","O60885","","bromodomain containing 4(BRD4)","Homo sapiens"
"BRK1","Q8WUW1","","BRICK1 subunit of SCAR/WAVE actin nucleating complex(BRK1)","Homo sapiens"
"BSPRY","Q5W0U4","","B-box and SPRY domain containing(BSPRY)","Homo sapiens"
"BTRC","Q9Y297","","beta-transducin repeat containing E3 ubiquitin protein ligase(BTRC)","Homo sapiens"
"BUB3","O43684","","BUB3 mitotic checkpoint protein(BUB3)","Homo sapiens"
"C12orf57","Q99622","","chromosome 12 open reading frame 57(C12orf57)","Homo sapiens"
"C1orf198","Q9H425","","chromosome 1 open reading frame 198(C1orf198)","Homo sapiens"
"C2CD3","Q4AC94","","C2 domain containing 3 centriole elongation regulator(C2CD3)","Homo sapiens"
"C3","P01024","","complement C3(C3)","Homo sapiens"
"C8orf33","Q9H7E9","","chromosome 8 open reading frame 33(C8orf33)","Homo sapiens"
"CACTIN","Q8WUQ7","","cactin, spliceosome C complex subunit(CACTIN)","Homo sapiens"
"CACYBP","Q9HB71","","calcyclin binding protein(CACYBP)","Homo sapiens"
"CAD","P27708","","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase(CAD)","Homo sapiens"
"CALM1","P0DP23","","calmodulin 1(CALM1)","Homo sapiens"
"CALM2","P0DP23,P0DP24","","calmodulin 2(CALM2)","Homo sapiens"
"CALM3","P0DP25,P0DP23","","calmodulin 3(CALM3)","Homo sapiens"
"CAMK2D","Q13557","","calcium/calmodulin dependent protein kinase II delta(CAMK2D)","Homo sapiens"
"CAMK2G","Q13555","","calcium/calmodulin dependent protein kinase II gamma(CAMK2G)","Homo sapiens"
"CANX","P27824","","calnexin(CANX)","Homo sapiens"
"CAP1","Q01518","","cyclase associated actin cytoskeleton regulatory protein 1(CAP1)","Homo sapiens"
"CAPG","P40121","","capping actin protein, gelsolin like(CAPG)","Homo sapiens"
"CAPN15","O75808","","calpain 15(CAPN15)","Homo sapiens"
"CAPZA1","P52907","","capping actin protein of muscle Z-line subunit alpha 1(CAPZA1)","Homo sapiens"
"CARS1","P49589","","cysteinyl-tRNA synthetase 1(CARS1)","Homo sapiens"
"CARS2","Q9HA77","","cysteinyl-tRNA synthetase 2, mitochondrial(CARS2)","Homo sapiens"
"CASP2","P42575","","caspase 2(CASP2)","Homo sapiens"
"CASP3","P42574","","caspase 3(CASP3)","Homo sapiens"
"CASP8","Q14790","","caspase 8(CASP8)","Homo sapiens"
"CAV1","Q03135","","caveolin 1(CAV1)","Homo sapiens"
"CBX3","Q13185","","chromobox 3(CBX3)","Homo sapiens"
"CBX4","O00257","","chromobox 4(CBX4)","Homo sapiens"
"CC2D1B","Q5T0F9","","coiled-coil and C2 domain containing 1B(CC2D1B)","Homo sapiens"
"CCDC186","Q7Z3E2","","coiled-coil domain containing 186(CCDC186)","Homo sapiens"
"CCDC25","Q86WR0","","coiled-coil domain containing 25(CCDC25)","Homo sapiens"
"CCDC77","Q9BR77","","coiled-coil domain containing 77(CCDC77)","Homo sapiens"
"CCDC85C","A6NKD9","","coiled-coil domain containing 85C(CCDC85C)","Homo sapiens"
"CCDC86","Q9H6F5","","coiled-coil domain containing 86(CCDC86)","Homo sapiens"
"CCDC97","Q96F63","","coiled-coil domain containing 97(CCDC97)","Homo sapiens"
"CCNB1","P14635","","cyclin B1(CCNB1)","Homo sapiens"
"CCNB2","O95067","","cyclin B2(CCNB2)","Homo sapiens"
"CCNK","O75909","","cyclin K(CCNK)","Homo sapiens"
"CCNT1","O60563","","cyclin T1(CCNT1)","Homo sapiens"
"CCP110","O43303","","centriolar coiled-coil protein 110(CCP110)","Homo sapiens"
"CCT5","P48643","","chaperonin containing TCP1 subunit 5(CCT5)","Homo sapiens"
"CCT6A","P40227","","chaperonin containing TCP1 subunit 6A(CCT6A)","Homo sapiens"
"CCT6B","Q92526","","chaperonin containing TCP1 subunit 6B(CCT6B)","Homo sapiens"
"CCT7","Q99832","","chaperonin containing TCP1 subunit 7(CCT7)","Homo sapiens"
"CCT8","P50990","","chaperonin containing TCP1 subunit 8(CCT8)","Homo sapiens"
"CD3E","P07766","","CD3 epsilon subunit of T-cell receptor complex(CD3E)","Homo sapiens"
"CDC20","Q12834","","cell division cycle 20(CDC20)","Homo sapiens"
"CDC23","Q9UJX2","","cell division cycle 23(CDC23)","Homo sapiens"
"CDC42BPA","Q5VT25","","CDC42 binding protein kinase alpha(CDC42BPA)","Homo sapiens"
"CDC42BPB","Q9Y5S2","","CDC42 binding protein kinase beta(CDC42BPB)","Homo sapiens"
"CDC5L","Q99459","","cell division cycle 5 like(CDC5L)","Homo sapiens"
"CDCA7L","Q96GN5","","cell division cycle associated 7 like(CDCA7L)","Homo sapiens"
"CDIPT","O14735","","CDP-diacylglycerol--inositol 3-phosphatidyltransferase(CDIPT)","Homo sapiens"
"CDK1","P06493","","cyclin dependent kinase 1(CDK1)","Homo sapiens"
"CDK12","Q9NYV4","","cyclin dependent kinase 12(CDK12)","Homo sapiens"
"CDK17","Q00537","","cyclin dependent kinase 17(CDK17)","Homo sapiens"
"CDK4","P11802","","cyclin dependent kinase 4(CDK4)","Homo sapiens"
"CDK5","Q00535","","cyclin dependent kinase 5(CDK5)","Homo sapiens"
"CDKN1B","P46527","","cyclin dependent kinase inhibitor 1B(CDKN1B)","Homo sapiens"
"CENPE","Q02224","","centromere protein E(CENPE)","Homo sapiens"
"CENPM","Q9NSP4","","centromere protein M(CENPM)","Homo sapiens"
"CENPV","Q7Z7K6","","centromere protein V(CENPV)","Homo sapiens"
"CEP104","O60308","","centrosomal protein 104(CEP104)","Homo sapiens"
"CEP120","Q8N960","","centrosomal protein 120(CEP120)","Homo sapiens"
"CEP135","Q66GS9","","centrosomal protein 135(CEP135)","Homo sapiens"
"CEP162","Q5TB80","","centrosomal protein 162(CEP162)","Homo sapiens"
"CEP350","Q5VT06","","centrosomal protein 350(CEP350)","Homo sapiens"
"CEP41","Q9BYV8","","centrosomal protein 41(CEP41)","Homo sapiens"
"CEP85","Q6P2H3","","centrosomal protein 85(CEP85)","Homo sapiens"
"CETN2","P41208","","centrin 2(CETN2)","Homo sapiens"
"CFB","P00751","","complement factor B(CFB)","Homo sapiens"
"CHAF1A","Q13111","","chromatin assembly factor 1 subunit A(CHAF1A)","Homo sapiens"
"CHCHD2","Q9Y6H1,Q5T1J5","","coiled-coil-helix-coiled-coil-helix domain containing 2(CHCHD2)","Homo sapiens"
"CHD3","Q12873","","chromodomain helicase DNA binding protein 3(CHD3)","Homo sapiens"
"CHD4","Q14839","","chromodomain helicase DNA binding protein 4(CHD4)","Homo sapiens"
"CHD8","Q9HCK8","","chromodomain helicase DNA binding protein 8(CHD8)","Homo sapiens"
"CHDH","Q8NE62","","choline dehydrogenase(CHDH)","Homo sapiens"
"CHUK","O15111","","component of inhibitor of nuclear factor kappa B kinase complex(CHUK)","Homo sapiens"
"CIAO2B","Q9Y3D0","","cytosolic iron-sulfur assembly component 2B(CIAO2B)","Homo sapiens"
"CIR1","Q86X95","","corepressor interacting with RBPJ, CIR1(CIR1)","Homo sapiens"
"CIZ1","Q9ULV3","","CDKN1A interacting zinc finger protein 1(CIZ1)","Homo sapiens"
"CKAP2L","Q8IYA6","","cytoskeleton associated protein 2 like(CKAP2L)","Homo sapiens"
"CKS1B","P61024","","CDC28 protein kinase regulatory subunit 1B(CKS1B)","Homo sapiens"
"CLCN3","P51790","","chloride voltage-gated channel 3(CLCN3)","Homo sapiens"
"CLIC4","Q9Y696","","chloride intracellular channel 4(CLIC4)","Homo sapiens"
"CLK1","P49759","","CDC like kinase 1(CLK1)","Homo sapiens"
"CLK4","Q9HAZ1","","CDC like kinase 4(CLK4)","Homo sapiens"
"CLPTM1","O96005","","CLPTM1 regulator of GABA type A receptor forward trafficking(CLPTM1)","Homo sapiens"
"CLUH","O75153","","clustered mitochondria homolog(CLUH)","Homo sapiens"
"CMPK1","P30085","","cytidine/uridine monophosphate kinase 1(CMPK1)","Homo sapiens"
"CNDP2","Q96KP4","","carnosine dipeptidase 2(CNDP2)","Homo sapiens"
"CNN3","Q15417","","calponin 3(CNN3)","Homo sapiens"
"CNOT2","Q9NZN8","","CCR4-NOT transcription complex subunit 2(CNOT2)","Homo sapiens"
"CNOT3","O75175","","CCR4-NOT transcription complex subunit 3(CNOT3)","Homo sapiens"
"COBL","O75128","","cordon-bleu WH2 repeat protein(COBL)","Homo sapiens"
"COL12A1","Q99715","","collagen type XII alpha 1 chain(COL12A1)","Homo sapiens"
"COL6A3","P12111","","collagen type VI alpha 3 chain(COL6A3)","Homo sapiens"
"COLGALT1","Q8NBJ5","","collagen beta(1-O)galactosyltransferase 1(COLGALT1)","Homo sapiens"
"COPA","P53621","","COPI coat complex subunit alpha(COPA)","Homo sapiens"
"COPB2","P35606","","COPI coat complex subunit beta 2(COPB2)","Homo sapiens"
"COPG1","Q9Y678","","COPI coat complex subunit gamma 1(COPG1)","Homo sapiens"
"COPS2","P61201","","COP9 signalosome subunit 2(COPS2)","Homo sapiens"
"COPS5","Q92905","","COP9 signalosome subunit 5(COPS5)","Homo sapiens"
"COPZ1","P61923","","COPI coat complex subunit zeta 1(COPZ1)","Homo sapiens"
"CORO1C","Q9ULV4","","coronin 1C(CORO1C)","Homo sapiens"
"CORO7","P57737","","coronin 7(CORO7)","Homo sapiens"
"COTL1","Q14019","","coactosin like F-actin binding protein 1(COTL1)","Homo sapiens"
"COX5B","P10606","","cytochrome c oxidase subunit 5B(COX5B)","Homo sapiens"
"CPNE1","Q99829","","copine 1(CPNE1)","Homo sapiens"
"CPOX","P36551","","coproporphyrinogen oxidase(CPOX)","Homo sapiens"
"CPSF2","Q9P2I0","","cleavage and polyadenylation specific factor 2(CPSF2)","Homo sapiens"
"CPSF7","Q8N684","","cleavage and polyadenylation specific factor 7(CPSF7)","Homo sapiens"
"CRABP1","P29762","","cellular retinoic acid binding protein 1(CRABP1)","Homo sapiens"
"CREB3L4","Q8TEY5","","cAMP responsive element binding protein 3 like 4(CREB3L4)","Homo sapiens"
"CRIP2","P52943","","cysteine rich protein 2(CRIP2)","Homo sapiens"
"CRNKL1","Q9BZJ0","","crooked neck pre-mRNA splicing factor 1(CRNKL1)","Homo sapiens"
"CSE1L","P55060","","chromosome segregation 1 like(CSE1L)","Homo sapiens"
"CSNK1E","P49674","","casein kinase 1 epsilon(CSNK1E)","Homo sapiens"
"CSNK2B","P67870","","casein kinase 2 beta(CSNK2B)","Homo sapiens"
"CSTF3","Q12996","","cleavage stimulation factor subunit 3(CSTF3)","Homo sapiens"
"CTDP1","Q9Y5B0","","CTD phosphatase subunit 1(CTDP1)","Homo sapiens"
"CTSA","P10619","","cathepsin A(CTSA)","Homo sapiens"
"CUL2","Q13617","","cullin 2(CUL2)","Homo sapiens"
"CUL3","Q13618","","cullin 3(CUL3)","Homo sapiens"
"CWC15","Q9P013","","CWC15 spliceosome associated protein homolog(CWC15)","Homo sapiens"
"CWC22","Q9HCG8","","CWC22 spliceosome associated protein homolog(CWC22)","Homo sapiens"
"CWC25","Q9NXE8","","CWC25 spliceosome associated protein homolog(CWC25)","Homo sapiens"
"CYFIP1","Q7L576","","cytoplasmic FMR1 interacting protein 1(CYFIP1)","Homo sapiens"
"CYFIP2","Q96F07","","cytoplasmic FMR1 interacting protein 2(CYFIP2)","Homo sapiens"
"CYLD","Q9NQC7","","CYLD lysine 63 deubiquitinase(CYLD)","Homo sapiens"
"CYP4V2","Q6ZWL3","","cytochrome P450 family 4 subfamily V member 2(CYP4V2)","Homo sapiens"
"CYRIB","Q9NUQ9","","CYFIP related Rac1 interactor B(CYRIB)","Homo sapiens"
"D2HGDH","Q8N465","","D-2-hydroxyglutarate dehydrogenase(D2HGDH)","Homo sapiens"
"DBI","P07108","","diazepam binding inhibitor, acyl-CoA binding protein(DBI)","Homo sapiens"
"DCTN4","Q9UJW0","","dynactin subunit 4(DCTN4)","Homo sapiens"
"DCUN1D5","Q9BTE7","","defective in cullin neddylation 1 domain containing 5(DCUN1D5)","Homo sapiens"
"DDA1","Q9BW61","","DET1 and DDB1 associated 1(DDA1)","Homo sapiens"
"DDRGK1","Q96HY6","","DDRGK domain containing 1(DDRGK1)","Homo sapiens"
"DDX1","Q92499","","DEAD-box helicase 1(DDX1)","Homo sapiens"
"DDX19A","Q9NUU7","","DEAD-box helicase 19A(DDX19A)","Homo sapiens"
"DDX19B","Q9UMR2","","DEAD-box helicase 19B(DDX19B)","Homo sapiens"
"DEGS2","Q6QHC5","","delta 4-desaturase, sphingolipid 2(DEGS2)","Homo sapiens"
"DENND10","Q8TCE6,Q6NSW5","","DENN domain containing 10(DENND10)","Homo sapiens"
"DENND1B","Q6P3S1","","DENN domain containing 1B(DENND1B)","Homo sapiens"
"DERL1","Q9BUN8","","derlin 1(DERL1)","Homo sapiens"
"DES","P17661","","desmin(DES)","Homo sapiens"
"DHTKD1","Q96HY7","","dehydrogenase E1 and transketolase domain containing 1(DHTKD1)","Homo sapiens"
"DHX16","O60231","","DEAH-box helicase 16(DHX16)","Homo sapiens"
"DHX8","Q14562","","DEAH-box helicase 8(DHX8)","Homo sapiens"
"DIABLO","Q9NR28","","diablo IAP-binding mitochondrial protein(DIABLO)","Homo sapiens"
"DIAPH3","Q9NSV4","","diaphanous related formin 3(DIAPH3)","Homo sapiens"
"DIP2B","Q9P265","","disco interacting protein 2 homolog B(DIP2B)","Homo sapiens"
"DMAP1","Q9NPF5","","DNA methyltransferase 1 associated protein 1(DMAP1)","Homo sapiens"
"DMPK","Q09013","","DM1 protein kinase(DMPK)","Homo sapiens"
"DNAAF5","Q86Y56","","dynein axonemal assembly factor 5(DNAAF5)","Homo sapiens"
"DNAJB1","P25685","","DnaJ heat shock protein family (Hsp40) member B1(DNAJB1)","Homo sapiens"
"DNAJC14","Q6Y2X3","","DnaJ heat shock protein family (Hsp40) member C14(DNAJC14)","Homo sapiens"
"DNAJC17","Q9NVM6","","DnaJ heat shock protein family (Hsp40) member C17(DNAJC17)","Homo sapiens"
"DNMBP","Q6XZF7","","dynamin binding protein(DNMBP)","Homo sapiens"
"DNMT1","P26358","","DNA methyltransferase 1(DNMT1)","Homo sapiens"
"DOCK2","Q92608","","dedicator of cytokinesis 2(DOCK2)","Homo sapiens"
"DOHH","Q9BU89","","deoxyhypusine hydroxylase(DOHH)","Homo sapiens"
"DPP3","Q9NY33","","dipeptidyl peptidase 3(DPP3)","Homo sapiens"
"DPY30","Q9C005","","dpy-30 histone methyltransferase complex regulatory subunit(DPY30)","Homo sapiens"
"DPYSL2","Q16555","","dihydropyrimidinase like 2(DPYSL2)","Homo sapiens"
"DRG2","P55039","","developmentally regulated GTP binding protein 2(DRG2)","Homo sapiens"
"DTNA","Q9Y4J8","","dystrobrevin alpha(DTNA)","Homo sapiens"
"DUS3L","Q96G46","","dihydrouridine synthase 3 like(DUS3L)","Homo sapiens"
"DUSP12","Q9UNI6","","dual specificity phosphatase 12(DUSP12)","Homo sapiens"
"DYNC1H1","Q14204","","dynein cytoplasmic 1 heavy chain 1(DYNC1H1)","Homo sapiens"
"DYNLT1","P63172","","dynein light chain Tctex-type 1(DYNLT1)","Homo sapiens"
"E2F2","Q14209","","E2F transcription factor 2(E2F2)","Homo sapiens"
"E2F3","O00716","","E2F transcription factor 3(E2F3)","Homo sapiens"
"ECH1","Q13011","","enoyl-CoA hydratase 1(ECH1)","Homo sapiens"
"EEF1B2","P24534","","eukaryotic translation elongation factor 1 beta 2(EEF1B2)","Homo sapiens"
"EEF1D","P29692","","eukaryotic translation elongation factor 1 delta(EEF1D)","Homo sapiens"
"EEF1G","P26641","","eukaryotic translation elongation factor 1 gamma(EEF1G)","Homo sapiens"
"EEIG2","Q5T8I3","","EEIG family member 2(EEIG2)","Homo sapiens"
"EFHD1","Q9BUP0","","EF-hand domain family member D1(EFHD1)","Homo sapiens"
"EFHD2","Q96C19","","EF-hand domain family member D2(EFHD2)","Homo sapiens"
"EFL1","Q7Z2Z2","","elongation factor like GTPase 1(EFL1)","Homo sapiens"
"EGFR","P00533","","epidermal growth factor receptor(EGFR)","Homo sapiens"
"EHD1","Q9H4M9","","EH domain containing 1(EHD1)","Homo sapiens"
"EHD3","Q9NZN3","","EH domain containing 3(EHD3)","Homo sapiens"
"EHD4","Q9H223","","EH domain containing 4(EHD4)","Homo sapiens"
"EHHADH","Q08426","","enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase(EHHADH)","Homo sapiens"
"EIF1","P41567","","eukaryotic translation initiation factor 1(EIF1)","Homo sapiens"
"EIF1AX","P47813","","eukaryotic translation initiation factor 1A X-linked(EIF1AX)","Homo sapiens"
"EIF1AY","O14602","","eukaryotic translation initiation factor 1A Y-linked(EIF1AY)","Homo sapiens"
"EIF1B","O60739","","eukaryotic translation initiation factor 1B(EIF1B)","Homo sapiens"
"EIF2S3","P41091","","eukaryotic translation initiation factor 2 subunit gamma(EIF2S3)","Homo sapiens"
"EIF2S3B","Q2VIR3","","eukaryotic translation initiation factor 2 subunit gamma B(EIF2S3B)","Homo sapiens"
"EIF3F","O00303","","eukaryotic translation initiation factor 3 subunit F(EIF3F)","Homo sapiens"
"EIF3G","O75821","","eukaryotic translation initiation factor 3 subunit G(EIF3G)","Homo sapiens"
"EIF3J","O75822","","eukaryotic translation initiation factor 3 subunit J(EIF3J)","Homo sapiens"
"EIF3M","Q7L2H7","","eukaryotic translation initiation factor 3 subunit M(EIF3M)","Homo sapiens"
"EIF4A1","P60842","","eukaryotic translation initiation factor 4A1(EIF4A1)","Homo sapiens"
"EIF4A2","Q14240","","eukaryotic translation initiation factor 4A2(EIF4A2)","Homo sapiens"
"EIF4G1","Q04637","","eukaryotic translation initiation factor 4 gamma 1(EIF4G1)","Homo sapiens"
"EIF4H","Q15056","","eukaryotic translation initiation factor 4H(EIF4H)","Homo sapiens"
"EIF5A","P63241","","eukaryotic translation initiation factor 5A(EIF5A)","Homo sapiens"
"EIF5A2","Q9GZV4","","eukaryotic translation initiation factor 5A2(EIF5A2)","Homo sapiens"
"EIF5AL1","P63241,Q6IS14","","eukaryotic translation initiation factor 5A like 1(EIF5AL1)","Homo sapiens"
"ELP6","Q0PNE2","","elongator acetyltransferase complex subunit 6(ELP6)","Homo sapiens"
"EMC8","O43402","","ER membrane protein complex subunit 8(EMC8)","Homo sapiens"
"EMD","P50402","","emerin(EMD)","Homo sapiens"
"EML4","Q9HC35","","EMAP like 4(EML4)","Homo sapiens"
"ENO3","P13929","","enolase 3(ENO3)","Homo sapiens"
"ENOPH1","Q9UHY7","","enolase-phosphatase 1(ENOPH1)","Homo sapiens"
