"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"ABCC3","O15438","","ATP binding cassette subfamily C member 3(ABCC3)","Homo sapiens"
"ABLIM3","O94929","","actin binding LIM protein family member 3(ABLIM3)","Homo sapiens"
"ACACA","Q13085","","acetyl-CoA carboxylase alpha(ACACA)","Homo sapiens"
"ACACB","O00763","","acetyl-CoA carboxylase beta(ACACB)","Homo sapiens"
"ACAD8","Q9UKU7","","acyl-CoA dehydrogenase family member 8(ACAD8)","Homo sapiens"
"ACTR6","Q9GZN1","","actin related protein 6(ACTR6)","Homo sapiens"
"ADAM15","Q13444","","ADAM metallopeptidase domain 15(ADAM15)","Homo sapiens"
"ADISSP","Q9GZN8","","adipose secreted signaling protein(ADISSP)","Homo sapiens"
"AGPAT1","Q99943","","1-acylglycerol-3-phosphate O-acyltransferase 1(AGPAT1)","Homo sapiens"
"AGR2","O95994","","anterior gradient 2, protein disulphide isomerase family member(AGR2)","Homo sapiens"
"AGRN","O00468","","agrin(AGRN)","Homo sapiens"
"AHDC1","Q5TGY3","","AT-hook DNA binding motif containing 1(AHDC1)","Homo sapiens"
"AHR","P35869","","aryl hydrocarbon receptor(AHR)","Homo sapiens"
"AIFM2","Q9BRQ8","","AIF family member 2(AIFM2)","Homo sapiens"
"AK1","P00568","","adenylate kinase 1(AK1)","Homo sapiens"
"AKAP10","O43572","","A-kinase anchoring protein 10(AKAP10)","Homo sapiens"
"AKNA","Q7Z591","","AT-hook transcription factor(AKNA)","Homo sapiens"
"AKT1S1","Q96B36","","AKT1 substrate 1(AKT1S1)","Homo sapiens"
"ALDH16A1","Q8IZ83","","aldehyde dehydrogenase 16 family member A1(ALDH16A1)","Homo sapiens"
"ALDH18A1","P54886","","aldehyde dehydrogenase 18 family member A1(ALDH18A1)","Homo sapiens"
"ALDH3A2","P51648","","aldehyde dehydrogenase 3 family member A2(ALDH3A2)","Homo sapiens"
"ALG9","Q9H6U8","","ALG9 alpha-1,2-mannosyltransferase(ALG9)","Homo sapiens"
"AMBRA1","Q9C0C7","","autophagy and beclin 1 regulator 1(AMBRA1)","Homo sapiens"
"AMOTL1","Q8IY63","","angiomotin like 1(AMOTL1)","Homo sapiens"
"ANAPC7","Q9UJX3","","anaphase promoting complex subunit 7(ANAPC7)","Homo sapiens"
"ANKRD11","Q6UB99","","ankyrin repeat domain containing 11(ANKRD11)","Homo sapiens"
"ANKRD39","Q53RE8","","ankyrin repeat domain 39(ANKRD39)","Homo sapiens"
"ANKRD44","Q8N8A2","","ankyrin repeat domain 44(ANKRD44)","Homo sapiens"
"AP4B1","Q9Y6B7","","adaptor related protein complex 4 subunit beta 1(AP4B1)","Homo sapiens"
"AP4E1","Q9UPM8","","adaptor related protein complex 4 subunit epsilon 1(AP4E1)","Homo sapiens"
"AP5B1","Q2VPB7","","adaptor related protein complex 5 subunit beta 1(AP5B1)","Homo sapiens"
"APAF1","O14727","","apoptotic peptidase activating factor 1(APAF1)","Homo sapiens"
"APPL2","Q8NEU8","","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2(APPL2)","Homo sapiens"
"APTX","Q7Z2E3","","aprataxin(APTX)","Homo sapiens"
"ARAP3","Q8WWN8","","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3(ARAP3)","Homo sapiens"
"ARFGEF2","Q9Y6D5","","ARF guanine nucleotide exchange factor 2(ARFGEF2)","Homo sapiens"
"ARHGAP25","P42331","","Rho GTPase activating protein 25(ARHGAP25)","Homo sapiens"
"ARHGAP29","Q52LW3","","Rho GTPase activating protein 29(ARHGAP29)","Homo sapiens"
"ARHGAP5","Q13017","","Rho GTPase activating protein 5(ARHGAP5)","Homo sapiens"
"ARHGEF10","O15013","","Rho guanine nucleotide exchange factor 10(ARHGEF10)","Homo sapiens"
"ARHGEF10L","Q9HCE6","","Rho guanine nucleotide exchange factor 10 like(ARHGEF10L)","Homo sapiens"
"ARHGEF17","Q96PE2","","Rho guanine nucleotide exchange factor 17(ARHGEF17)","Homo sapiens"
"ARHGEF28","Q8N1W1","","Rho guanine nucleotide exchange factor 28(ARHGEF28)","Homo sapiens"
"ARK2N","Q96B23","","arkadia (RNF111) N-terminal like PKA signaling regulator 2N(ARK2N)","Homo sapiens"
"ARNT","P27540","","aryl hydrocarbon receptor nuclear translocator(ARNT)","Homo sapiens"
"ARPC1A","Q92747","","actin related protein 2/3 complex subunit 1A(ARPC1A)","Homo sapiens"
"ARRB1","P49407","","arrestin beta 1(ARRB1)","Homo sapiens"
"ARRDC1","Q8N5I2","","arrestin domain containing 1(ARRDC1)","Homo sapiens"
"ASAP2","O43150","","ArfGAP with SH3 domain, ankyrin repeat and PH domain 2(ASAP2)","Homo sapiens"
"ASCC2","Q9H1I8","","activating signal cointegrator 1 complex subunit 2(ASCC2)","Homo sapiens"
"ASMTL","O95671","","acetylserotonin O-methyltransferase like(ASMTL)","Homo sapiens"
"ASXL2","Q76L83","","ASXL transcriptional regulator 2(ASXL2)","Homo sapiens"
"ATAD3B","Q5T9A4","","ATPase family AAA domain containing 3B(ATAD3B)","Homo sapiens"
"ATG16L1","Q676U5","","autophagy related 16 like 1(ATG16L1)","Homo sapiens"
"ATG5","Q9H1Y0","","autophagy related 5(ATG5)","Homo sapiens"
"ATN1","P54259","","atrophin 1(ATN1)","Homo sapiens"
"ATP12A","P54707","","ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A)","Homo sapiens"
"ATP1A1","P05023","","ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)","Homo sapiens"
"ATP1A2","P50993","","ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)","Homo sapiens"
"ATP1A3","P13637","","ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)","Homo sapiens"
"ATP1A4","Q13733","","ATPase Na+/K+ transporting subunit alpha 4(ATP1A4)","Homo sapiens"
"ATP1B3","P54709","","ATPase Na+/K+ transporting subunit beta 3(ATP1B3)","Homo sapiens"
"ATP2B1","P20020","","ATPase plasma membrane Ca2+ transporting 1(ATP2B1)","Homo sapiens"
"ATP4A","P20648","","ATPase H+/K+ transporting subunit alpha(ATP4A)","Homo sapiens"
"ATP5PD","O75947","","ATP synthase peripheral stalk subunit d(ATP5PD)","Homo sapiens"
"ATR","Q13535","","ATR serine/threonine kinase(ATR)","Homo sapiens"
"ATXN1","P54253","","ataxin 1(ATXN1)","Homo sapiens"
"AXIN1","O15169","","axin 1(AXIN1)","Homo sapiens"
"AZGP1","P25311","","alpha-2-glycoprotein 1, zinc-binding(AZGP1)","Homo sapiens"
"BACH1","O14867","","BTB domain and CNC homolog 1(BACH1)","Homo sapiens"
"BAIAP2","Q9UQB8","","BAR/IMD domain containing adaptor protein 2(BAIAP2)","Homo sapiens"
"BANP","Q8N9N5","","BTG3 associated nuclear protein(BANP)","Homo sapiens"
"BCAR3","O75815","","BCAR3 adaptor protein, NSP family member(BCAR3)","Homo sapiens"
"BCL2L1","Q07817","","BCL2 like 1(BCL2L1)","Homo sapiens"
"BCL3","P20749","","BCL3 transcription coactivator(BCL3)","Homo sapiens"
"BCL7C","Q8WUZ0","","BAF chromatin remodeling complex subunit BCL7C(BCL7C)","Homo sapiens"
"BCL9L","Q86UU0","","BCL9 like(BCL9L)","Homo sapiens"
"BCLAF1","Q9NYF8","","BCL2 associated transcription factor 1(BCLAF1)","Homo sapiens"
"BICRA","Q9NZM4","","BRD4 interacting chromatin remodeling complex associated protein(BICRA)","Homo sapiens"
"BICRAL","Q6AI39","","BICRA like chromatin remodeling complex associated protein(BICRAL)","Homo sapiens"
"BIRC6","Q9NR09","","baculoviral IAP repeat containing 6(BIRC6)","Homo sapiens"
"BLTP3B","A0JNW5","","bridge-like lipid transfer protein family member 3B(BLTP3B)","Homo sapiens"
"BRMS1L","Q5PSV4","","BRMS1 like transcriptional repressor(BRMS1L)","Homo sapiens"
"BUD13","Q9BRD0","","BUD13 homolog(BUD13)","Homo sapiens"
"C15orf39","Q6ZRI6","","chromosome 15 open reading frame 39(C15orf39)","Homo sapiens"
"C19orf53","Q9UNZ5","","chromosome 19 open reading frame 53(C19orf53)","Homo sapiens"
"C2orf69","Q8N8R5","","chromosome 2 open reading frame 69(C2orf69)","Homo sapiens"
"C6orf120","Q7Z4R8","","chromosome 6 open reading frame 120(C6orf120)","Homo sapiens"
"C8orf44-SGK3","Q96BR1","","C8orf44-SGK3 readthrough(C8orf44-SGK3)","Homo sapiens"
"C9orf72","Q96LT7","","C9orf72-SMCR8 complex subunit(C9orf72)","Homo sapiens"
"CACNB3","P54284","","calcium voltage-gated channel auxiliary subunit beta 3(CACNB3)","Homo sapiens"
"CAMK1","Q14012","","calcium/calmodulin dependent protein kinase I(CAMK1)","Homo sapiens"
"CAP2","P40123","","cyclase associated actin cytoskeleton regulatory protein 2(CAP2)","Homo sapiens"
"CAPN2","P17655","","calpain 2(CAPN2)","Homo sapiens"
"CAPN7","Q9Y6W3","","calpain 7(CAPN7)","Homo sapiens"
"CARNMT1","Q8N4J0","","carnosine N-methyltransferase 1(CARNMT1)","Homo sapiens"
