"","x"
"1","A0A0B4J2F2;P57059"
"2","A0A1B0GUS4;P68036"
"3","A0AV02"
"4","A0AVF1"
"5","A0FGR8"
"6","A0MZ66"
"7","A0PJW6"
"8","A0PK00"
"9","A1A4S6"
"10","A1IGU5"
"11","A1KZ92"
"12","A1L170"
"13","A1L390"
"14","A1YPR0"
"15","A2RTX5;P26639"
"16","A4D1E9"
"17","A4D1S5"
"18","A4D1U4"
"19","A4D2H0;Q86UF2;Q96RT6;Q96PC5"
"20","A5D8V6"
"21","A5PLL7"
"22","A6NDB9"
"23","A6NEL2"
"24","A6NFQ2"
"25","A6NIZ1;P61224"
"26","A6NMZ7"
"27","A7KAX9"
"28","C9J069"
"29","L0R6Q1"
"30","O00124"
"31","O00142"
"32","O00160"
"33","O00167"
"34","O00194"
"35","O00238"
"36","O00258"
"37","O00268"
"38","O00322"
"39","O00329"
"40","O00358"
"41","O00400"
"42","O00401"
"43","O00418"
"44","O00459"
"45","O00470;O14770"
"46","O00512"
"47","O00515"
"48","O00522"
"49","O00559"
"50","O00567"
"51","O00591"
"52","O00592"
"53","O00622"
"54","O00746"
"55","O00754"
"56","O14490"
"57","O14497"
"58","O14503"
"59","O14521"
"60","O14523"
"61","O14544"
"62","O14576"
"63","O14618"
"64","O14656"
"65","O14662"
"66","O14678"
"67","O14683"
"68","O14684"
"69","O14773"
"70","O14841"
"71","O14907"
"72","O14924"
"73","O14949"
"74","O14975"
"75","O14983"
"76","O15014"
"77","O15015"
"78","O15018"
"79","O15021"
"80","O15040"
"81","O15054"
"82","O15060"
"83","O15067"
"84","O15068"
"85","O15091"
"86","O15118"
"87","O15119"
"88","O15120"
"89","O15155"
"90","O15194"
"91","O15195"
"92","O15211"
"93","O15229"
"94","O15264"
"95","O15270"
"96","O15296"
"97","O15327"
"98","O15347"
"99","O15350"
"100","O15381"
"101","O15382"
"102","O15400"
"103","O15427"
"104","O15440"
"105","O15484"
"106","O15516;Q99743"
"107","O15519"
"108","O15522"
"109","O15530;Q6A1A2"
"110","O15533"
"111","O15534"
"112","O15551"
"113","O43148"
"114","O43149"
"115","O43157"
"116","O43181"
"117","O43246"
"118","O43248"
"119","O43272"
"120","O43278"
"121","O43295"
"122","O43306"
"123","O43310"
"124","O43312"
"125","O43374;C9J798"
"126","O43390"
"127","O43427"
"128","O43490"
"129","O43493"
"130","O43520"
"131","O43583"
"132","O43633"
"133","O43707"
"134","O43707;P35609;P12814"
"135","O43707;Q08043;P35609;P12814"
"136","O43731"
"137","O43741"
"138","O43772"
"139","O43861"
