"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"AAAS","Q9NRG9","","aladin WD repeat nucleoporin(AAAS)","Homo sapiens"
"AAR2","Q9Y312","","AAR2 splicing factor(AAR2)","Homo sapiens"
"ABCA2","Q9BZC7","","ATP binding cassette subfamily A member 2(ABCA2)","Homo sapiens"
"ABCC1","P33527","","ATP binding cassette subfamily C member 1 (ABCC1 blood group)(ABCC1)","Homo sapiens"
"ABCF2","Q9UG63","","ATP binding cassette subfamily F member 2(ABCF2)","Homo sapiens"
"ABCF3","Q9NUQ8","","ATP binding cassette subfamily F member 3(ABCF3)","Homo sapiens"
"ABI1","Q8IZP0","","abl interactor 1(ABI1)","Homo sapiens"
"ABI2","Q9NYB9","","abl interactor 2(ABI2)","Homo sapiens"
"ABLIM1","O14639","","actin binding LIM protein 1(ABLIM1)","Homo sapiens"
"ACAD11","Q709F0","","acyl-CoA dehydrogenase family member 11(ACAD11)","Homo sapiens"
"ACAP1","Q15027","","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1(ACAP1)","Homo sapiens"
"ACOX3","O15254","","acyl-CoA oxidase 3, pristanoyl(ACOX3)","Homo sapiens"
"ACSL3","O95573","","acyl-CoA synthetase long chain family member 3(ACSL3)","Homo sapiens"
"ACSL4","O60488","","acyl-CoA synthetase long chain family member 4(ACSL4)","Homo sapiens"
"ACSS3","Q9H6R3","","acyl-CoA synthetase short chain family member 3(ACSS3)","Homo sapiens"
"ACTL6A","O96019","","actin like 6A(ACTL6A)","Homo sapiens"
"ACTL6B","O94805","","actin like 6B(ACTL6B)","Homo sapiens"
"ACTN1","P12814","","actinin alpha 1(ACTN1)","Homo sapiens"
"ACTN2","P35609","","actinin alpha 2(ACTN2)","Homo sapiens"
"ACTN3","Q08043","","actinin alpha 3(ACTN3)","Homo sapiens"
"ACTR8","Q9H981","","actin related protein 8(ACTR8)","Homo sapiens"
"ADA","P00813","","adenosine deaminase(ADA)","Homo sapiens"
"ADAR","P55265","","adenosine deaminase RNA specific(ADAR)","Homo sapiens"
"ADD1","P35611","","adducin 1(ADD1)","Homo sapiens"
"ADD3","Q9UEY8","","adducin 3(ADD3)","Homo sapiens"
"ADNP","Q9H2P0","","activity dependent neuroprotector homeobox(ADNP)","Homo sapiens"
"AFG3L2","Q9Y4W6","","AFG3 like matrix AAA peptidase subunit 2(AFG3L2)","Homo sapiens"
"AGAP1","Q9UPQ3","","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1(AGAP1)","Homo sapiens"
"AGAP2","Q99490","","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2(AGAP2)","Homo sapiens"
