"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"AARS1","P49588","","alanyl-tRNA synthetase 1(AARS1)","Homo sapiens"
"AATF","Q9NY61","","apoptosis antagonizing transcription factor(AATF)","Homo sapiens"
"ABHD10","Q9NUJ1","","abhydrolase domain containing 10, depalmitoylase(ABHD10)","Homo sapiens"
"ABRACL","Q9P1F3","","ABRA C-terminal like(ABRACL)","Homo sapiens"
"ABT1","Q9ULW3","","activator of basal transcription 1(ABT1)","Homo sapiens"
"ABTB3","A6QL63","","ankyrin repeat and BTB domain containing 3(ABTB3)","Homo sapiens"
"ACAA1","P09110","","acetyl-CoA acyltransferase 1(ACAA1)","Homo sapiens"
"ACADS","P16219","","acyl-CoA dehydrogenase short chain(ACADS)","Homo sapiens"
"ACADSB","P45954","","acyl-CoA dehydrogenase short/branched chain(ACADSB)","Homo sapiens"
"ACAT1","P24752","","acetyl-CoA acetyltransferase 1(ACAT1)","Homo sapiens"
"ACAT2","Q9BWD1","","acetyl-CoA acetyltransferase 2(ACAT2)","Homo sapiens"
"ACBD3","Q9H3P7","","acyl-CoA binding domain containing 3(ACBD3)","Homo sapiens"
"ACO1","P21399","","aconitase 1(ACO1)","Homo sapiens"
"ACO2","Q99798","","aconitase 2(ACO2)","Homo sapiens"
"ACOT8","O14734","","acyl-CoA thioesterase 8(ACOT8)","Homo sapiens"
"ACSF3","Q4G176","","acyl-CoA synthetase family member 3(ACSF3)","Homo sapiens"
"ACTA1","P68133","","actin alpha 1, skeletal muscle(ACTA1)","Homo sapiens"
"ACTA2","P62736","","actin alpha 2, smooth muscle(ACTA2)","Homo sapiens"
"ACTB","P60709","","actin beta(ACTB)","Homo sapiens"
"ACTC1","P68032","","actin alpha cardiac muscle 1(ACTC1)","Homo sapiens"
"ACTG1","P63261","","actin gamma 1(ACTG1)","Homo sapiens"
"ACTG2","P63267","","actin gamma 2, smooth muscle(ACTG2)","Homo sapiens"
"ACTN1","P12814","","actinin alpha 1(ACTN1)","Homo sapiens"
"ACTN4","O43707","","actinin alpha 4(ACTN4)","Homo sapiens"
"ACTR10","Q9NZ32","","actin related protein 10(ACTR10)","Homo sapiens"
"ACTR1B","P42025","","actin related protein 1B(ACTR1B)","Homo sapiens"
"ACTR2","P61160","","actin related protein 2(ACTR2)","Homo sapiens"
"ACTR3","P61158","","actin related protein 3(ACTR3)","Homo sapiens"
"ACTR3B","Q9P1U1","","actin related protein 3B(ACTR3B)","Homo sapiens"
"ACTR3C","Q9C0K3","","actin related protein 3C(ACTR3C)","Homo sapiens"
"ADAM10","O14672","","ADAM metallopeptidase domain 10(ADAM10)","Homo sapiens"
"ADIPOR1","Q96A54","","adiponectin receptor 1(ADIPOR1)","Homo sapiens"
"AFDN","P55196","","afadin, adherens junction formation factor(AFDN)","Homo sapiens"
"AFF4","Q9UHB7","","ALF transcription elongation factor 4(AFF4)","Homo sapiens"
"AGFG1","P52594","","ArfGAP with FG repeats 1(AGFG1)","Homo sapiens"
"AGK","Q53H12","","acylglycerol kinase(AGK)","Homo sapiens"
"AHNAK","Q09666","","AHNAK nucleoprotein(AHNAK)","Homo sapiens"
"AHSA1","O95433","","activator of HSP90 ATPase activity 1(AHSA1)","Homo sapiens"
"AIMP1","Q12904","","aminoacyl tRNA synthetase complex interacting multifunctional protein 1(AIMP1)","Homo sapiens"
"AIMP2","Q13155","","aminoacyl tRNA synthetase complex interacting multifunctional protein 2(AIMP2)","Homo sapiens"
"AKAP11","Q9UKA4","","A-kinase anchoring protein 11(AKAP11)","Homo sapiens"
"AKAP8","O43823","","A-kinase anchoring protein 8(AKAP8)","Homo sapiens"
"AKR1B1","P15121","","aldo-keto reductase family 1 member B(AKR1B1)","Homo sapiens"
"AKR1B10","O60218","","aldo-keto reductase family 1 member B10(AKR1B10)","Homo sapiens"
"AKR1B15","C9JRZ8","","aldo-keto reductase family 1 member B15(AKR1B15)","Homo sapiens"
"AKR1C1","Q04828","","aldo-keto reductase family 1 member C1(AKR1C1)","Homo sapiens"
"AKR1C2","P52895","","aldo-keto reductase family 1 member C2(AKR1C2)","Homo sapiens"
"AKR1C3","P42330","","aldo-keto reductase family 1 member C3(AKR1C3)","Homo sapiens"
"AKR1C4","P17516","","aldo-keto reductase family 1 member C4(AKR1C4)","Homo sapiens"
"AKR7A2","O43488","","aldo-keto reductase family 7 member A2(AKR7A2)","Homo sapiens"
"AKT2","P31751","","AKT serine/threonine kinase 2(AKT2)","Homo sapiens"
"ALG1","Q9BT22","","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase(ALG1)","Homo sapiens"
"ALOX12B","O75342","","arachidonate 12-lipoxygenase, 12R type(ALOX12B)","Homo sapiens"
"ALPG","P10696","","alkaline phosphatase, germ cell(ALPG)","Homo sapiens"
"ALPI","P09923","","alkaline phosphatase, intestinal(ALPI)","Homo sapiens"
"ALPP","P05187","","alkaline phosphatase, placental(ALPP)","Homo sapiens"
"ALS2","Q96Q42","","alsin Rho guanine nucleotide exchange factor ALS2(ALS2)","Homo sapiens"
"ALYREF","Q86V81","","Aly/REF export factor(ALYREF)","Homo sapiens"
"ANKFY1","Q9P2R3","","ankyrin repeat and FYVE domain containing 1(ANKFY1)","Homo sapiens"
"ANKLE2","Q86XL3","","ankyrin repeat and LEM domain containing 2(ANKLE2)","Homo sapiens"
"ANKRD13A","Q8IZ07","","ankyrin repeat domain 13A(ANKRD13A)","Homo sapiens"
"ANP32B","Q92688","","acidic nuclear phosphoprotein 32 family member B(ANP32B)","Homo sapiens"
"ANXA10","Q9UJ72","","annexin A10(ANXA10)","Homo sapiens"
"ANXA2","P07355","","annexin A2(ANXA2)","Homo sapiens"
"ANXA2P2","A6NMY6","","annexin A2 pseudogene 2(ANXA2P2)","Homo sapiens"
"ANXA3","P12429","","annexin A3(ANXA3)","Homo sapiens"
"ANXA7","P20073","","annexin A7(ANXA7)","Homo sapiens"
"ANXA8","P13928,Q5VT79","","annexin A8(ANXA8)","Homo sapiens"
"ANXA8L1","P13928,Q5VT79","","annexin A8 like 1(ANXA8L1)","Homo sapiens"
"AP2B1","P63010","","adaptor related protein complex 2 subunit beta 1(AP2B1)","Homo sapiens"
"AP3B1","O00203","","adaptor related protein complex 3 subunit beta 1(AP3B1)","Homo sapiens"
"AP3B2","Q13367","","adaptor related protein complex 3 subunit beta 2(AP3B2)","Homo sapiens"
"AP3D1","O14617","","adaptor related protein complex 3 subunit delta 1(AP3D1)","Homo sapiens"
"AP3S1","Q92572","","adaptor related protein complex 3 subunit sigma 1(AP3S1)","Homo sapiens"
"APC","P25054","","APC regulator of WNT signaling pathway(APC)","Homo sapiens"
"APOBEC3F","Q8IUX4","","apolipoprotein B mRNA editing enzyme catalytic subunit 3F(APOBEC3F)","Homo sapiens"
"APRT","P07741","","adenine phosphoribosyltransferase(APRT)","Homo sapiens"
"ARF1","P84077","","ARF GTPase 1(ARF1)","Homo sapiens"
"ARF1P1","P84077","","ARF GTPase 1 pseudogene 1(ARF1P1)","Homo sapiens"
"ARF3","P61204,P84077","","ARF GTPase 3(ARF3)","Homo sapiens"
"ARF4","P18085","","ARF GTPase 4(ARF4)","Homo sapiens"
"ARF5","P84085","","ARF GTPase 5(ARF5)","Homo sapiens"
"ARHGAP1","Q07960","","Rho GTPase activating protein 1(ARHGAP1)","Homo sapiens"
"ARHGDIB","P52566","","Rho GDP dissociation inhibitor beta(ARHGDIB)","Homo sapiens"
"ARHGEF18","Q6ZSZ5","","Rho/Rac guanine nucleotide exchange factor 18(ARHGEF18)","Homo sapiens"
"ARID2","Q68CP9","","AT-rich interaction domain 2(ARID2)","Homo sapiens"
"ARID3B","Q8IVW6","","AT-rich interaction domain 3B(ARID3B)","Homo sapiens"
"ARID5B","Q14865","","AT-rich interaction domain 5B(ARID5B)","Homo sapiens"
"ARL3","P36405","","ARF like GTPase 3(ARL3)","Homo sapiens"
"ARL6IP4","Q66PJ3","","ARF like GTPase 6 interacting protein 4(ARL6IP4)","Homo sapiens"
"ARMC8","Q8IUR7","","armadillo repeat containing 8(ARMC8)","Homo sapiens"
"ARMT1","Q9H993","","acidic residue methyltransferase 1(ARMT1)","Homo sapiens"
"ARPC3","O15145","","actin related protein 2/3 complex subunit 3(ARPC3)","Homo sapiens"
"ARVCF","O00192","","ARVCF delta catenin family member(ARVCF)","Homo sapiens"
"ASCC1","Q8N9N2","","activating signal cointegrator 1 complex subunit 1(ASCC1)","Homo sapiens"
"ASF1A","Q9Y294","","anti-silencing function 1A histone chaperone(ASF1A)","Homo sapiens"
"ASH2L","Q9UBL3","","ASH2 like, histone lysine methyltransferase complex subunit(ASH2L)","Homo sapiens"
"ATAD3A","Q9NVI7","","ATPase family AAA domain containing 3A(ATAD3A)","Homo sapiens"
"ATAD3B","Q5T9A4","","ATPase family AAA domain containing 3B(ATAD3B)","Homo sapiens"
"ATAD3C","Q5T2N8","","ATPase family AAA domain containing 3C(ATAD3C)","Homo sapiens"
"ATAT1","Q5SQI0","","alpha tubulin acetyltransferase 1(ATAT1)","Homo sapiens"
"ATE1","O95260","","arginyltransferase 1(ATE1)","Homo sapiens"
"ATIC","P31939","","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC)","Homo sapiens"
"ATL2","Q8NHH9","","atlastin GTPase 2(ATL2)","Homo sapiens"
"ATP1A1","P05023","","ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)","Homo sapiens"
"ATP1A2","P50993","","ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)","Homo sapiens"
"ATP1A3","P13637","","ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)","Homo sapiens"
"ATP2A1","O14983","","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1)","Homo sapiens"
"ATP2A2","P16615","","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2)","Homo sapiens"
"ATP2A3","Q93084","","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3(ATP2A3)","Homo sapiens"
"ATP5F1B","P06576","","ATP synthase F1 subunit beta(ATP5F1B)","Homo sapiens"
"ATP5ME","P56385","","ATP synthase membrane subunit e(ATP5ME)","Homo sapiens"
"ATP5MF","P56134","","ATP synthase membrane subunit f(ATP5MF)","Homo sapiens"
"ATP6V0A1","Q93050","","ATPase H+ transporting V0 subunit a1(ATP6V0A1)","Homo sapiens"
"ATP6V0D1","P61421","","ATPase H+ transporting V0 subunit d1(ATP6V0D1)","Homo sapiens"
"ATP6V1B2","P21281","","ATPase H+ transporting V1 subunit B2(ATP6V1B2)","Homo sapiens"
"AURKA","O14965","","aurora kinase A(AURKA)","Homo sapiens"
"AURKB","Q96GD4","","aurora kinase B(AURKB)","Homo sapiens"
"BAG3","O95817","","BAG cochaperone 3(BAG3)","Homo sapiens"
"BAG5","Q9UL15","","BAG cochaperone 5(BAG5)","Homo sapiens"
"BAK1","Q16611","","BCL2 antagonist/killer 1(BAK1)","Homo sapiens"
"BAZ1A","Q9NRL2","","bromodomain adjacent to zinc finger domain 1A(BAZ1A)","Homo sapiens"
"BAZ1B","Q9UIG0","","bromodomain adjacent to zinc finger domain 1B(BAZ1B)","Homo sapiens"
"BBS9","Q3SYG4","","Bardet-Biedl syndrome 9(BBS9)","Homo sapiens"
"BCAP31","P51572","","B cell receptor associated protein 31(BCAP31)","Homo sapiens"
"BCKDHB","P21953","","branched chain keto acid dehydrogenase E1 subunit beta(BCKDHB)","Homo sapiens"
"BCL10","O95999","","BCL10 immune signaling adaptor(BCL10)","Homo sapiens"
"BCOR","Q6W2J9","","BCL6 corepressor(BCOR)","Homo sapiens"
