"","x"
"1","A0AV96"
"2","A3KN83"
"3","A5PLN9"
"4","A6NHR9"
"5","A6NIZ1;P62834;P61224"
"6","A6NKD9"
"7","B2RPK0;P09429;P23497"
"8","C9JLW8"
"9","E9PAV3;Q13765"
"10","O00154"
"11","O00161"
"12","O00170"
"13","O00186"
"14","O00231"
"15","O00233"
"16","O00257"
"17","O00303"
"18","O00410;O60518"
"19","O00425"
"20","O00443"
"21","O00487"
"22","O00507"
"23","O00560"
"24","O00635"
"25","O00743"
"26","O14602;P47813"
"27","O14653"
"28","O14733"
"29","O14735"
"30","O14776"
"31","O14777"
"32","O14795"
"33","O14818"
"34","O14874"
"35","O14920"
"36","O14933"
"37","O14980"
"38","O15042"
"39","O15049"
"40","O15084"
"41","O15111"
"42","O15127"
"43","O15143"
"44","O15173"
"45","O15240"
"46","O15294"
"47","O15305"
"48","O43242"
"49","O43252"
"50","O43290"
"51","O43303"
"52","O43318"
"53","O43402"
"54","O43447"
"55","O43581"
"56","O43592"
"57","O43617"
"58","O43639"
"59","O43660"
"60","O43684"
"61","O43719"
"62","O43752"
"63","O43765"
"64","O43776"
"65","O43805"
"66","O43809"
"67","O43819"
"68","O43929"
"69","O60231"
"70","O60232"
"71","O60299"
"72","O60308"
"73","O60337"
"74","O60361;P15531;P22392"
"75","O60488"
"76","O60493"
"77","O60524"
"78","O60547"
"79","O60563"
"80","O60645"
"81","O60783"
"82","O60885"
"83","O75083"
"84","O75113"
"85","O75128"
"86","O75132"
"87","O75153"
"88","O75175"
"89","O75179;Q8IWZ3"
"90","O75348"
"91","O75369;P21333"
"92","O75369;Q14315;P21333"
"93","O75436"
"94","O75525"
"95","O75531"
"96","O75533"
"97","O75643"
"98","O75694"
"99","O75792"
"100","O75808"
"101","O75817"
"102","O75821"
"103","O75822"
"104","O75909"
"105","O75955"
"106","O94776"
"107","O94874"
"108","O94880"
"109","O94889"
"110","O94925"
"111","O94973"
"112","O95067"
"113","O95104;Q9UPN6"
"114","O95139"
"115","O95229"
"116","O95232"
"117","O95238"
"118","O95294"
"119","O95336"
"120","O95347"
"121","O95479"
"122","O95551"
"123","O95619"
"124","O95696"
"125","O95801"
"126","O95816"
"127","O95819"
"128","O95861"
"129","O95881"
"130","O96005"
"131","O96013"
"132","P00338"
"133","P00390"
"134","P00403"
"135","P00492"
"136","P00533"
"137","P00558"
"138","P00751"
"139","P01011"
"140","P01023;P20742"
"141","P01024"
"142","P02042;P68871;HBB_HUMAN"
"143","P02768;ALBU_HUMAN"
"144","P02787;TRFE_HUMAN"
"145","P03372"
"146","P04083"
"147","P04350;Q9BVA1;A6NNZ2;P07437;Q13509;Q13885;P68371;Q9BUF5;Q3ZCM7;Q9H4B7"
"148","P05023"
"149","P05161"
"150","P05455"
"151","P06401"
"152","P06493"
"153","P07108"
"154","P07205;P00558"
"155","P07437"
"156","P07737"
"157","P07766"
"158","P07951"
"159","P08238"
"160","P08238;P14625"
"161","P08238;Q58FF7"
"162","P08243"
"163","P08559"
"164","P08590;P05976"
"165","P08708"
"166","P08729"
"167","P08865"
"168","P09382"
"169","P09874"
"170","P0DJD0;Q7Z3J3;O14715;P49792;P0DJD1;A6NKT7;Q99666"
"171","P0DP25;P0DP23;P0DP24"
"172","P10606"
"173","P10619"
"174","P10636;TAU_HUMAN"
"175","P11021"
"176","P11142"
"177","P11216"
"178","P11277;O15020;Q01082"
"179","P11802"
"180","P11908"
"181","P12111"
"182","P12235;P05141;P12236"
"183","P12270"
"184","P12956"
"185","P13010"
"186","P13489"
"187","P13797;P13796"
"188","P13929"
"189","P14635"
"190","P14735"
"191","P14921"
"192","P15170"
"193","P15259;P18669"
"194","P15311;P26038;P35241"
"195","P15374"
"196","P15923"
"197","P15927"
"198","P15941"
"199","P16333"
"200","P16949"
"201","P17252"
"202","P17252;P05771"
"203","P17612"
"204","P17661"
"205","P17980"
"206","P17987"
"207","P18615"
"208","P18887"
"209","P19367;P52789"
"210","P20719"
"211","P21281;P15313"
"212","P21333"
"213","P21589"
"214","P22059"
"215","P22694"
"216","P22736"
"217","P23193"
"218","P23229"
"219","P23284"
"220","P23526"
"221","P23921"
"222","P24534"
"223","P24666"
"224","P25205"
"225","P25685"
"226","P25705"
"227","P25789"
"228","P26358"
"229","P26440"
"230","P26599"
"231","P26640"
"232","P26641"
"233","P27348"
"234","P27361"
"235","P27695"
"236","P27708"
"237","P27824"
"238","P27986"
"239","P28062"
"240","P28065"
"241","P28715"
"242","P29144"
"243","P29372"
"244","P29590"
"245","P29692"
"246","P29728"
"247","P29762"
"248","P30085"
"249","P30086"
"250","P30419"
"251","P30520"
"252","P30626"
"253","P30876"
"254","P31150"
"255","P31273;P17481"
"256","P31350;Q7LG56"
"257","P31941;Q9UH17"
"258","P32121"
"259","P32455"
"260","P32455;Q9H0R5"
"261","P32780"
"262","P33991"
"263","P33992"
"264","P33993"
"265","P35251"
"266","P35573"
"267","P35606"
"268","P35610"
"269","P35749;P35579"
"270","P35813"
"271","P35998"
"272","P36551"
"273","P36639"
"274","P36871"
"275","P36915"
"276","P37198"
"277","P37235"
"278","P39687"
"279","P40121"
"280","P40227"
"281","P40429;Q6NVV1"
"282","P40616"
"283","P40692"
"284","P40763"
"285","P40937"
"286","P40938"
"287","P41208"
"288","P41227"
"289","P41252"
"290","P41567;O60739"
"291","P41743"
"292","P42166"
"293","P42166;P42167"
"294","P42224"
"295","P42226"
"296","P42336"
"297","P42574"
"298","P42575"
"299","P42677"
"300","P43307"
"301","P45880"
"302","P45974"
"303","P46100"
"304","P46199"
"305","P46527"
"306","P46777"
"307","P46782"
"308","P46783"
"309","P46926;Q8TDQ7"
"310","P46934"
"311","P47897"
"312","P48426"
"313","P48444"
"314","P48634"
"315","P48643"
"316","P49189"
"317","P49247"
"318","P49589"
"319","P49641"
"320","P49642"
"321","P49674"
"322","P49720"
"323","P49736"
"324","P49755"
"325","P49759;Q9HAZ1"
"326","P49792"
"327","P49840"
"328","P49902"
"329","P49915"
"330","P50402"
"331","P50454"
"332","P50748"
"333","P50851"
"334","P50990"
"335","P51148"
"336","P51610"
"337","P51790"
"338","P51955"
"339","P52701"
"340","P52907"
"341","P52943"
"342","P53396"
"343","P53621"
"344","P53680"
"345","P54578"
"346","P54652;P0DMV8;P34931;P11142;P0DMV9;P17066"
"347","P54753;P54760"
"348","P54819"
"349","P55039"
"350","P55060"
"351","P55145"
"352","P55209;Q99733"
"353","P55263"
"354","P55347;Q96KN3"
"355","P55809"
"356","P55957;BID_HUMAN"
"357","P56192"
"358","P57088"
"359","P57737"
"360","P57764"
"361","P58004"
"362","P58546"
"363","P59190"
"364","P59998"
"365","P60842"
"366","P60891;P11908"
"367","P61020"
"368","P61024"
"369","P61086"
"370","P61163"
"371","P61201"
"372","P61221"
"373","P61289"
"374","P61764"
"375","P61923"
"376","P61981"
"377","P62241"
"378","P62249"
"379","P62258"
"380","P62263"
"381","P62269"
"382","P62304"
"383","P62341"
"384","P62495"
"385","P62701;Q8TD47"
"386","P62851"
"387","P62899"
"388","P62937;PPIA_HUMAN"
"389","P62942"
"390","P63104"
"391","P63162;P14678"
"392","P63172"
"393","P63208"
"394","P63241"
"395","P63241;Q9GZV4;Q6IS14"
"396","P63261;P68133;P62736;P68032;Q562R1;P60709;P63267"
"397","P63279;UBE2I_HUMAN"
"398","P67870"
"399","P67936"
"400","P67936;P07951"
"401","P68133;P62736;P68032;P63267"
"402","P68402"
"403","P78318"
"404","P78362"
"405","P78386;K2M3_SHEEP;KRHB5_HUMAN"
"406","P78411"
"407","P78413"
"408","P78527"
"409","P81877"
"410","P82933"
"411","P82979"
"412","P83111"
"413","P83876"
"414","P84077;P61204"
"415","P84085"
"416","P84095"
"417","P98179"
"418","Q00403"
"419","Q00535"
"420","Q00537"
"421","Q00688"
"422","Q00796"
"423","Q01130"
"424","Q01518"
"425","Q01650"
"426","Q01804"
"427","Q01813;P17858"
"428","Q02224"
"429","Q02447"
"430","Q02750;P36507"
"431","Q02809"
"432","Q03135"
"433","Q03164"
"434","Q04206"
"435","Q04446"
"436","Q04637"
"437","Q05519"
"438","Q07820"
"439","Q08209;P16298"
"440","Q08209;P16298;P48454"
"441","Q08426"
"442","Q09013"
"443","Q09028;Q16576"
"444","Q09161"
"445","Q0PNE2"
"446","Q12802"
"447","Q12834"
"448","Q12888"
"449","Q12905"
"450","Q12906"
"451","Q12931"
"452","Q12979"
"453","Q12996"
"454","Q13011"
"455","Q13098"
"456","Q13111"
"457","Q13185"
"458","Q13207"
"459","Q13263"
"460","Q13283"
"461","Q13310;P0CB38"
"462","Q13310;P11940"
"463","Q13362"
"464","Q13370"
"465","Q13451"
"466","Q13496"
"467","Q13526"
"468","Q13546"
"469","Q13555"
"470","Q13557"
"471","Q13572"
"472","Q13617"
"473","Q13618"
"474","Q13751"
"475","Q13796"
"476","Q13907"
"477","Q14019"
"478","Q14142"
"479","Q14155"
"480","Q14191"
"481","Q14204"
"482","Q14209;O00716"
"483","Q14240;P60842"
"484","Q14258"
"485","Q14331"
"486","Q14353"
"487","Q14457"
"488","Q14498"
"489","Q14533;O43790;P78385;K2M2_SHEEP;K2M3_SHEEP;KRHB1_HUMAN;KRHB3_HUMAN;KRHB6_HUMAN"
"490","Q14562"
"491","Q14566"
"492","Q14738"
"493","Q14739"
"494","Q14790"
"495","Q14839;Q12873"
"496","Q14847"
"497","Q14980"
"498","Q14C86"
"499","Q15019"
"500","Q15056"
"501","Q15057"
"502","Q15102"
"503","Q15121"
"504","Q15124"
"505","Q15181"
