"","x"
"1","A3KMH1"
"2","A6NDG6"
"3","A6NIE6;Q9NYV6"
"4","A8K2U0"
"5","O00165"
"6","O00461"
"7","O00562"
"8","O00629"
"9","O14641"
"10","O14786"
"11","O14981"
"12","O15020"
"13","O15258"
"14","O43166"
"15","O43542"
"16","O43896"
"17","O60281"
"18","O60437"
"19","O60687"
"20","O60825"
"21","O75154"
"22","O75330"
"23","O75347"
"24","O75427"
"25","O75928;O75925"
"26","O94832"
"27","O94913"
"28","O95400"
"29","O95721"
"30","O95810"
"31","O96011"
"32","P00167;CYB5_HUMAN"
"33","P00374"
"34","P00734"
"35","P00918;CAH2_HUMAN"
"36","P02788;TRFL_HUMAN"
"37","P04439;P01893"
"38","P05091"
"39","P05114"
"40","P07311"
"41","P07476"
"42","P08238;Q58FF6;Q58FF7;P07900"
"43","P08779"
"44","P09132"
"45","P09455"
"46","P09467"
"47","P09496"
"48","P0CG12"
"49","P0CG13"
"50","P0DJD0;Q7Z3J3;P49792;P0DJD1;A6NKT7"
"51","P11766"
"52","P12532"
"53","P12830"
"54","P13646"
"55","P13647"
"56","P15924"
"57","P16401"
"58","P19013"
"59","P19474"
"60","P24723"
"61","P25325"
"62","P25490"
"63","P27482"
"64","P28290"
"65","P28676"
"66","P29350"
"67","P29508"
"68","P30038"
"69","P30419;O60551"
"70","P31146"
"71","P31327;P27708"
"72","P33897"
"73","P35222;P14923"
"74","P35226"
"75","P35609"
"76","P35625"
"77","P35637;Q92804"
"78","P35749"
"79","P37268"
"80","P40818"
"81","P40855"
"82","P47895"
"83","P47914"
"84","P47929"
"85","P48668;P04259;P13647;Q14CN4;O95678;P02538"
"86","P49419"
"87","P50548"
"88","P51153"
"89","P51157"
"90","P52739"
"91","P52926"
"92","P53582"
"93","P53602"
"94","P53990"
"95","P54198"
"96","P54619;Q9UGJ0"
"97","P56556"
"98","P61960"
"99","P62736;P68032;P63267"
"100","P62834;P61224"
"101","P63261;P68133;P62736;P68032;P60709;P63267"
"102","P68036"
"103","P78345"
"104","P82675"
"105","P82932"
"106","Q00536"
"107","Q00839"
"108","Q01546"
"109","Q01581"
"110","Q01826;Q9UPW6"
"111","Q03001;Q9UPN3"
"112","Q04695;P02533"
"113","Q04695;P02533;P08727;P08779;P19012"
"114","Q05048"
"115","Q05193;P50570"
"116","Q06830;Q13162;PRDX1_HUMAN"
"117","Q07864"
"118","Q08378"
"119","Q13049"
"120","Q13228"
"121","Q13257"
"122","Q13287"
"123","Q13438"
"124","Q13495"
"125","Q14123"
"126","Q14493"
"127","Q14693"
"128","Q14781"
"129","Q15018"
"130","Q15052;Q14155"
"131","Q15650"
"132","Q15738"
"133","Q15800"
"134","Q16563"
"135","Q2M2I5"
"136","Q32P51;P09651"
"137","Q32P51;P51991;P09651"
"138","Q49A26"
"139","Q53HC5"
"140","Q5JTZ9"
"141","Q5M9Q1;Q8N5F7"
"142","Q5MIZ7"
"143","Q5T749"
"144","Q5T8D3"
"145","Q5TBA9"
"146","Q5TCS8"
"147","Q5VZ89"
"148","Q5XKE5"
"149","Q68DA7"
"150","Q6AI08"
"151","Q6GMV3"
"152","Q6IPR3"
"153","Q6IQ23"
"154","Q6NUK1"
"155","Q6PGP7"
"156","Q6PL18"
"157","Q6UXG2"
"158","Q6VY07"
"159","Q6YHU6"
"160","Q6ZNJ1"
"161","Q6ZU80"
"162","Q709C8"
"163","Q76FK4"
"164","Q7L0Y3"
"165","Q7Z2K6"
"166","Q7Z406"
"167","Q7Z460"
"168","Q7Z4S6"
"169","Q7Z4W1"
"170","Q7Z589"
"171","Q7Z5J4"
"172","Q7Z7A1"
"173","Q86VU5"
"174","Q86WX3"
"175","Q86Y37"
"176","Q86Y82"
"177","Q86YZ3"
"178","Q8IV04"
"179","Q8IX18"
"180","Q8IX21"
"181","Q8IZ69"
"182","Q8IZM8"
"183","Q8N0Z3"
"184","Q8N302"
"185","Q8N335"
"186","Q8N3P4"
"187","Q8N4C8"
"188","Q8N9M1"
"189","Q8N9N7"
"190","Q8N9Q2"
"191","Q8NB46"
"192","Q8NDF8"
"193","Q8NDZ2"
"194","Q8NE86"
"195","Q8NFJ9"
"196","Q8NFW8"
"197","Q8TBF2"
"198","Q8TDZ2"
"199","Q8TED0"
"200","Q8TET4"
"201","Q8WUB8"
"202","Q8WVV4"
"203","Q8WY22"
"204","Q8WYH8"
"205","Q92685"
"206","Q92820"
"207","Q92901;P39023"
"208","Q92989"
"209","Q93100"
"210","Q969N2"
"211","Q969P0"
"212","Q96A47"
"213","Q96CB8"
"214","Q96DA0"
"215","Q96I99"
"216","Q96JB2"
"217","Q96L50"
"218","Q96L92"
"219","Q96LW7"
"220","Q96MU7"
"221","Q96MW5"
"222","Q96MY1;O94818"
"223","Q96N67"
"224","Q96NM4"
"225","Q96P63"
"226","Q96S66"
"227","Q96T37;Q8NDT2"
"228","Q99456;P13646"
"229","Q99456;P19012"
"230","Q99496"
"231","Q99501"
"232","Q99550"
"233","Q99598"
"234","Q99612"
"235","Q99836"
"236","Q99961;Q99962"
"237","Q9BPW8"
"238","Q9BR61"
"239","Q9BRJ2"
"240","Q9BTM1;Q93077;Q99878;Q16777;P04908;P20671;P0C0S8;Q6FI13;Q96KK5;Q7L7L0"
"241","Q9BTZ2"
"242","Q9BZG8"
"243","Q9C0K0"
"244","Q9GZZ8"
"245","Q9H0U6"
"246","Q9H1P3"
"247","Q9H4A5"
"248","Q9H6S0"
"249","Q9H845"
"250","Q9HBL8"
"251","Q9HD42"
"252","Q9HD67"
"253","Q9NP73"
"254","Q9NP77"
"255","Q9NPE3"
"256","Q9NPI6"
"257","Q9NPJ3"
"258","Q9NR30;Q9BQ39"
"259","Q9NR50"
"260","Q9NRK6"
"261","Q9NSE4"
"262","Q9NUD5"
"263","Q9NUL3;O95793"
"264","Q9NUM4"
"265","Q9NVJ2"
"266","Q9NW13"
"267","Q9NWX5"
"268","Q9NX24"
"269","Q9NXW2"
"270","Q9NY27"
"271","Q9NYJ8"
"272","Q9NZC7"
"273","Q9NZJ7"
"274","Q9P206"
"275","Q9P2R7"
"276","Q9P2Y4"
"277","Q9UBD5"
"278","Q9UF56"
"279","Q9UHA3"
"280","Q9UHF7"
"281","Q9UK45"
"282","Q9UKR5"
"283","Q9UKZ1"
"284","Q9UL18"
"285","Q9ULC4"
"286","Q9UPN6"
"287","Q9UPW6"
"288","Q9Y2V7"
"289","Q9Y2Y9"
"290","Q9Y316"
"291","Q9Y365"
"292","Q9Y394"
"293","Q9Y3A2"
"294","Q9Y576"
"295","Q9Y5A9"
"296","Q9Y5V3"
"297","Q9Y6I8"
"298","Q9Y6Q5"
"299","P01834;P0DOX7"
"300","P0DJD0;P49792;P0DJD1"
