"","x"
"1","A0A5B9;P0DSE2;P0DTU4;P01850"
"2","A1L020"
"3","A1L020;Q6ZN04"
"4","A2RUB6"
"5","A5YKK6"
"6","A6NEC2;P55786"
"7","A7E2V4"
"8","A8K8P3"
"9","A8MPS7"
"10","A9UHW6"
"11","O00139"
"12","O00151"
"13","O00178"
"14","O00182"
"15","O00189"
"16","O00203"
"17","O00221"
"18","O00232"
"19","O00308"
"20","O00327"
"21","O00471"
"22","O00507;Q93008"
"23","O00534"
"24","O00541"
"25","O00566"
"26","O00571"
"27","O00571;O15523"
"28","O00571;O15523;Q9NQI0"
"29","O00625"
"30","O14579"
"31","O14639"
"32","O14745"
"33","O14910;Q9NUP9"
"34","O14936"
"35","O14964"
"36","O14967"
"37","O14974"
"38","O14976"
"39","O15121"
"40","O15144"
"41","O15156"
"42","O15182"
"43","O15230"
"44","O15254"
"45","O15269"
"46","O15372"
"47","O15511"
"48","O43159"
"49","O43175"
"50","O43237"
"51","O43251;Q9NWB1;A6NFN3"
"52","O43264"
"53","O43299"
"54","O43422"
"55","O43566"
"56","O43663"
"57","O43674"
"58","O43734"
"59","O43747"
"60","O43791"
"61","O43795"
"62","O43795;Q9UBC5"
"63","O43813"
"64","O43815"
"65","O43822"
"66","O43865;Q96HN2"
"67","O43903"
"68","O60234"
"69","O60264"
"70","O60303"
"71","O60306"
"72","O60343"
"73","O60361;P22392"
"74","O60488;O95573"
"75","O60496"
"76","O60502"
"77","O60506"
"78","O60641;Q13492"
"79","O60701"
"80","O60749"
"81","O60763"
"82","O60826"
"83","O60870"
"84","O60880"
"85","O60907"
"86","O60907;Q9BQ87"
"87","O60925"
"88","O75131"
"89","O75177"
"90","O75223"
"91","O75306"
"92","O75340"
"93","O75351"
"94","O75382"
"95","O75396"
"96","O75431"
"97","O75475"
"98","O75477"
"99","O75534"
"100","O75569"
"101","O75600"
"102","O75663"
"103","O75674"
"104","O75691"
"105","O75791"
"106","O75843"
"107","O75880"
"108","O75886"
"109","O75934"
"110","O75964"
"111","O75995"
"112","O76003"
"113","O76094"
"114","O94761"
"115","O94788"
"116","O94819"
"117","O94826"
"118","O94830"
"119","O94854"
"120","O94887"
"121","O94901"
"122","O94906"
"123","O94923"
"124","O94967"
"125","O94973;O95782"
"126","O94986"
"127","O95104"
"128","O95155"
"129","O95168"
"130","O95210"
"131","O95235"
"132","O95243"
"133","O95249"
"134","O95271"
"135","O95292"
"136","O95319"
"137","O95372"
"138","O95379"
"139","O95382"
"140","O95425"
"141","O95470"
"142","O95475"
"143","O95573"
"144","O95602"
"145","O95613"
"146","O95707"
"147","O95714"
"148","O95758"
"149","O95777"
"150","O95786"
"151","O95793"
"152","O95831"
"153","O95837;P29992"
"154","O96000"
"155","O96007"
"156","O96019;O94805"
"157","O96028"
"158","P00367;DHE3_BOVIN"
"159","P00491"
"160","P00747"
"161","P00813"
"162","P01106"
"163","P01833"
"164","P02533;P08779"
"165","P02538"
"166","P02647"
"167","P02768;ALBU_BOVIN;ALBU_HUMAN"
"168","P02792"
"169","P02794"
"170","P04053"
"171","P04062"
"172","P04075"
"173","P04075;ALDOA_RABIT"
"174","P04080"
"175","P04196"
"176","P04234"
"177","P04259"
"178","P04264"
"179","P04350;Q9BVA1;P07437;Q13509;Q13885;P68371"
"180","P04350;Q9BVA1;P07437;Q13885;P68371"
"181","P05089"
"182","P05771"
"183","P06239"
"184","P06396;GELS_HUMAN"
"185","P06746"
"186","P07996"
"187","P08237"
"188","P08238;P07900"
"189","P08240"
"190","P08575"
"191","P09429"
"192","P09488;P28161;Q03013"
"193","P09488;P46439"
"194","P09525"
"195","P09936"
"196","P09960"
"197","P0C0L4;P0C0L5"
"198","P0C7P4;P47985"
"199","P0DOX2;P01876;P01877"
"200","P10155"
"201","P10243"
"202","P10275"
"203","P10412;P16403;P16402"
"204","P10620"
"205","P10644;P31321"
"206","P10768"
"207","P11177"
"208","P11498"
"209","P11940"
"210","P12035"
"211","P12110"
"212","P12273"
"213","P13639"
"214","P13804"
"215","P13861"
"216","P14136;Q6KB66;P05787;P19013;P08729"
"217","P14317"
"218","P14406"
"219","P15104"
"220","P15144"
"221","P15498"
"222","P16104;Q8IUE6;Q96QV6"
"223","P16157"
"224","P16220"
"225","P16220;P18846"
"226","P16591"
"227","P16615;Q93084"
"228","P16885"
"229","P16989"
"230","P17275"
"231","P17542"
"232","P17812"
"233","P17812;Q9NRF8"
"234","P17844"
"235","P18077"
"236","P18084"
"237","P18583"
"238","P18754"
"239","P19012;P13646"
"240","P19013;P12035"
"241","P19387"
"242","P19793;P28702"
"243","P19793;P48443"
"244","P20340"
"245","P20839"
"246","P20930"
"247","P20963"
"248","P21127;Q9UQ88"
"249","P21266"
"250","P21291"
"251","P22033"
"252","P22695"
"253","P23381"
"254","P23919"
"255","P24385"
"256","P24539"
"257","P24863"
"258","P25098"
"259","P26196"
"260","P26368"
"261","P27448;Q7KZI7"
"262","P27707"
"263","P28074"
"264","P28331"
"265","P29353"
"266","P29965"
"267","P30044"
"268","P30049"
"269","P30519"
"270","P30679"
"271","P31150;P50395"
"272","P31483"
"273","P31930"
"274","P31944"
"275","P32019"
"276","P32119"
"277","P33240"
"278","P33240;Q9H0L4"
"279","P33527"
"280","P33981"
"281","P35125;Q8NFA0"
"282","P35221"
"283","P35221;P26232"
"284","P35236"
"285","P35241"
"286","P35269"
"287","P35527;K1C9_HUMAN"
"288","P35611"
"289","P35626"
"290","P35658"
"291","P35659"
"292","P35754"
"293","P36404"
"294","P36542"
"295","P36897"
"296","P36957"
"297","P36969"
"298","P38117"
"299","P38606"
"300","P39060"
"301","P40222"
