"","Jurkat","KMBC2","MCF7","231"
"P20337",0.0884,-1.61,-0.145,-0.35
"P20338",0.0884,-2.63,-0.145,-0.35
"P20339",-1.32,-3.74,-1.07,-1.69
"P20340",-4.32,-1.27,-0.738,-2.23
"P20340;Q9NRW1",-1.78,-1.68,-0.445,-1.24
"P20393",0.0884,-1.65,-0.145,-3.86
"P20393;Q14995",0.0884,-0.643,-0.145,-7.02
"P20585",0.0884,-3.44,-2.79,-2.04
"P20591",0.0884,-3.93,-0.145,-0.35
"P20592",0.0884,-1.15,-0.145,-0.35
"P20618",-0.928,-0.98,-0.592,-1.04
"P20645",0.0884,-2.06,-1.46,-0.35
"P20674",1.35,-1.81,1.22,-0.224
"P20700",-0.929,-0.89,-0.375,-1.26
"P20700;Q03252",0.0884,-1.67,-0.582,-1.98
"P20719",0.0884,-0.643,-0.986,-0.35
"P20749",0.0884,-3.88,-2.05,-3.19
"P20810",-2.25,-2.55,2.24,-0.637
"P20839",0.81,-0.643,-1.32,-0.35
"P20908",0.0884,-0.643,-0.145,-0.35
"P20930",-0.315,0.692,1.41,1.46
"P20936",-2.6,-3.39,-1.79,-2.07
"P20963",-0.959,-0.643,-0.145,-0.35
"P21127;Q9UQ88",-2.98,-1.51,-0.0896,-1.64
"P21266",-2.56,-2.08,-1.17,-1.47
"P21281",-3.35,-3.9,-0.619,-1.46
"P21281;P15313",-1.37,-1.33,-0.455,-1.2
"P21283",-2.16,-3.71,-2.41,-2.87
"P21291",-4.83,-2.61,-1.47,-2.64
"P21333",-1.59,-2.2,-0.301,-1.49
"P21359",-6.09,-4.46,-5.55,-0.35
"P21397",0.0884,-1.03,2.22,-1.35
"P21399",-3.46,-4.84,-0.863,-3.27
"P21580",-3.69,-3.74,-0.145,-2.3
"P21589",-0.636,-0.643,1.76,-0.811
"P21709",0.0884,-1.49,-0.145,-0.35
"P21796",-0.655,-0.658,-0.363,-0.721
"P21810",0.0884,-0.643,-0.145,-0.35
"P21860",0.0884,-0.643,-0.145,-0.35
"P21912",-1.18,-3.9,2.4,-2.73
"P21926",0.0884,-4.51,0.762,-0.35
"P21953",-0.748,-0.81,-0.145,-0.35
"P21964",-0.29,-2.75,-1.17,-1.59
"P21980",-1.09,-2.31,1.4,-1.89
"P22033",2.34,1.53,-0.145,0.131
"P22059",-2.16,-1.72,-0.836,-1.56
"P22061",-1.78,-2.21,-1.07,-1.64
"P22087",-1.08,-1.46,-0.865,-1.39
"P22087;A6NHQ2",-1.09,-1.95,-0.903,-1.45
"P22102",-1.29,-1.78,-0.543,-1.03
"P22223",0.0884,-3.25,0.867,-0.35
"P22234",-2.57,-2.62,-0.587,-1.17
"P22307",-0.355,-1.84,0.953,0.415
"P22309;P35504;Q9HAW8;Q9HAW7;P19224;O60656;P35503;Q9HAW9;P22310",0.0884,-1.42,-0.145,-0.35
"P22314",-1.56,-2.37,-0.382,-1.05
"P22352",0.0884,-1.6,-0.145,-0.35
"P22413",0.0884,-1.47,-0.145,-1.52
"P22415",0.0884,-5.18,-3.59,-6.84
"P22570",0.0884,-5.7,-0.0694,-0.162
"P22626",-0.54,0.336,-0.378,-0.276
"P22670",0.0884,-3.8,-2.5,-4.14
"P22676",0.0884,-0.643,-0.145,-3.4
"P22681",-2.94,-3.79,-1.99,-3.13
"P22694",-2.48,-3.23,-0.605,-2.48
"P22694;P17612",-2.21,-4.59,-0.551,-2.63
"P22695",-1.61,-0.835,-0.225,-0.261
"P22735",0.127,0.705,0.308,0.993
"P22736",0.0884,-1.28,-5.78,-1.19
"P22830",-1.74,-3.67,0.638,-1.79
"P22897",-0.428,-0.643,-0.145,-0.35
"P23142",0.0884,-0.92,1.14,-1.27
"P23193",-3,-2.62,-1.5,-2.86
"P23229",-1.14,-2.44,1.55,-1.15
"P23246",-0.92,-1.12,-0.71,-1.15
"P23258",-2.2,-2.03,-0.811,-2.46
"P23284",-1.73,-1.49,-0.484,-1.74
"P23368",-0.754,-1.67,-2.78,2.91
"P23381",-1.7,-1.34,-0.692,-1.09
"P23396",-0.903,-1.08,-0.376,-1.23
"P23443",-2.91,-2.44,-1.25,-3.24
"P23458",-1.09,-3.8,-2.9,-2.26
"P23469",-3.9,-0.643,-0.145,-3.94
"P23497",-2.78,-4.02,-0.391,-2.47
"P23508",0.0884,-3.88,-0.145,-0.35
"P23526",-1.83,-1.99,-0.738,-1.85
"P23528",-2.43,-2.42,-0.961,-2.02
"P23528;Q9Y281",-2.15,-2.19,-0.569,-1.45
"P23588",-1.63,-1.39,-1.91,-0.00304
"P23610",-1.67,-3.28,-0.145,-2.84
"P23634",-0.918,-2.19,0.713,-1.38
"P23743",-3.01,-3.61,1.94,-1.28
"P23771",-6.05,-8.38,-2.77,-1.56
"P23786",-0.944,-5.08,0.0416,-1.45
"P23919",-3.4,-3.32,-0.799,-1.31
"P23921",-1.99,-2.09,-0.633,-1.9
"P24385",0.0884,-2.26,-3.4,-4.18
"P24390",0.0884,-2.79,-0.145,-2.01
"P24468",-0.825,-5.8,-5.05,-6.38
"P24468;P10589",1.4,-6.57,-4.58,-5.22
"P24534",-2.29,-1.95,-0.575,-1.87
"P24539",-1.82,-1.3,0.05,-0.359
"P24557",0.0884,-0.643,-0.145,-0.35
"P24666",-3.15,-2.79,-1.71,-2.47
"P24723",-2.28,-1.67,-1.19,-0.35
"P24752",-0.953,-1.63,0.0959,0.0414
"P24821",-0.934,-2.58,0.766,-0.35
"P24844",0.0884,-1.62,0.91,-0.432
"P24863",-0.605,-1.51,-2.44,-2.5
"P24864",0.0884,-3.83,-1.07,-0.35
"P24928",-1.49,-2.41,-0.356,-2.35
"P24941",-3.21,-3.16,-1.12,-2.55
"P24941;Q00526",-5.28,-5.15,-1.64,-3.37
"P25054",-1.59,-2.99,-0.145,-1.79
"P25098",-4.16,-1.08,-0.145,-0.35
"P25205",-2.26,-2.02,-0.772,-2.12
"P25311",0.393,2.19,1.82,1.94
"P25325",-2.35,-2.62,-1.44,-0.834
"P25398",-1.32,-1.49,-0.663,-1.75
"P25440",-2.74,-3.01,-0.762,-3.43
"P25445",0.0884,-0.643,-0.145,-0.35
"P25490",-4.11,-3.92,-3.39,-2.66
"P25685",-2.76,-2.62,-1.1,-2.85
"P25686",0.0884,-4.15,0.702,-0.35
"P25705",-1.09,-1.4,0.0741,-1.05
"P25786",-1.27,-1.69,-0.201,-0.971
"P25787",-1.08,-1.27,-0.375,-0.562
"P25788",-0.959,-1.72,-0.261,-1.34
"P25789",-2.01,-1.41,-0.806,-1.74
"P25815",-1.05,-2.39,1.2,-0.93
"P25963",-0.31,-2.66,-0.75,-0.59
"P26006",-0.683,-2.9,1.05,-1.36
"P26012",0.384,-0.643,0.432,0.556
"P26038",-1.29,3.77,0.797,-1.36
"P26038;P35241",-3,-3.43,0.515,-2.32
"P26045",0.0884,-3.39,-0.664,-0.846
"P26196",-2.89,-1.88,-1.03,-1.76
"P26358",-1.88,-1.35,-0.66,-1.94
"P26368",-1.77,-0.491,-0.258,-1.13
"P26373",-1.05,-1.11,-0.642,-1.28
"P26440",-2.04,-1.58,-0.189,-1.82
"P26447",-0.588,-0.643,2.02,-1.85
"P26572",0.0884,-0.643,-0.145,-1.25
"P26583",-1.68,-1.93,-0.485,-1.18
"P26599",-1.65,-1.31,-0.851,-1.36
"P26639",-0.455,-1.53,-0.412,-1.29
"P26640",-2.27,-1.32,-0.136,-1.21
"P26641",-1.43,-1.56,-0.475,-1.46
"P26885",0.0727,-1.12,0.16,-0.752
"P27105",0.874,-1.58,-0.548,1.78
"P27144",0.0884,-0.643,-1.36,1.69
"P27169",-0.795,-2.14,-1.03,-1.35
"P27338",0.0884,-0.643,-0.145,-0.35
"P27348",-2.23,-2.45,-0.581,-2.3
"P27361",-5.01,-5.23,-3.3,-4.74
"P27361;P28482",-3.13,-2.83,0.373,-1.43
"P27448",-0.645,-3.01,-1.13,-2.68
"P27448;Q7KZI7",-2.23,-2.34,-2.71,-2.6
"P27448;Q9P0L2",0.0884,-4.53,-0.145,-4.37
"P27482",0.129,0.05,2.25,2.8
"P27540",-2.15,-7.81,-5.97,-7.5
"P27635",-1.45,-1.6,-0.788,-1.96
"P27635;Q96L21",-1.52,-1.55,-0.834,-2.19
"P27658",0.0884,-0.643,-0.145,-2.37
"P27694",-2.29,-2.81,-1.59,-3.03
"P27695",-1.42,-1.65,-0.672,-1.53
"P27707",-3,-0.643,-1.14,2.71
"P27708",-2.96,-2.6,-0.969,-2.14
"P27797",-2.74,-2.64,0.262,-0.817
"P27816",-1.26,-1.69,-0.079,-1.03
"P27824",-2,-1.15,-0.184,-0.971
"P27986",-1.87,-0.643,-0.145,-1.41
"P28062",-3.11,-4.15,4.04,-2.64
"P28065",-2.26,-2.21,-0.23,-1.78
"P28066",-1.72,-1.71,-0.892,-1.47
"P28070",-1.29,-1.61,-0.897,-1.74
"P28072",-1.08,-0.414,-0.938,-0.94
"P28074",-3.51,-2.06,-1.05,-1.78
"P28161",-0.468,-0.643,-0.145,-0.35
"P28288",-0.858,-3.25,-2.51,-1.5
"P28289",0.0884,-0.643,-0.145,-0.35
"P28290",0.0884,-0.482,0.252,2.03
"P28331",-1.47,-0.605,-0.194,-0.581
"P28340",-1.83,-3.29,-1.13,-2.55
"P28347",0.92,-5.91,-3.47,-8.69
"P28370",-0.871,-2.21,-0.649,-1.62
"P28482",-3.35,-3.26,-1.29,-2.21
"P28562",0.0884,-0.643,-0.145,-2.51
"P28676",-3.24,-3.5,-2.39,-2.09
"P28702",-4.03,-5.66,-5.66,-4.69
"P28715",-4.75,-3.7,0.109,-3.28
"P28749",0.0884,-3.77,-0.145,-4.04
"P28799",0.0884,-0.643,0.609,-0.35
"P28838",-0.809,-1.62,-0.0923,-0.83
"P29033",0.0884,-0.643,-0.145,-0.35
"P29034",0.0884,-1.97,-0.145,0.0665
"P29083",-2.14,-4.05,-1.19,-2.42
"P29084",-3.16,-2.86,-1.02,-2.09
"P29144",-1.96,-1.62,-0.0625,-1.24
"P29279",0.0884,-0.643,-0.145,-2.13
"P29317",0.000898,-3.19,2.76,-1.24
"P29320",0.0884,-0.643,-0.145,-0.35
"P29323",0.0884,-3.6,0.532,-0.958
"P29350",-3.74,-4.44,-1.56,0.679
"P29353",-3.25,-2.72,-1.24,-1.89
"P29372",-4.04,-2.84,-1.2,-2.57
"P29373",1.14,-2.15,-0.724,-1.27
"P29375",-1.08,-1.58,-0.475,-1.69
"P29401",-1.17,-2.29,-0.787,-1.34
"P29466",0.0884,-2.45,-0.145,-0.35
"P29508",0.512,0.475,0.713,1.09
"P29590",-2.48,-2.96,-0.794,-2.82
"P29597",-1.12,-1.46,0.643,-2.38
"P29692",-1.25,-1.78,-0.19,-1.18
"P29728",-2.23,-1.69,0.468,-1.68
"P29762",0.0884,-0.643,-2.22,-0.35
"P29965",0.664,0.503,-0.145,-0.35
"P29966",-2.07,-2.37,1.45,-1.26
"P29992",0.0884,-0.643,0.557,-2.12
"P30038",-0.951,-2.15,-0.898,0.154
"P30040",0.0884,-2.5,-1.01,0.536
"P30041",-2.75,-2.44,-0.671,-1.72
"P30043",-2.19,-2.5,-1.78,-3.97
"P30044",-2.08,-1.97,-1.02,-1.44
"P30047",0.0884,-2.78,-0.145,-0.35
"P30048",1.01,1.71,0.752,0.506
"P30049",-2.19,-1.12,0.0104,0.611
"P30050",-1.68,-1.66,-0.414,-2.03
"P30084",-0.881,-1.86,-0.749,-0.237
"P30085",-2.83,-3.05,0.561,-2.42
"P30086",-2.3,-2,-1.14,-2.08
"P30101",-1.18,-1.94,0.142,-0.63
"P30153",-1.46,-2.25,-0.258,-1.35
"P30153;P30154",-1.91,-2.07,-0.072,-0.878
"P30154",-4.45,-4.83,-0.273,-3.31
"P30260",-0.186,1.44,0.473,-0.336
"P30279",0.0884,-0.643,-0.145,-0.35
"P30281",-2,-0.643,-0.145,-4.07
"P30291",-0.577,-2.61,-0.145,-3.37
"P30414",0.0884,-0.643,0.0231,-0.35
"P30419",-2.2,-1.41,-0.377,-1.35
"P30419;O60551",-0.961,-1.87,-0.454,0.712
"P30519",-4.43,-3.23,-1.69,-2.57
"P30520",-4.29,-2.91,-0.446,-2.74
"P30530",0.0884,-1.68,-0.145,-4.98
"P30533",-0.903,-2.37,0.344,-2.2
"P30536",0.0884,-3.18,1.15,-0.35
"P30566",-0.589,-1.29,-0.116,-1.23
"P30622",-2.21,-2.27,1.02,-0.844
"P30622;Q9UDT6",0.0884,-4.08,-0.145,-0.387
"P30626",-3.37,-2.7,-0.435,-2.54
"P30679",-1.41,-0.721,-0.145,-0.35
"P30711",0.0884,-1.63,-1.47,-0.35
"P30740",0.0275,-4.32,-1.42,-2.47
"P30825",0.0884,-1.63,1.73,-0.35
"P30837",0.143,-1.94,1.07,-0.679
"P30838",1.47,-1.9,-0.145,0.591
"P30876",-1.86,-1.72,-0.874,-1.69
"P31025;Q5VSP4",1.93,1.13,1.3,1.87
"P31040",-0.619,-2.11,1.17,-0.632
"P31146",-2.11,-2.68,0.507,1.01
"P31150",-4.42,-4.97,-0.674,-3.96
"P31150;P50395",-1.6,-1.47,-0.358,-0.433
"P31151",-0.128,0.942,0.636,1.3
"P31153",-1.22,-1.93,-0.552,-1.81
"P31260",0.0884,-7.13,-0.145,-0.35
"P31270",0.0884,-5.44,-0.145,-0.35
"P31271",0.0884,-8.49,-0.145,-0.35
"P31273;P17481",0.0884,-0.643,-5.07,-0.35
"P31274",0.0884,-5.93,-5.07,-0.35
"P31276",0.0884,-7.05,-7.41,-0.35
"P31323",-0.387,-0.643,-0.727,-0.35
"P31327;P27708",-2.27,-2.17,-1.5,0.41
"P31350",-2.83,-2.96,-0.942,-4.49
"P31350;Q7LG56",-5.2,-2.52,-1.17,-3.71
"P31431",0.0884,-3.86,-0.05,-0.35
"P31483",-3.23,-1.72,-0.891,-1.39
"P31629",-1.56,-4.77,-1.62,-6.4
"P31689",-3.4,-5.21,-2.25,-3.56
"P31749",-2.5,-3.63,-1.49,-3.85
"P31751",-4.19,-4.9,-3.14,-3.54
"P31751;P31749",-1.25,-2.11,-0.993,-1.75
"P31930",-2.95,-1.47,-0.935,-1.49
"P31937",0.0884,-1.56,-0.145,-0.35
"P31939",-1.6,-1.98,-1.02,-1.09
"P31941;Q9UH17",-0.649,-0.606,0.91,-0.853
"P31942",-0.97,-0.524,-0.606,-0.936
"P31943",-1.05,-0.336,-0.782,-0.965
"P31944",-0.0144,0.521,0.789,1.32
"P31946",-1.43,-2.32,-0.587,-1.81
"P31946;P27348;P63104",-1.8,-2.92,-1.66,-1.73
"P31946;P61981",-1.83,0.4,-0.539,2.03
"P31946;P62258;P27348;P63104;Q04917;P31947;P61981",-2.2,-2.31,-1.13,-2
"P31947",1.19,-2.13,0.249,1.05
"P31948",-2.7,-2.58,-0.549,-1.99
"P31949",1.2,-1.69,-0.13,-0.597
"P32019",-1.57,-1.27,-0.679,-0.895
"P32119",-1.24,-1.35,0.0999,-0.185
"P32121",-3.83,-2.25,-0.145,-2.31
"P32321",-0.224,-3.27,-1.99,-1.89
"P32322",-3.03,-0.643,-1.82,-1.53
"P32455",-0.948,-0.643,-0.145,-0.912
"P32455;P32456",-2.74,-2.85,-0.0657,-0.932
"P32455;Q9H0R5",-2,-1.53,-0.145,-1.29
"P32456",0.0884,-1.61,0.999,-0.35
"P32519",-3.17,-3.94,-2.65,-3.58
"P32780",-2.59,-2.74,-3.21,-2.81
"P32926",0.0884,-2.69,-0.145,-0.35
"P32929",0.724,-0.643,-0.145,-1.24
"P32969",-1.63,-1.46,-1.1,-1.65
"P33121",0.0884,-4.64,1.4,-1.01
"P33176",-0.688,-1.03,-0.194,-0.569
"P33240",-2.72,-0.321,0.0242,-1.8
"P33240;Q9H0L4",-2.78,-0.779,0.0905,-1.3
"P33241",0.0884,-0.643,-0.145,-0.35
"P33316",-1.81,-3.82,-1.21,-3.3
"P33527",0.995,-2.19,-2.28,-3.18
"P33552",-4.32,-4.92,-2.86,-3.7
"P33897",0.0884,-0.643,-1.48,-2.45
"P33908",-0.768,-1.22,-1.25,-0.35
"P33947",-1.38,-0.973,-1.98,0.703
"P33981",-4.59,-2.98,-1.53,-2.35
"P33991",-1.75,-1.83,-0.762,-1.73
"P33992",-2.13,-1.97,-0.948,-1.88
"P33993",-2.77,-1.95,-1.41,-2.5
"P34896",1.62,2.53,0.32,2.08
"P34897",0.486,-1.01,-0.411,0.182
"P34913",-2.48,-0.423,-0.894,0.33
"P34931",0.0884,-2.77,-0.145,-1.27
"P34932",-2.97,-2.55,-0.941,-1.95
"P34949",-1.76,-4.6,-1.05,-0.901
"P35030",-0.0847,0.155,0.211,-0.0104
"P35052",0.0884,-1.7,2.17,-0.35
"P35080",-2.92,-3.16,-1.55,-1.87
"P35125;Q8NFA0",-1.24,-1.92,-6.31,-5.39
"P35219",0.0884,-0.643,-0.145,-0.35
"P35221",-2.59,-2.03,-0.279,-0.242
"P35221;P26232",-2.81,-2.5,-0.158,-1.07
"P35222",-2.09,-2.38,-0.445,-1.29
"P35222;P14923",1.45,-1.41,-0.845,3.56
"P35226",-1.47,-0.643,-1.14,-3.45
"P35232",-0.905,-1.12,0.0288,-0.646
"P35236",-5.86,-0.643,-0.145,-0.35
"P35237",0.689,-2.53,-0.243,-2.04
"P35240",-1.1,-3.32,-3.38,-0.35
"P35241",-2.61,-1.7,-0.549,-0.511
"P35244",-3.28,-5.12,-0.365,-2.69
"P35249",-2.81,-2.38,-0.299,-1.59
"P35250",-3.37,-2.91,-0.364,-1.62
"P35251",-2.97,-4.08,-0.426,-3.31
"P35268",-0.697,-0.252,-0.211,-0.727
"P35269",-3.7,-2.81,-1.14,-1.41
"P35270",-2.56,-2.43,-0.241,-1.44
"P35398",-0.394,-0.643,-0.145,-1.94
"P35442",0.0884,-0.643,-0.145,-0.35
"P35443",0.0884,-0.643,-0.145,-0.35
"P35443;P49747",0.0884,-0.643,-0.145,-0.35
"P35475",0.0884,-0.643,-0.145,-0.35
"P35527;K1C9_HUMAN",-0.683,0.85,0.706,1.63
"P35548",0.0884,-6.21,-6.15,-1.47
"P35555",0.0884,-0.643,-0.145,-0.35
"P35568",-0.476,-2.88,-1.03,-2.81
"P35573",-2.63,-1.85,-0.456,-2.17
"P35579",-0.761,-1.62,0.194,-0.762
"P35580",-0.373,-1.22,-0.259,-0.577
"P35580;P35579",-1.06,-1.89,0.185,-1.44
"P35580;P35749",-1.43,-1.58,-0.407,-1.23
"P35580;P35749;P35579",-0.307,-2.2,0.281,-0.58
"P35606",-1.55,-1.65,-0.948,-1.69
"P35609",-0.829,-1.97,0.0927,2.11
"P35610",-1.83,-0.953,-0.167,-1.31
"P35611",-2.36,-1.49,-0.962,-1.25
"P35613",0.0884,-3.07,1.24,-1.66
"P35625",0.0884,0.644,-0.321,-3.45
"P35626",-4.53,-0.643,-0.145,-0.35
"P35626;P25098",-3.46,-3.74,-0.441,-1.28
"P35637",-0.822,-0.861,-1.1,-0.772
"P35637;Q92804",-0.227,0.38,-0.0881,-0.666
"P35658",-3.32,-2.65,-0.519,-1.17
"P35659",-1.49,-1.07,-0.323,-0.656
"P35670",0.0884,-0.643,-0.145,-0.35
"P35749",-0.456,1.15,-0.277,-3.51
"P35749;P35579",-1.85,-2.18,-0.385,-1.71
"P35754",-2.68,-0.646,0.162,-0.731
"P35813",-3.98,-3.94,-0.756,-4.25
"P35858",-0.215,-1.08,0.456,-0.37
"P35869",0.0884,-6.82,-5.32,-4.88
"P35900",-0.159,-0.846,-2.26,2.45
"P35908;K22E_HUMAN",-0.392,0.871,0.713,1.09
"P35914",0.0884,-1.49,-0.145,-0.35
"P35998",-2.31,-1.46,-0.304,-1.48
"P36382",0.0884,-0.643,-0.145,-0.35
"P36383",0.0884,-0.806,-0.145,-0.35
"P36404",-4.09,-2.07,-1.03,-2.23
"P36405",-3.17,-3.93,-2.56,-2.75
"P36406",-0.269,-3.39,0.932,-0.671
"P36507",-1.64,-1.52,-0.145,-0.996
"P36542",-2.99,-1.55,-0.144,-1.19
"P36543",-2.5,-4.02,-3.39,-3.5
"P36543;Q96A05",0.0884,-0.643,-0.162,-0.35
"P36551",-0.898,-1.23,2.23,-0.44
"P36578",-0.964,-1.34,-0.414,-1.16
"P36639",-1.74,-1.48,-2.22,-1.66
"P36776",0.598,-0.502,-0.109,0.252
"P36871",-2.47,-2.32,-0.929,-2.02
"P36873",-1.44,-2.72,0.849,-2.78
"P36894;O00238",0.0884,-0.643,-0.145,-0.35
"P36897",0.0884,-1.28,-1.68,-2.91
"P36915",-4.14,-2.3,-0.0058,-2.02
"P36952",-0.336,-2.34,2.64,1.23
"P36954",-2.08,-2.9,-2.03,-3.61
"P36956",0.0884,-0.643,-0.145,-0.35
"P36957",-0.801,-0.673,-0.00356,-0.0711
"P36969",-3.74,-3.7,-2.66,-2.78
"P37108",-2.1,-2.35,-0.946,-1.46
"P37198",-2.89,-0.873,0.667,-1.91
"P37231",0.0884,-9.02,1.23,-7.4
"P37235",-3.45,-2.73,-0.535,-2.6
"P37268",-1.95,-2.02,0.13,2.2
"P37275",-4.07,-0.643,-0.145,-5.08
"P37802",-2.12,-2.15,-0.543,-1.67
"P37837",-1.68,-2.45,-0.538,-0.754
"P37840",0.0884,-3.65,-0.145,-0.35
"P38117",-2.41,-1.57,-0.707,-0.359
"P38159",-1.36,0.236,-1.19,-0.146
"P38398",-4.12,-4.4,-1.1,-5.61
"P38432",-0.99,-1.67,-0.754,-0.718
"P38435",0.0884,-1.69,-0.145,-2.26
"P38606",-2.95,-1.57,-0.676,-0.955
"P38646",-0.188,-0.913,-0.323,-0.374
"P38919",-1.33,-1.33,-0.804,-1.6
"P38935",-3.8,-2.26,-3.22,-2.2
"P39019",-1.21,-1.29,0.123,-0.466
"P39023",-1.07,-1.53,-0.641,-1.29
"P39060",0.0884,-0.643,-0.743,-0.35
"P39656",-1.43,-1.77,-0.812,-1.67
"P39687",-2.2,-2.45,-3.59,-2.56
"P39748",-2.27,-3.13,-1.21,-1.82
"P39880",-3.41,-6.55,-3.75,-5.45
"P39880;O14529",-2.29,-6.53,-4.92,-5.32
"P40121",-2.9,-2.62,0.924,-2.33
"P40123",0.0884,-1.28,-0.885,-1.65
"P40189",0.0884,-1.87,2.25,-0.504
"P40222",-6.38,-3.05,-0.731,-1.73
"P40227",-2.09,-1.51,-0.472,-1.79
"P40261",0.0884,-0.643,-0.145,-0.35
"P40306",-3.83,-4.01,-0.305,-1.97
"P40424",0.0884,-6.93,-4.29,-6.55
"P40425",0.0884,-5.95,-3.8,-5.58
"P40425;P40424",0.0884,-7.46,-6.44,-6.08
"P40426",0.0884,-5.35,-3,-4.34
"P40426;P40424",0.0884,-7.19,-2.89,-3.2
"P40429",-1.03,-1.52,-1.12,-1.66
"P40429;Q6NVV1",-1.05,-0.909,-0.361,-1.02
"P40616",-2.75,-1.89,-0.599,-1.82
"P40692",-4.05,-3.74,-1.17,-3.33
"P40763",-4.53,-3.33,-1.94,-3.75
"P40818",-1.35,-2.47,-1.4,-0.599
"P40855",-1.21,0.567,-0.145,-3.12
"P40925",-1.4,-1.24,-0.37,-0.376
"P40926",-0.977,-1.37,-0.17,-0.455
"P40937",-2.69,-1.7,-0.721,-1.62
"P40938",-3.15,-2.08,-0.423,-2.06
"P40939",-0.887,-1.23,-0.451,-0.928
"P41002",-0.0832,-0.728,-0.145,-0.883
"P41091",-1.14,-1.09,-1.1,-2.03
"P41161",0.0884,-0.643,-1.56,-8.55
"P41162",-1.83,-8.12,-5.51,-5.24
"P41182",-1.58,-4.57,-4.11,-6.47
"P41208",-5.03,-3.6,-1.07,-3.1
"P41208;Q12798",-6.11,-1.94,-0.145,-1.6
"P41212",-3.2,-5.15,-4.38,-5.67
"P41214",-4.68,-4.63,-1.14,-2.86
"P41219",0.0884,-1.07,-0.145,-0.35
"P41223",-2.63,-3.24,-0.883,-1.27
"P41226",-0.553,-3.12,-0.823,-0.551
"P41227",-2.33,-2.07,-1.11,-2.13
"P41229",-3.54,-4,-2.95,-5.86
"P41229;Q9BY66",-3.78,-3.77,-3.33,-6.14
"P41240",-3.36,-3.06,-0.9,-1.45
"P41250",-0.649,-1.58,-0.507,-0.963
"P41252",-1.47,-1.86,-0.438,-1.4
"P41567;O60739",-4.62,-3.61,-0.89,-3.22
"P41743",-2.27,-1.83,-0.956,-1.67
"P41970",0.0884,-3.78,-0.99,-6.05
"P42025",-2.27,-2.35,-0.45,-1.24
"P42126",0.0884,-1.77,-0.996,-1.86
"P42166",-1.95,-1.69,-0.795,-1.71
"P42166;P42167",-1.83,-1.35,0.197,-1.21
"P42167",-1.5,-0.596,0.07,-0.451
"P42224",-3.05,-2.32,-1.3,-2.27
"P42226",-4.39,-4.26,0.0656,-4.27
"P42229",0.0884,-4.9,-0.145,-4.8
"P42285",-1.57,-1.41,-0.912,-1.19
"P42330",0.458,-3.3,0.911,-4.07
"P42331",-8.47,-0.643,-0.145,-1.64
"P42336",-2.89,-2.56,-0.145,-2.33
"P42338",0.0884,-0.643,-0.145,-0.35
"P42345",0.422,-2.28,0.865,-2.05
"P42356",-0.801,-3.38,-2.45,-3.49
"P42356;A4QPH2",0.0884,-0.643,-0.145,-0.35
"P42356;Q8N8J0;A4QPH2",0.0884,-3.42,-0.145,-0.35
"P42357",0.269,1.13,1.64,2.16
"P42566",-3.54,-3.47,-0.113,-1.34
"P42574",-2.81,-3.95,-0.145,-2.56
"P42575",-3.24,-4.33,-0.74,-3.67
"P42677",-1.93,-2.12,-1.13,-2.09
"P42684",-1.94,-0.643,-1.23,-2.33
"P42685",0.0884,-3.33,-1.62,-0.35
"P42694",-3.63,-1.56,-1.58,-2.51
"P42695",-2.71,-3.78,-1.63,-2.58
"P42696",-1.7,-1.6,-0.57,-1.08
"P42704",-0.117,-0.933,-0.229,-0.658
"P42765",-0.47,-1.6,-0.0827,-0.665
"P42766",-0.193,0.275,0.351,-0.7
"P42771",0.0884,-5.1,-0.145,-0.35
"P42785",0.0884,-0.643,-0.288,-0.35
"P42858",-1.45,-2.97,-0.398,-2.29
"P42892",0.0884,-1.66,-0.949,-0.991
"P43004",-0.758,-0.643,-0.145,-0.35
"P43034",-5.5,-3.23,-3.48,-5.38
"P43121",0.0884,-0.643,-0.0147,-1.74
"P43155",0.0884,-3.59,-0.145,-0.35
"P43243",-1.37,-0.38,-0.574,-0.774
"P43246",-1.15,-1.7,-1.02,-1.86
"P43250",-3.32,-1.64,-1.23,-0.791
"P43268",0.0884,-0.643,-0.145,-5.55
"P43304",-1.09,-0.669,-0.103,-0.41
"P43307",-2.07,-1.03,0.226,-0.896
"P43353",0.0884,-1.66,-0.145,-0.35
"P43358",-3.34,-0.643,-0.989,-0.35
"P43362",0.0884,-2.01,-1.08,-0.35
"P43362;P43358;P43363",-2.9,-0.643,-0.145,-0.35
"P43378",0.535,-0.66,0.374,-0.156
"P43403",-3.41,-1.85,0.947,-0.734
"P43405",0.0884,-3.33,-2.42,-0.35
"P43487",-3.5,-3.26,-0.893,-1.41
"P43490",-1.01,-2.14,0.0747,-1.82
"P43686",-2,-1.95,-0.464,-0.889
"P43897",0.0884,-2.5,0.431,-0.35
"P45877",0.0884,-1.26,-0.763,-0.35
"P45880",-2.1,-1.56,-0.191,-1.36
"P45954",0.0884,-1.56,0.748,-0.35
"P45973",-2.1,-2.89,-1.26,-1.61
"P45974",-3.01,-2.68,-0.589,-2.91
"P45983",-1.86,-1.86,-0.493,-3.86
"P45983;P45984;P53779",-4.02,-3.46,-3.07,-3.57
"P45984",-2.58,-1.35,-0.309,-3.23
"P45985",-1.02,-1.59,-0.857,-1.1
"P46013",-3.12,-2.94,-1.33,-2.49
"P46019",-0.812,-1.46,-0.145,-0.35
