"","Jurkat","KMBC2","MCF7","231"
"O00273",-3.16,-3.7,-1.92,-3.94
"O00291",0.0485,-1.54,-1.21,0.267
"O00299",-2.53,-2.87,-0.866,-2.94
"O00303",-2.56,-1.82,-0.522,-1.95
"O00308",0.0884,-2.37,-3.02,-1.54
"O00322",0.0884,-1.56,-0.145,-0.35
"O00327",0.0884,-3.72,-3.74,-5.78
"O00329",0.0884,-0.643,-0.145,-0.35
"O00330",-0.838,-1.19,-0.473,-1.22
"O00339",0.0884,-1.45,-0.145,-1.3
"O00358",0.0884,-8.29,-0.145,-0.35
"O00391",0.0884,-0.198,-0.145,-0.989
"O00399",-2.25,-3.31,-1.02,-2.26
"O00400",0.0884,-0.972,-0.401,-0.35
"O00401",0.0884,-4.28,-1.67,-1.84
"O00410",-1.15,-2.04,0.185,-1.6
"O00410;O60518",-3.91,-3.99,0.995,-3.78
"O00411",-0.341,-1.31,-0.145,0.148
"O00418",0.0884,-1.5,-0.145,-0.35
"O00422",-1.31,-0.479,-0.508,-1.28
"O00425",-2.48,-1.04,1.8,-1.19
"O00429",-3.1,-4.44,-0.873,-1.45
"O00442",-1.98,-2.1,-1.03,-1.73
"O00443",-3.91,-5.33,-1.41,-4.3
"O00459",-0.507,-2.69,-0.145,-1.76
"O00461",0.0884,-0.41,-0.764,-1.82
"O00463",-4.77,-0.643,-1.17,-4.65
"O00468",0.407,-2.78,-2.56,-2.49
"O00469",0.0884,-4.07,-2.19,-1.62
"O00470",0.0884,-6.87,-5.41,-3.81
"O00470;O14770",0.0884,-5.68,-1.12,-4.1
"O00470;Q99687;A6NDR6;O14770",0.0884,-1.7,-0.145,-1.35
"O00471",-4.98,-4.99,-1.41,-2.04
"O00472",0.0884,-3.93,-0.145,-5.31
"O00483",-1.48,0.847,0.00348,-0.664
"O00487",-1.59,-1.15,-0.391,-1.3
"O00488",-1.02,-0.643,-0.109,-2.76
"O00505",-2.89,-3.73,-0.696,-3.42
"O00505;O00629",-1.53,-2.43,-0.708,-2.31
